District,Project Name,Promoter Name,Certificate No.
Thiruvananthapuram,THE ARTLE,BUILDOWN DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/TVM/222/2024
Thiruvananthapuram,i PARK,ABDUL JABBAR,K-RERA/PRJ/TVM/217/2024
Thiruvananthapuram,CORDON ELEGANCE,CORDON CONSTRUCTORS & REALTORS Pvt Ltd,K-RERA/PRJ/TVM/216/2024
Thiruvananthapuram,CORDIAL LEORA,Cordial Properties India Pvt Ltd,K-RERA/PRJ/TVM/215/2024
Thiruvananthapuram,ARCON CYBER HEIGHTS,ARCON HOME BUILDERS PRIVATE LIMITED,K-RERA/PRJ/TVM/210/2024
Thiruvananthapuram,SANTHOSH CONSTRUCTIONS AND LORRY SERVISES,K K PILLAI,K-RERA/PRJ/TVM/208/2024
Thiruvananthapuram,CORDIAL LAYAM II,CORDIAL HOMES PVT LTD,K-RERA/PRJ/TVM/207/2024
Thiruvananthapuram,Golden Castle Phase 2,Arjun S,K-RERA/PRJ/TVM/206/2024
Thiruvananthapuram,GREECE GARDENS BY SREE DHANYA,SREEDHANYA DEVELOPERS AND INFRASTRUCTURES PRIVATE LIMITED,K-RERA/PRJ/TVM/202/2024
Thiruvananthapuram,Sowparnika Signature Tower,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/200/2024
Thiruvananthapuram,ORCHID GARDEN,PIXEL HOMES,K-RERA/PRJ/TVM/172/2024
Thiruvananthapuram,Silent Valley,Aji Kumar S,K-RERA/PRJ/TVM/167/2024
Thiruvananthapuram,Lekshya Plots,Philomina Thomas,K-RERA/PRJ/TVM/165/2024
Thiruvananthapuram,BEACON OASIS,Beacon Projects Pvt Ltd,K-RERA/PRJ/TVM/157/2024
Thiruvananthapuram,SCARLET AVENUE,SCARLET CIRCLE HOLIDAYS PVT LTD,K-RERA/PRJ/TVM/154/2024
Thiruvananthapuram,Mammen,C M MAMMEN,K-RERA/PRJ/TVM/150/2024
Thiruvananthapuram,CORDIAL NALINAM,CORDIAL HOMES PVT LTD,K-RERA/PRJ/TVM/142/2024
Thiruvananthapuram,PRAJAPATHYS GREENS VILLAGE,SARIKA A G,K-RERA/PRJ/TVM/141/2024
Thiruvananthapuram,MYS TECHNO HEIGHTS,MYS CONSTRUCTIONS,K-RERA/PRJ/TVM/138/2024
Thiruvananthapuram,ORCHID CINNAMON,PIXEL HOMES,K-RERA/PRJ/TVM/126/2024
Thiruvananthapuram,LEVITA JASPER ENCLAVE,Levita Developers LLP,K-RERA/PRJ/TVM/122/2024
Thiruvananthapuram,SONG OF THE SEA,ICLOUD HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/120/2024
Thiruvananthapuram,Oceanus Golden Peak,Oceanus Dwellings Pvt Ltd,K-RERA/PRJ/TVM/117/2024
Thiruvananthapuram,PLOTS,M K DAMODARAN NAIR,K-RERA/PRJ/TVM/116/2024
Thiruvananthapuram,PREMIUM LAND DEVELOPERS,PRADEEP KUMAR CHANDRASEKARANNAIR PRASANNAKUMARI,K-RERA/PRJ/TVM/115/2024
Thiruvananthapuram,Sanroyal Clair City,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/TVM/111/2024
Thiruvananthapuram,ASSET THE LEAF,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/100/2024
Thiruvananthapuram,HEATHER WEST FORT,HEATHER REALTORS LLP,K-RERA/PRJ/TVM/098/2024
Thiruvananthapuram,CORDIAL VAJRAM,CORDIAL DEVELOPERS PVT LTD,K-RERA/PRJ/TVM/096/2024
Thiruvananthapuram,DD ARENA,Desai Rachana Private Limited,K-RERA/PRJ/TVM/094/2024
Thiruvananthapuram,JJ PALACIA,JJ Builders & Developers,K-RERA/PRJ/TVM/093/2024
Thiruvananthapuram,Golden Castle Phase 1,Santhosh Kumar J R,K-RERA/PRJ/TVM/092/2024
Thiruvananthapuram,DHAN TRIPADHA,VINU T S DHAN L FOUR LANDS,K-RERA/PRJ/TVM/090/2024
Thiruvananthapuram,SHANOOR TULIPS,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/TVM/088/2024
Thiruvananthapuram,Crown,Chothy's Building Promoters Pvt Ltd,K-RERA/PRJ/TVM/085/2024
Thiruvananthapuram,ARCON MAY DEW,ARCON HOME DEVELOPERS PVT LTD,K-RERA/PRJ/TVM/084/2024
Thiruvananthapuram,CORDIAL PUNYAM,CORDIAL HOMES PVT LTD,K-RERA/PRJ/TVM/083/2024
Thiruvananthapuram,EDEN GARDENS,CASA VISTA CONSTRUCTIONS PVT LTD,K-RERA/PRJ/TVM/078/2024
Thiruvananthapuram,THE ADDRESS TEMPLE BELL,The Address Builders Pvt Ltd,K-RERA/PRJ/TVM/076/2024
Thiruvananthapuram,URBANSCAPE MIDTOWN,Urbanscape Properties LLP,K-RERA/PRJ/TVM/073/2024
Thiruvananthapuram,THE PARK VIEW BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/069/2024
Thiruvananthapuram,SHANOOR RAINBOW CITY PHASE III,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/TVM/059/2024
Thiruvananthapuram,CONFIDENT AMAZE,Confident Projects Residential,K-RERA/PRJ/TVM/056/2024
Thiruvananthapuram,Adithya Paradise,Rajesh Kumar Krishnan,K-RERA/PRJ/TVM/052/2024
Thiruvananthapuram,INDEL KARIYATH HEIGHTS,INDEL INFRA PROJECTS,K-RERA/PRJ/TVM/048/2024
Thiruvananthapuram,CONDOR DAHLIA,CONDOR BUILDERS PVT LTD,K-RERA/PRJ/TVM/047/2024
Thiruvananthapuram,THE HEAVEN HILLS,PNR HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/045/2024
Thiruvananthapuram,PRS WINDY WOODS,PRS BUILD INDIA PRIVATE LIMITED,K-RERA/PRJ/TVM/044/2024
Thiruvananthapuram,HEATHER STEPS,Heather Homes Private Limited,K-RERA/PRJ/TVM/041/2024
Thiruvananthapuram,THE SILICON DRIVE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/038/2024
Thiruvananthapuram,DEODATE MERCEDES,DEODATE ENVIRONMENTAL HOMES PVT LTD,K-RERA/PRJ/TVM/036/2024
Thiruvananthapuram,Mansions Satvika,MANSIONS,K-RERA/PRJ/TVM/029/2024
Thiruvananthapuram,SHANOOR EMBASSY SQUARE,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/TVM/021/2024
Thiruvananthapuram,CORDON CRYSTAL PARK,CORDON CONSTRUCTORS & REALTORS Pvt Ltd,K-RERA/PRJ/TVM/018/2024
Thiruvananthapuram,SFS CASABELLA,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/TVM/017/2024
Thiruvananthapuram,SOBHA RIDGE WHISPERING HILL,SOBHA LIMITED,K-RERA/PRJ/TVM/012/2024
Thiruvananthapuram,Amoda,Promag Realtors & Developers Pvt Ltd,K-RERA/PRJ/TVM/010/2024
Thiruvananthapuram,RAY GRAND,ANIL KUMAR N,K-RERA/PRJ/TVM/006/2024
Thiruvananthapuram,BEACON NEST,Beacon Projects Pvt Ltd,K-RERA/PRJ/TVM/004/2024
Thiruvananthapuram,BLUE DIAMOND,JS HOMES,K-RERA/PRJ/TVM/003/2024
Thiruvananthapuram,SANROYAL HESTIA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/TVM/002/2024
Thiruvananthapuram,LIKE A POETRY,iSPOTZ DEVELOPERS LLP,K-RERA/PRJ/TVM/239/2023
Thiruvananthapuram,SUN CORNER STONE PHASE 2,SUN PROJECTS INDIA PRIVATE LIMITED,K-RERA/PRJ/TVM/233/2023
Thiruvananthapuram,ARCON PLATINUM HEIGHTS,ARCON HOME BUILDERS PRIVATE LIMITED,K-RERA/PRJ/TVM/226/2023
Thiruvananthapuram,WINSOME GARDENS,CASA VISTA CONSTRUCTIONS PVT LTD,K-RERA/PRJ/TVM/225/2023
Thiruvananthapuram,URBANSCAPE DIVINITY VILLAS,Urbanscape Properties LLP,K-RERA/PRJ/TVM/223/2023
Thiruvananthapuram,WHERE DREAMS BEGIN,ICLOUD HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/206/2023
Thiruvananthapuram,SHANOOR SKYVILLA,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/TVM/198/2023
Thiruvananthapuram,SULTANS OF SWING,ICLOUD HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/197/2023
Thiruvananthapuram,MUTHOOT CAPITAL VIEW,MUTHOOT HOUSING AND INFRASTRUCTURE,K-RERA/PRJ/TVM/185/2023
Thiruvananthapuram,SFS SKY GARDEN,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/TVM/184/2023
Thiruvananthapuram,SHANOOR RAINBOW CITY PHASE II,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/TVM/183/2023
Thiruvananthapuram,THE GRAND ROSSO,PNR HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/179/2023
Thiruvananthapuram,ELITE SAMRUDDHI PHASE II,ELITE GARDENIA LLP,K-RERA/PRJ/TVM/176/2023
Thiruvananthapuram,IMPACT MILESTONE TOWER B,ROBINSON PROPERTIES INTERNATIONAL PVT LTD,K-RERA/PRJ/TVM/173/2023
Thiruvananthapuram,SUN SPRING HILL VILLA,SUN PROJECTS INDIA PRIVATE LIMITED,K-RERA/PRJ/TVM/172/2023
Thiruvananthapuram,THE CYBER BAY BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/171/2023
Thiruvananthapuram,EVER BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/164/2023
Thiruvananthapuram,ILLAM BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/163/2023
Thiruvananthapuram,Skyview,Akib Abdul Aziz Abdul Aziz,K-RERA/PRJ/TVM/162/2023
Thiruvananthapuram,Aspire Mansions,ASPIRE MANSIONS OPC PRIVATE LIMITED,K-RERA/PRJ/TVM/160/2023
Thiruvananthapuram,PRIMROSE,CUBICSPACES,K-RERA/PRJ/TVM/157/2023
Thiruvananthapuram,DD GALLERIA,DESAI HOMES,K-RERA/PRJ/TVM/154/2023
Thiruvananthapuram,White Maanor,Chothy's Building Promoters Pvt Ltd,K-RERA/PRJ/TVM/153/2023
Thiruvananthapuram,CORDIAL ACHUTHAM,CORDIAL HOMES PVT LTD,K-RERA/PRJ/TVM/152/2023
Thiruvananthapuram,SURAKSHA THE BANK RETIREES COMMUNITY LIVING,SURAKSHA THE BANK RETIREES COMMUNITY LIVING,K-RERA/PRJ/TVM/144/2023
Thiruvananthapuram,MORE THAN WORDS,iSPOTZ DEVELOPERS LLP,K-RERA/PRJ/TVM/136/2023
Thiruvananthapuram,VEEGALAND GREEN CAPITOL,VEEGALAND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/TVM/130/2023
Thiruvananthapuram,Sustainable Village,Green Collective Projects Pvt Ltd,K-RERA/PRJ/TVM/127/2023
Thiruvananthapuram,ARTECH LATTITUDE,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/123/2023
Thiruvananthapuram,ARC BY SREEDHNAYA,Sree Dhanya Homes Pvt ltd,K-RERA/PRJ/TVM/122/2023
Thiruvananthapuram,HEATHER FELICITY,Heather Homes Private Limited,K-RERA/PRJ/TVM/121/2023
Thiruvananthapuram,SHANOOR RAINBOW HEIGHTS,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/TVM/117/2023
Thiruvananthapuram,OCEAN PEARL,J S HOMES,K-RERA/PRJ/TVM/111/2023
Thiruvananthapuram,VISWAM GREEN FIELD,AARJAY DWELLINGS,K-RERA/PRJ/TVM/109/2023
Thiruvananthapuram,ARCON SERENE,ARCON HOME BUILDERS PRIVATE LIMITED,K-RERA/PRJ/TVM/105/2023
Thiruvananthapuram,CONFIDENT FAIRFIELD,Confident Projects Residential,K-RERA/PRJ/TVM/104/2023
Thiruvananthapuram,SHANOOR RAINBOW CITY,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/TVM/102/2023
Thiruvananthapuram,ANTA - ONE KOWDIAR,ANTA BUILDERS & DEVELOPERS PVT LTD,K-RERA/PRJ/TVM/099/2023
Thiruvananthapuram,ARTECH SREYA,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/094/2023
Thiruvananthapuram,CHEVRON EASTWIND,Chevron Builders and Realtors Private Limited,K-RERA/PRJ/TVM/092/2023
Thiruvananthapuram,CORDIAL DEV,CORDIAL HOMES PVT LTD,K-RERA/PRJ/TVM/086/2023
Thiruvananthapuram,ARTECH MARVEL,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/069/2023
Thiruvananthapuram,ASSET TAURUS IDENTITY,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/057/2023
Thiruvananthapuram,Raja Park's CASA NUEVA,CASA NUEVA VILLAS LLP,K-RERA/PRJ/TVM/056/2023
Thiruvananthapuram,CORDIAL DEEPAM,CORDIAL HOMES PVT LTD,K-RERA/PRJ/TVM/050/2023
Thiruvananthapuram,Dwarakamayi,SUNIL P CHANDRAN,K-RERA/PRJ/TVM/048/2023
Thiruvananthapuram,EVERGREENS,Chothy's Building Promoters Pvt Ltd,K-RERA/PRJ/TVM/045/2023
Thiruvananthapuram,Royal View,Biju K Skaria,K-RERA/PRJ/TVM/042/2023
Thiruvananthapuram,Aroma High Bloom,AROMA INTERNATIONAL BUILDING CONTRACTING INDIA PVT LTD,K-RERA/PRJ/TVM/035/2023
Thiruvananthapuram,Kalyan Horizon,Kalyan Developers,K-RERA/PRJ/TVM/033/2023
Thiruvananthapuram,USHAKIRAN,GANGOTHRI BUILDERS AND DEVELOPERS,K-RERA/PRJ/TVM/026/2023
Thiruvananthapuram,VICTORIA REALTORS PRANAVAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/TVM/017/2023
Thiruvananthapuram,CONFIDENT PIONEER,Confident Projects Residential,K-RERA/PRJ/TVM/015/2023
Thiruvananthapuram,Prakriti,Promag Realtors & Developers Pvt Ltd,K-RERA/PRJ/TVM/010/2023
Thiruvananthapuram,PARKA LUXNOVA,PARKA HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/008/2023
Thiruvananthapuram,ARCON ANANT,ARCON HOME DEVELOPERS PVT LTD,K-RERA/PRJ/TVM/005/2023
Thiruvananthapuram,THE LAURELS BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/004/2023
Thiruvananthapuram,GALAXY POWDIKONAM,MIDHUN MARKOSE BUILDERS AND DEVELOPERS INDIA PVT LTD,K-RERA/PRJ/TVM/213/2022
Thiruvananthapuram,Skyland,Praveen Kumar P,K-RERA/PRJ/TVM/209/2022
Thiruvananthapuram,NAKSHATRA PRAVASI,MIDHUN MARKOSE BUILDERS AND DEVELOPERS INDIA PVT LTD,K-RERA/PRJ/TVM/207/2022
Thiruvananthapuram,SERENE PARK VILLA,GOPAKUMAR BALAKRISHNAN NAIR,K-RERA/PRJ/TVM/196/2022
Thiruvananthapuram,The Square,Chothy's Building Promoters Pvt Ltd,K-RERA/PRJ/TVM/195/2022
Thiruvananthapuram,Urbanscape Solitaire,Urbanscape Properties LLP,K-RERA/PRJ/TVM/192/2022
Thiruvananthapuram,SFS RHYTHM,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/TVM/191/2022
Thiruvananthapuram,GIE Grand Asteria,Great India Estates Private Limited,K-RERA/PRJ/208/2021
Thiruvananthapuram,Aero Homes,Kerala HealthCare P Ltd,K-RERA/PRJ/TVM/173/2022
Thiruvananthapuram,Vattapara Green woods,JOSH KURIAKOSE,K-RERA/PRJ/TVM/168/2022
Thiruvananthapuram,THE SPRING DALE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/166/2022
Thiruvananthapuram,ARCON ELITE,ARCON HOME BUILDERS PRIVATE LIMITED,K-RERA/PRJ/TVM/161/2022
Thiruvananthapuram,CHEVRON BROOKVILLE,Chevron Builders and Realtors Private Limited,K-RERA/PRJ/TVM/158/2022
Thiruvananthapuram,SHANOOR CYBER CLOUD,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/TVM/157/2022
Thiruvananthapuram,CORDIAL BHARATHI,CORDIAL FOUNDATION PVT LTD,K-RERA/PRJ/TVM/156/2022
Thiruvananthapuram,ARTECH FLORENZA,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/154/2022
Thiruvananthapuram,STORIES IN THE SKY,ICLOUD HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/153/2022
Thiruvananthapuram,ASSET CANZARA,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/152/2022
Thiruvananthapuram,ARTECH FUTURA,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/151/2022
Thiruvananthapuram,Leela Madhavam Legacy by SI Property,SI Property Kerala Private Limited,K-RERA/PRJ/TVM/148/2022
Thiruvananthapuram,THE TECH SQUARE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/145/2022
Thiruvananthapuram,SOBHA MEADOWS WHISPERING HILL,SOBHA LIMITED,K-RERA/PRJ/TVM/142/2022
Thiruvananthapuram,VFIVE LIFE,VFIVE HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/133/2022
Thiruvananthapuram,KSHB NEELAMBARI AMBALANAGAR APARTMENTS,KEERALA STATE HOUSING BOARD,K-RERA/PRJ/TVM/132/2022
Thiruvananthapuram,ANTA - PALACE AVENUE,ANTA BUILDERS & DEVELOPERS PVT LTD,K-RERA/PRJ/TVM/130/2022
Thiruvananthapuram,ARTECH EMPIRE,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/126/2022
Thiruvananthapuram,CORDIAL LAYAM,CORDIAL HOMES PVT LTD,K-RERA/PRJ/TVM/124/2022
Thiruvananthapuram,MISTY ORCHIDS,Malabar Developers Private Limited,K-RERA/PRJ/TVM/123/2022
Thiruvananthapuram,NSD FERNTREE HEIGHTS,FTH OWNERS ASSOCIATION,K-RERA/PRJ/332/2020
Thiruvananthapuram,ALLURE,MIDHUN MARKOSE BUILDERS AND DEVELOPERS INDIA PVT LTD,K-RERA/PRJ/040/2021
Thiruvananthapuram,ARTECH PANORAMA,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/121/2022
Thiruvananthapuram,THE HAVENS,BUILDOWN DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/TVM/106/2022
Thiruvananthapuram,CREATIONS NEIL CASTLE,CREATIONS VILLAS & APARTMENTS PRIVATE LIMITED,K-RERA/PRJ/TVM/104/2022
Thiruvananthapuram,VARMA SREEKARYAM,VARMA HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/101/2022
Thiruvananthapuram,CORDIAL PARADISE,CORDIAL HOMES PVT LTD,K-RERA/PRJ/TVM/099/2022
Thiruvananthapuram,VISTA RIO,KSEB OFFICERS HOUSE CONSTRUCTION COOPERATIVE SOCIETY,K-RERA/PRJ/TVM/098/2022
Thiruvananthapuram,CONFIDENT OASIS,Confident Projects Residential,K-RERA/PRJ/TVM/097/2022
Thiruvananthapuram,CONFIDENT AVIOR,Confident Projects India Pvt Ltd,K-RERA/PRJ/TVM/096/2022
Thiruvananthapuram,Dasco Royal Valley Phase 3,Mahesh Ayanimoodu Vijayan,K-RERA/PRJ/TVM/095/2022
Thiruvananthapuram,greenest ONE,GREENEST BUILDINGS AND BUSINESS PRIVATE LIMITED,K-RERA/PRJ/TVM/092/2022
Thiruvananthapuram,DD HIPPODROME,DESAI HOMES,K-RERA/PRJ/TVM/088/2022
Thiruvananthapuram,Sowparnika ISTA,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/087/2022
Thiruvananthapuram,ARCON EXOTICA,ARCON HOME BUILDERS PRIVATE LIMITED,K-RERA/PRJ/TVM/085/2022
Thiruvananthapuram,ARTECH LUXUS,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/TVM/077/2022
Thiruvananthapuram,VARMA SUBURBAN,VARMA HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/076/2022
Thiruvananthapuram,PARADISE Phase -II,PNR HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/074/2022
Thiruvananthapuram,SFS AMBER,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/TVM/067/2022
Thiruvananthapuram,Cordial i-Nest,Cordial Properties India Pvt Ltd,K-RERA/PRJ/TVM/066/2022
Thiruvananthapuram,SANROYAL CHANAKYA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/TVM/064/2022
Thiruvananthapuram,Sowparnika Promenade Square,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/063/2022
Thiruvananthapuram,The Address UPTOWN,The Address Builders Pvt Ltd,K-RERA/PRJ/TVM/062/2022
Thiruvananthapuram,Aroma By the Cliff,AROMA INTERNATIONAL BUILDING CONTRACTING INDIA PVT LTD,K-RERA/PRJ/TVM/057/2022
Thiruvananthapuram,AI BY SREEDHANYA,Sree Dhanya Homes Pvt ltd,K-RERA/PRJ/TVM/054/2022
Thiruvananthapuram,Anklets By Sree Dhanya,Sree Dhanya Homes Pvt ltd,K-RERA/PRJ/TVM/053/2022
Thiruvananthapuram,Graffiti By Sree Dhanya,Sree Dhanya Homes Pvt ltd,K-RERA/PRJ/TVM/052/2022
Thiruvananthapuram,ECLAT TOWER,Nizwa Property Developers,K-RERA/PRJ/TVM/051/2022
Thiruvananthapuram,Sowparnika Highlands,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/050/2022
Thiruvananthapuram,KBD Daffodils,KERATECH BUILDERS AND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/TVM/049/2022
Thiruvananthapuram,Sowparnika Sandal Tower,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/045/2022
Thiruvananthapuram,Sowparnika Sandal Tower,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/045/2022
Thiruvananthapuram,Sowparnika Sandal Tower,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/TVM/045/2022
Thiruvananthapuram,SNR SHASTHA,SNR BUILDERS,K-RERA/PRJ/TVM/044/2022
Thiruvananthapuram,Sparrow Paradisia,Sparrow Construction Management and Consultancy,K-RERA/PRJ/TVM/038/2022
Thiruvananthapuram,PRS Ramsaras,P R S Builders,K-RERA/PRJ/TVM/037/2022
Thiruvananthapuram,DEODATE PRAYAGA,DEODATE ENVIRONMENTAL HOMES PVT LTD,K-RERA/PRJ/202/2021
Thiruvananthapuram,Sowparnika River View Gardens Phase 1,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/009/2022
Thiruvananthapuram,Sowparnika River View Gardens Phase 1,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/009/2022
Thiruvananthapuram,Heather ENTICE,Heather Homes Private Limited,K-RERA/PRJ/TVM/036/2022
Thiruvananthapuram,ANTA - HILL TREE,ANTA BUILDERS & DEVELOPERS PVT LTD,K-RERA/PRJ/TVM/035/2022
Thiruvananthapuram,SANROYAL ROSCARA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/337/2020
Thiruvananthapuram,SANROYAL ADONIA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/032/2020
Thiruvananthapuram,AMBADI,G D FOUNDATIONS,K-RERA/PRJ/210/2020
Thiruvananthapuram,Sun and Sands,NEW CHALAI AGENCIES,K-RERA/PRJ/149/2021
Thiruvananthapuram,GRAND RIVIERA,OSKO BUILDERS INDIA PRIVATE LIMITED,K-RERA/PRJ/173/2021
Thiruvananthapuram,GIE ROYAL ORCHID,Great India Estates Private Limited,K-RERA/PRJ/144/2021
Thiruvananthapuram,THE PARK BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/005/2022
Thiruvananthapuram,The Maker Cacion,Mahesh Pillai,K-RERA/PRJ/082/2021
Thiruvananthapuram,THE PETALS VILLAS BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/151/2021
Thiruvananthapuram,IMPACT MILESTONE,ROBINSON PROPERTIES INTERNATIONAL PVT LTD,K-RERA/PRJ/333/2020
Thiruvananthapuram,IHDC HASHYS,INDIRA HOME DEVELOPERS AND CONTRACTORS LLP,K-RERA/PRJ/TVM/018/2022
Thiruvananthapuram,THE MAPLE BAY BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/017/2022
Thiruvananthapuram,SILVER CASTLE SPRINGS,Silver Castle Construction Company Pvt Ltd,K-RERA/PRJ/079/2020
Thiruvananthapuram,SOWPARNIKA RIVER VIEW GARDENS PHASE 3,Sowparnika Projects,K-RERA/PRJ/141/2021
Thiruvananthapuram,SOWPARNIKA RIVER VIEW GARDENS PHASE 3,Sowparnika Projects,K-RERA/PRJ/141/2021
Thiruvananthapuram,SHANOOR ORANGE WOODS,SHANOOR PROJECTS AND REALTORS PVT LTD,K-RERA/PRJ/TVM/013/2022
Thiruvananthapuram,SANROYAL SANETA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/TVM/012/2022
Thiruvananthapuram,THE GARDEN COURT BY FAVOURITE VALUE PLUS,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/006/2022
Thiruvananthapuram,PSD Himam,PETER SUNDER DHAS,K-RERA/PRJ/TVM/005/2022
Thiruvananthapuram,SANROYAL ASTORIA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,K-RERA/PRJ/176/2021
Thiruvananthapuram,MARUTHAM CREST ONE35,MARUTHAM APPARTMENT,K-RERA/PRJ/TVM/086/2021
Thiruvananthapuram,Levita Sapphire,Levita Builders and Developers Private Limited,K-RERA/PRJ/169/2021
Thiruvananthapuram,ORCHID SPRINGS,Malabar Developers Private Limited,K-RERA/PRJ/063/2021
Thiruvananthapuram,THE UPTOWN BY INDROYAL,INDROYAL PROPERTIES PRIVATE LIMITED,K-RERA/PRJ/052/2021
Thiruvananthapuram,SUN ELECASA,SUN PROJECTS INDIA PRIVATE LIMITED,K-RERA/PRJ/186/2021
Thiruvananthapuram,Sowparnika YARA,Sowparnika Supertech pvt Ltd,K-RERA/PRJ/TVM/073/2021
Thiruvananthapuram,CONDOR PRIMROSE,CONDOR BUILDERS PVT LTD,K-RERA/PRJ/TVM/069/2021
Thiruvananthapuram,ROME BY SREE DHANYA,Sree Dhanya Homes Pvt ltd,K-RERA/PRJ/TVM/068/2021
Thiruvananthapuram,THE LANTERN BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/067/2021
Thiruvananthapuram,VFIVE ELYSIUM PHASE II,VFIVE HOMES PRIVATE LIMITED,K-RERA/PRJ/138/2020
