XID,Phase,Project Name,Project Status,Video Count,Review Count,Image Count
405529,MB  Phase 1,Navraj The Antalyas,Under Construction,7,33,28
419936,MB  Phase 1,Godrej Aristocrat,Under Construction,6,33,25
422426,MB  Phase 1,GODREJ ZENITH,Under Construction,1,33,22
422937,MB  Phase 1,Krisumi Waterside Residences,Under Construction,3,1,13
423388,MB  Phase 1,Puri Diplomatic Residences,Under Construction,0,1,19
423473,MB  Phase 1,Anant The Estate Residences,Under Construction,1,1,8
424568,MB  Phase 1,JMS Premier Floors,Under Construction,1,1,12
426520,MB  Phase 1,PARQ,Under Construction,0,1,5
427056,MB  Phase 1,M3M Altitude,Under Construction,0,1,8
427191,MB  Phase 1,Ganga Anantam,Under Construction,0,1,5
427906,MB  Phase 1,Sobha Altus,Under Construction,1,1,22
428412,MB  Phase 1,Signatureglobal Titanium SPR,Under Construction,1,1,13
430191,MB  Phase 1,Adani Lushlands,Under Construction,1,1,16
432550,MB  Phase 1,TARC Ishva,Under Construction,1,1,10
433317,MB  Phase 1,Estate 360,Under Construction,0,1,30
2,MB  Phase 1,Omaxe Twin Tower,Under Construction,0,3,37
87,MB  Phase 1,ATS Advantage Phase 2,Under Construction,0,3,26
303,MB  Phase 1,Jaypee Greens Kalypso Court,Under Construction,3,11,40
352,MB  Phase 1,BPTP Parkland,Under Construction,0,3,4
1027,MB  Phase 1,Mantri Serenity,Under Construction,5,18,53
1223,MB  Phase 1,Sikka The Crown of Noida,Under Construction,2,5,50
1498,MB  Phase 1,Modi Emerald Heights,Under Construction,2,6,30
1852,MB  Phase 1,Sattva Luxuria,Under Construction,3,4,24
4872,MB  Phase 1,Pace Anusa,Under Construction,0,1,4
5144,MB  Phase 1,Bhartiya Nikoo Homes VI Phase 1,Under Construction,1,1,6
6936,MB  Phase 1,Sheth Vasant Lawns,Under Construction,3,6,25
7662,MB  Phase 1,Paramount Golfforeste,Under Construction,2,6,95
7894,MB  Phase 1,Capital Athena,Under Construction,5,15,27
8130,MB  Phase 1,Paradise Sai Miracle,Under Construction,0,6,2
8408,MB  Phase 1,Provident Sunworth,Under Construction,2,16,19
10130,MB  Phase 1,ATS Pristine,Under Construction,0,27,19
10356,MB  Phase 1,Oasis Grandstand,Under Construction,0,9,19
10412,MB  Phase 1,Purvanchal Royal City,Under Construction,7,15,24
11112,MB  Phase 1,Shriram Sameeksha,Under Construction,0,4,27
16778,MB  Phase 1,HM Indigo,Under Construction,1,4,8
23442,MB  Phase 1,SNN Raj Viviente,Under Construction,4,4,31
24198,MB  Phase 1,Total Environment Pursuit of a Radical Rhapsody,Under Construction,8,11,41
25082,MB  Phase 1,Runwal Eirene,Under Construction,10,15,65
30998,MB  Phase 1,Golden Gate The Presidential Tower,Under Construction,4,19,38
33782,MB  Phase 1,Sattva Magnificia,Under Construction,3,7,31
40476,MB  Phase 1,Godrej Platinum,Under Construction,9,14,47
49816,MB  Phase 1,Sikka Kaamya Greens,Under Construction,2,3,12
50184,MB  Phase 1,Pacifica San Lucas,Under Construction,0,3,12
55744,MB  Phase 1,Fortuna Acacia,Under Construction,0,3,24
58272,MB  Phase 1,Omaxe The Lake,Under Construction,1,8,6
59796,MB  Phase 1,Chandak 34 Park Estate,Under Construction,0,8,22
61839,MB  Phase 1,Mahidhara Fortune City,Under Construction,1,2,34
62053,MB  Phase 1,Mounthill Essence,Under Construction,1,1,22
65394,MB  Phase 1,Modi Lotus Homes,Under Construction,1,5,21
65774,MB  Phase 1,Modi Edifice,Under Construction,1,2,11
67272,MB  Phase 1,Modi Elegance,Under Construction,3,6,28
69896,MB  Phase 1,Madhu Park Ville,Under Construction,2,6,6
75215,MB  Phase 1,Anantha Vayun Meadows Block C,Under Construction,0,6,44
115417,MB  Phase 1,Modi Paradise Homes,Under Construction,2,2,11
125349,MB  Phase 1,Modi Golden County,Under Construction,1,3,12
141819,MB  Phase 1,Thumbprint,Under Construction,0,3,5
168649,MB  Phase 1,F5 Felicia,Under Construction,0,3,9
180623,MB  Phase 1,Muirwoods,Under Construction,0,1,8
197671,MB  Phase 1,Keerthi Krishna Viva,Under Construction,0,3,6
205909,MB  Phase 1,Nandanvan Homes,Under Construction,0,2,27
210905,MB  Phase 1,Salarpuria Sattva Northland,Under Construction,0,4,15
240490,MB  Phase 1,Risington Phase 2,Under Construction,1,4,18
257873,MB  Phase 1,Trimurtys Arabella,Under Construction,1,4,31
260686,MB  Phase 1,Brigade Laguna,Under Construction,0,4,24
262668,MB  Phase 1,Sipani Royal Heritage,Under Construction,4,10,35
265191,MB  Phase 1,Greenfield Crown City,Under Construction,0,10,52
267047,MB  Phase 1,Runwal Nirvana,Under Construction,3,4,32
267635,MB  Phase 1,Godrej Emerald,Under Construction,10,13,40
268137,MB  Phase 1,Runwal Timeless,Under Construction,1,13,7
269167,MB  Phase 1,Godrej Golf Links,Under Construction,5,6,46
269397,MB  Phase 1,ATS Picturesque Reprieves,Under Construction,8,7,10
269844,MB  Phase 1,Anukampa Sky Lounges,Under Construction,1,2,51
270000,MB  Phase 1,Tata Eureka Park,Under Construction,7,27,32
270729,MB  Phase 1,ATS Rhapsody,Under Construction,9,14,16
272201,MB  Phase 1,Sattva Opus,Under Construction,5,7,38
273851,MB  Phase 1,Shantiniketan Vega,Under Construction,0,2,11
273879,MB  Phase 1,Arihant Abode,Under Construction,10,8,54
274711,MB  Phase 1,Renaissance Reserva,Under Construction,3,8,41
275013,MB  Phase 1,PC Amansara,Under Construction,0,8,0
278033,MB  Phase 1,Puraniks Grand Central,Under Construction,3,7,37
282227,MB  Phase 1,Hubtown 25 South,Under Construction,2,7,7
290685,MB  Phase 1,Godrej Nest,Under Construction,6,20,7
292929,MB  Phase 1,Tridhaatu Morya,Under Construction,2,12,15
293745,MB  Phase 1,Sona Vistaas,Under Construction,4,12,23
293775,MB  Phase 1,SB Skanda Lake Front,Under Construction,4,12,23
295673,MB  Phase 1,88 East,Under Construction,6,7,15
296293,MB  Phase 1,Provident Park Square,Under Construction,10,13,24
297055,MB  Phase 1,Godrej Nature Plus,Under Construction,9,20,24
298821,MB  Phase 1,Kalpataru Vista,Under Construction,10,8,21
299863,MB  Phase 1,Sattva Misty Charm,Under Construction,9,10,21
302349,MB  Phase 1,SB Temple Tree,Under Construction,1,10,36
302889,MB  Phase 1,ATS Homekraft Happy Trails,Under Construction,10,12,36
303401,MB  Phase 1,PS Jiva Homes,Under Construction,3,12,45
303427,MB  Phase 1,Vijaya Aquagreen,Under Construction,0,12,13
305417,MB  Phase 1,Amrutha Platinum Towers,Under Construction,0,12,9
305723,MB  Phase 1,VTP Hilife,Under Construction,5,9,31
306189,MB  Phase 1,Rohan Upavan,Under Construction,6,12,44
306221,MB  Phase 1,JRC Palladio,Under Construction,1,4,42
306817,MB  Phase 1,Concorde Hill Crest,Under Construction,1,5,13
311999,MB  Phase 1,Peace Paramount,Under Construction,0,5,21
317381,MB  Phase 1,Trendsquares Ortus,Under Construction,0,4,16
319475,MB  Phase 1,Adani Atelier Greens,Under Construction,6,7,42
321459,MB  Phase 1,Salarpuria Sattva Serene Life,Under Construction,1,7,24
324247,MB  Phase 1,Puravankara Purva Zenium,Under Construction,8,13,42
324633,MB  Phase 1,Purva Atmosphere,Under Construction,0,16,60
326229,MB  Phase 1,ATS Pious Hideaways,Under Construction,2,13,23
326693,MB  Phase 1,Gagan Klara,Under Construction,0,9,36
327273,MB  Phase 1,County 107,Under Construction,6,12,21
328903,MB  Phase 1,L&T Seawoods Residences,Under Construction,10,7,17
331815,MB  Phase 1,One Akshar,Under Construction,1,4,20
332507,MB  Phase 1,Godrej 24,Under Construction,3,18,33
332831,MB  Phase 1,Prateek Canary,Under Construction,8,16,18
332999,MB  Phase 1,Mega Sarovar,Under Construction,0,16,1
333811,MB  Phase 1,ATS Nobility,Under Construction,5,15,11
333823,MB  Phase 1,Tulip Infinity World,Under Construction,0,5,38
334009,MB  Phase 1,Modi Lake View,Under Construction,0,4,7
334013,MB  Phase 1,Modi Sterling Heights,Under Construction,0,2,16
334919,MB  Phase 1,GP Aditya,Under Construction,1,2,15
336331,MB  Phase 1,ATS Destinaire,Under Construction,10,15,11
337519,MB  Phase 1,Risland The Ace,Under Construction,0,5,35
337581,MB  Phase 1,Praneeth Pranav Town Square,Under Construction,2,5,32
339289,MB  Phase 1,Godrej Nirvaan,Under Construction,6,4,8
342591,MB  Phase 1,JCSV Pride,Under Construction,2,4,12
343921,MB  Phase 1,Pranava One Hyderabad,Under Construction,1,1,15
344037,MB  Phase 1,Vivanta Vantage Twenty One,Under Construction,0,1,27
344375,MB  Phase 1,Damji Shamji Mahavir Spring,Under Construction,5,1,24
344889,MB  Phase 1,Gulshan Dynasty,Under Construction,4,7,41
345245,MB  Phase 1,Alcove New Kolkata Sangam,Under Construction,1,7,33
347175,MB  Phase 1,Sri Krishna Vilas By Shreemaa Infrarealty Pvt. Ltd.,Under Construction,2,7,29
348287,MB  Phase 1,Kalpataru Vienta,Under Construction,1,10,14
351117,MB  Phase 1,ANP Atlantis,Under Construction,4,10,53
351351,MB  Phase 1,Baashyaam Le Chalet Smart Choice Homes,Under Construction,0,10,5
351831,MB  Phase 1,Lakshmi Cadillac,Under Construction,0,10,25
351977,MB  Phase 1,Pride Park Astra,Under Construction,4,10,35
352115,MB  Phase 1,Godrej Exquisite,Under Construction,10,9,5
353221,MB  Phase 1,Ganga Altus,Under Construction,4,3,24
353830,MB  Phase 1,Supreme Estia,Under Construction,0,3,55
353930,MB  Phase 1,Lodha Bellavista Wing B2,Under Construction,0,3,4
354160,MB  Phase 1,Mantra Monarch,Under Construction,4,3,47
354428,MB  Phase 1,Pragjyotish Piya Hill View,Under Construction,1,3,19
355218,MB  Phase 1,Viceroy SAVANA,Under Construction,0,22,51
355530,MB  Phase 1,Runwal The Central Park,Under Construction,4,22,18
366854,MB  Phase 1,Arvind Bel Air,Under Construction,3,22,31
367139,MB  Phase 1,Hallmark Sunnyside,Under Construction,2,22,47
368900,MB  Phase 1,Prestige Waterford,Under Construction,5,4,39
369336,MB  Phase 1,Om Sree Brilliance,Under Construction,0,4,39
369372,MB  Phase 1,Om Sree Heights,Under Construction,1,4,21
369448,MB  Phase 1,Abhigna Misty Woods,Under Construction,3,4,73
369997,MB  Phase 1,Casagrand First City,Under Construction,2,4,6
370278,MB  Phase 1,Namishree BPS Twin Towers,Under Construction,0,4,20
370562,MB  Phase 1,T&T Eutopia,Under Construction,5,3,27
371039,MB  Phase 1,Bhagwati Greens 2,Under Construction,1,3,62
371185,MB  Phase 1,Divine Palm Springs,Under Construction,0,3,7
371290,MB  Phase 1,Godrej Green Cove,Under Construction,5,3,44
371291,MB  Phase 1,Rahul Aston,Under Construction,2,3,23
371344,MB  Phase 1,BSCPL Bollineni ZION,Under Construction,3,3,20
371964,MB  Phase 1,Nyati Exuberance I,Under Construction,3,3,12
372021,MB  Phase 1,Millennium Pacific,Under Construction,0,3,20
372203,MB  Phase 1,Speed Sanarelli,Under Construction,1,3,58
372334,MB  Phase 1,Arizuma Southern Vista,Under Construction,7,3,19
373727,MB  Phase 1,Ganga Asmi,Under Construction,4,16,7
373839,MB  Phase 1,Civitech Strings,Under Construction,10,16,13
374132,MB  Phase 1,Cybercity Westbrook,Under Construction,2,16,53
