XID,Project Name,City,Squareyards.com Link
r32170,One City Hamlet,Mohali,https://www.squareyards.com/noida-residential-property/ats-one-hamlet/703/project
r397842,Canary by Ghanshyam Group,Beyond Mira Road,https://www.squareyards.com/palghar-residential-property/dattani-linear/121510/project
r270741,Signature The Roselia,Gurgaon,https://www.squareyards.com/sale/resale-properties-in-signature-roselia-phase-2-gurgaon
r201167,Shreeji Arcade,Navi Mumbai,https://www.squareyards.com/resale-1-bhk-660-sq-ft-apartment-in-rohit-shreeji-krupa/7490368
r240468,Auris Bliss,Western Mumbai,https://www.squareyards.com/sale/resale-properties-in-sheth-auris-bliss-mumbai
r9622,Lokhandwala Fountain Heights,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/lokhandwala-octacrest/26387/project
r307093,Kolte Patil Centria,Pune South,https://www.squareyards.com/sale/resale-properties-in-kolte-patil-centria-pune
r427438,Jalandhar Heights 3,Jalandhar,https://www.squareyards.com/mumbai-residential-property/silver-heights-santacruz/120446/project
r5220,BDI Sunshine City,Bhiwadi,https://www.squareyards.com/sale/resale-properties-in-bdi-sunshine-city-bhiwadi
r405789,Pacific One Pyramid,Navi Mumbai,https://www.squareyards.com/projects-in-sector-8-airoli-navi-mumbai
r394019,Mohan Precious Greens,Thane Outskirts,https://www.squareyards.com/sale/1-bhk-for-sale-in-thane
r35074,Doshi Euphoria,Chennai South,https://www.squareyards.com/projects-by-doshi-in-chennai
r61361,Status Vihar,Navi Mumbai,https://www.squareyards.com/resale-2-bhk-1150-sq-ft-apartment-in-status-vihar/7565228
r17730,Sheth Vasant Pride,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/sheth-vasant-pride/25877/project
r280169,MGH Anandam Awaas,Dharuhera,Not Found
r4780,Mahavir Kalpavruksha,Thane,https://www.squareyards.com/sale/resale-properties-in-mahavir-kalpavruksha-thane
r7098,Hawelia Valencia Homes,Greater Noida,https://www.squareyards.com/sale/resale-properties-in-hawelia-valencia-homes-greater-noida
r262010,Bestech Altura,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/bestech-park-view-altura/8469/project
r33588,Panchshil Yoopune,Pune East,https://www.squareyards.com/pune-residential-property/panchshil-yoopune/7222/project
r426335,Paradise Sai Platinum,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/paradise-sai-platinum/247141/project
r319399,Godrej Rejuve,Pune East,https://www.squareyards.com/sale/resale-properties-in-godrej-rejuve-pune
r25986,Kasturi Epitome,Pune West,https://www.squareyards.com/sale/resale-properties-in-kasturi-epitome-pune
r268829,Casagrand Asta,Chennai North,https://www.squareyards.com/ready-to-move-by-casagrand-in-chennai
r112855,Vishwanath Maher Homes,Ahmedabad West,https://www.squareyards.com/ahmedabad-residential-property/vishwanath-sarathya-west/246510/project
r12338,CGHS Arvind Apartment,Dwarka Delhi,https://www.squareyards.com/sale/4-bhk-for-sale-in-sector-22-dwarka-delhi
r420294,Gami Tiara,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/gami-tiara/231911/project
r146713,Sethia Kalpavruksh Heights,Western Mumbai,https://www.squareyards.com/rent/property-for-rent-in-sethia-kalpavruksh-heights-mumbai
r342173,The Crown,Kolkata North,https://www.squareyards.com/kolkata-residential-property/tamopaha-visaaya/247729/project
r355530,Runwal The Central Park,Pune North,https://www.squareyards.com/pune-residential-property/runwal-the-central-park/100625/project
r266455,HUDA Plots,Faridabad,https://www.squareyards.com/sale/plots-for-sale-in-sector-77-faridabad
r333251,Pyramid Heights,Gurgaon,https://www.squareyards.com/sale/resale-properties-in-pyramid-heights-gurgaon
r430682,Leena Oasis,Mira Bhayandar,https://www.squareyards.com/thane-residential-property/leena-oasis/247890/project
r1038,Pashmina Waterfront,Bangalore East,https://www.squareyards.com/sale/apartments-for-sale-in-old-madras-road-bangalore
r1642,Naman Habitat,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/naman-habitat/6754/project
r390257,Crown Dombivli by Lodha,Thane Outskirts,https://www.squareyards.com/thane-residential-property/lodha-crown-quality-homes/11175/project
r231805,Omaxe Celestia Royal,Chandigarh,https://www.squareyards.com/chandigarh-residential-property/omaxe-new-chandigarh/108949/project/location-map
r57912,Clover Pinnacle Ridge,Pune South,https://www.squareyards.com/sale/resale-properties-in-clover-pinnacle-ridge-pune
r32092,Viva Maitry Heights,Beyond Mira Road,https://www.squareyards.com/palghar-residential-property/vinay-unique-gardens/6939/project
r407002,Tricity Natraj,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/tricity-natraj/222509/project/floor-plans
r157257,Jagdale Amizra,Thane,https://www.squareyards.com/sale/resale-properties-in-jagdale-amizra-thane
r435520,Satyam Stella,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/satyam-stella/312422/project
r8186,Paradise Sai Spring,Navi Mumbai,https://www.squareyards.com/sale/1-bhk-flat-in-paradise-sai-spring-navi-mumbai
r428348,Shri Krishna Anandam,Vrindavan,https://www.squareyards.com/greater-noida-residential-property/anandam-villas/109843/project
r46638,Marian Park,Mangalore,https://www.squareyards.com/sale/4-bhk-for-sale-in-mangalore
r283275,Courtyard Rozanne,Thane,https://www.squareyards.com/sale/resale-properties-in-narang-and-the-wadhwa-courtyard-thane
r17932,Shree Gokul dham,Navi Mumbai,https://www.squareyards.com/sale/2-bhk-flat-in-shree-gokuldham-chs-navi-mumbai
r34888,Ganesh Genesis,Ahmedabad North,https://www.squareyards.com/projects-in-near-nirma-university-on-sg-highway-ahmedabad
r12284,Navkar City,Beyond Mira Road,https://www.squareyards.com/palghar-residential-property/navkar-city-phase-ii/25657/project
