XID,URL,Project Name,Phase,Rera Number
260686,https://www.squareyards.com/bangalore-residential-property/brigade-laguna/15344/project,Brigade Laguna,Single phase,PRM/KA/RERA/1251/309/PR/170322/004775
262668,https://www.squareyards.com/bangalore-residential-property/sipani-royal-heritage/17272/project,Sipani Royal Heritage,Single phase,PRM/KA/RERA/1251/308/PR/180328/002366
265191,https://www.squareyards.com/coimbatore-residential-property/green-fields-crown-city/316876/project,Green Fields Crown City,Single phase,N/A
267047,https://www.squareyards.com/mumbai-residential-property/runwal-nirvana/28734/project,Runwal Nirvana,Single phase,P51900010100
267635,https://www.squareyards.com/thane-residential-property/godrej-emerald/8617/project,Godrej Emerald,Single phase,P51700000120
268137,https://www.squareyards.com/mumbai-residential-property/runwal-timeless/104724/project,Runwal Timeless,Single phase,P51900005685
269167,https://www.squareyards.com/greater-noida-residential-property/godrej-golf-links-evoke/9146/project,Godrej Golf Links Evoke,Single phase,N/A
269397,https://www.squareyards.com/noida-residential-property/ats-picturesque-reprieves/8650/project,ATS Picturesque Reprieves,Single phase,UPRERAPRJ631
269844,https://www.squareyards.com/jaipur-residential-property/anukampa-sky-lounges/9686/project,Anukampa Sky Lounges,Single phase,N/A
270000,https://www.squareyards.com/noida-residential-property/tata-eureka-park/10953/project,Tata Eureka Park,Single phase,UPRERAPRJ5448
270729,https://www.squareyards.com/greater-noida-residential-property/ats-rhapsody/8676/project,ATS Rhapsody,Single phase,UPRERAPRJ4115
272201,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-opus/8771/project,Salarpuria Sattva Opus,Single phase,PRM/KA/RERA/1251/309/PR/170921/000747
273851,https://www.squareyards.com/chennai-residential-property/shantiniketan-vega/306917/project,Shantiniketan Vega,Single phase,TN/01/Building/0012/2017
273879,https://www.squareyards.com/greater-noida-residential-property/arihant-abode/100304/project,Arihant Abode,Single phase,UPRERAPRJ15792
274711,https://www.squareyards.com/bangalore-residential-property/renaissance-reserva/94390/project,Renaissance Reserva,Single phase,PRM/KA/RERA/1251/309/PR/190614/002602
275013,https://www.squareyards.com/bangalore-residential-property/pc-amansara/94002/project,PC Amansara,Single phase,N/A
278033,https://www.squareyards.com/thane-residential-property/puranik-grand-central/9250/project,Puranik Grand Central,Single phase,P51700034467
282227,https://www.squareyards.com/mumbai-residential-property/hubtown-25-south/11052/project,Hubtown 25 South,Single phase,P51900006860
290685,https://www.squareyards.com/noida-residential-property/godrej-nest/9255/project,Godrej Nest,Single phase,UPRERAPRJ13521
292929,https://www.squareyards.com/mumbai-residential-property/tridhaatu-morya/10935/project,Tridhaatu Morya,Single phase,P51800047341
293745,https://www.squareyards.com/bangalore-residential-property/sona-vistaas/103200/project,Sona Vistaas,Single phase,PRM/KA/RERA/1251/310/PR/171103/001748
293775,https://www.squareyards.com/bangalore-residential-property/sb-skanda-lake-front/154099/project,SB Skanda Lake Front,Single phase,PRM/KA/RERA/1251/310/PR/171102/001895
295673,https://www.squareyards.com/kolkata-residential-property/tata-88-east/111156/project,Tata 88 East,Single phase,HIRA/P/KOL/2019/000383
296293,https://www.squareyards.com/bangalore-residential-property/provident-park-square/9661/project,Provident Park Square,Single phase,PRM/KA/RERA/1251/310/PR/190129/002307
297055,https://www.squareyards.com/gurgaon-residential-property/godrej-nature-plus/9676/project,Godrej Nature Plus,Single phase,18
298821,https://www.squareyards.com/noida-residential-property/kalpataru-vista/10765/project,Kalpataru Vista,Single phase,UPRERAPRJ14980
299863,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-misty-charm/9848/project,Salarpuria Sattva Misty Charm,Single phase,PRM/KA/RERA/1251/310/PR/180507/001635
302349,https://www.squareyards.com/bangalore-residential-property/sb-temple-tree/109959/project,SB Temple Tree,Single phase,PRM/KA/RERA/1251/310/PR/171223/002016
302889,https://www.squareyards.com/greater-noida-residential-property/ats-happy-trails/10038/project,ATS Happy Trails,Single phase,UPRERAPRJ15574
303401,https://www.squareyards.com/kolkata-residential-property/ps-jiva/112256/project,PS Jiva,Single phase,HIRA/P/SOU/2018/000015
303427,https://www.squareyards.com/bangalore-residential-property/vijaya-aqua-green/231879/project,Vijaya Aqua Green,Single phase,PRM/KA/RERA/1251/309/PR/160623/005997
305417,https://www.squareyards.com/bangalore-residential-property/amrutha-platinum-towers/25406/project,Amrutha Platinum Towers,Single phase,PRM/KA/RERA/1251/446/PR/180420/001525
305723,https://www.squareyards.com/pune-residential-property/vtp-hilife/10163/project,VTP HiLife,Single phase,P52100024885
306189,https://www.squareyards.com/bangalore-residential-property/rohan-upavan/6585/project,Rohan Upavan,Single phase,PRM/KA/RERA/1251/309/PR/180507/001646
306221,https://www.squareyards.com/bangalore-residential-property/jrc-palladio/101295/project,JRC Palladio,Single phase,PRM/KA/RERA/1251/308/PR/180504/001600
306817,https://www.squareyards.com/bangalore-residential-property/concorde-hill-crest/102108/project,Concorde Hill Crest,Single phase,PRM/KA/RERA/1254/460/PR/180521/001784
311999,https://www.squareyards.com/bangalore-residential-property/peace-paramount/103090/project,Peace Paramount,Single phase,PRM/KA/RERA/1251/472/PR/180728/001967
317381,https://www.squareyards.com/bangalore-residential-property/trendsquare-ortus-apartment/106644/project,Trendsquare Ortus Apartment,Single phase,PRM/KA/RERA/1251/309/PR/181210/002201
319475,https://www.squareyards.com/pune-residential-property/adani-atelier-greens/10656/project,Adani Atelier Greens,Single phase,P52100018596
321459,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-serene-life/10413/project,Salarpuria Sattva Serene Life,Single phase,N/A
324247,https://www.squareyards.com/bangalore-residential-property/puravankara-purva-zenium/10487/project,Puravankara Purva Zenium,Single phase,PRM/KA/RERA/1251/309/PR/190129/002311
324633,https://www.squareyards.com/bangalore-residential-property/puravankara-purva-atmosphere/29974/project,Puravankara Purva Atmosphere,Single phase,PRM/KA/RERA/1251/472/PR/190204/002350
326229,https://www.squareyards.com/noida-residential-property/ats-homekraft-pious-hideaways/10400/project,ATS Homekraft Pious Hideaways,Single phase,UPRERAPRJ442430
326693,https://www.squareyards.com/pune-residential-property/gagan-klara/10662/project,Gagan Klara,Single phase,P52100019739
327273,https://www.squareyards.com/noida-residential-property/aba-county-107/10931/project,ABA County 107,Single phase,UPRERAPRJ837374
2,https://www.squareyards.com/noida-residential-property/omaxe-twin-towers/536/project,Omaxe Twin Towers,Single phase,N/A
2,https://www.squareyards.com/noida-residential-property/omaxe-twin-towers/536/project,Omaxe Twin Towers,Single phase,N/A
2,https://www.squareyards.com/noida-residential-property/omaxe-twin-towers/536/project,Omaxe Twin Towers,Single phase,N/A
87,https://www.squareyards.com/ghaziabad-residential-property/ats-advantage/3848/project,N/A,Single phase,N/A
