District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No,Tehsil,Street/ Locality,Open Area (In sq. meters),Total Area Of Project (In sq. meters),Sanctioned Number Of Apartments / Plots
Jaipur,Satyam Utopia,GROUP HOUSING,Satyam Construction,RAJ-RERA-APP-P-2024-9771,RAJ/P/2024/3063 (21/03/2024),Jaipur,"Veer Hanuman Nagar, Gokulpura, Kalwar Road,",626.25,1155.12,0
Jaipur,Parth Sunrise,GROUP HOUSING,Parth Sarthi And Sons,RAJ-RERA-APP-P-2024-9758,RAJ/P/2024/3054 (14/03/2024),Jaipur,"Officers enclave, Gokulpura, kalwar road, Jhotwara",503.01,1052.63,0
Jaipur,ALORA,GROUP HOUSING,VARDHAMAN ENTERPRISES,RAJ-RERA-APP-P-2024-9725,RAJ/P/2024/3016 (20/02/2024),Jaipur,"Kardhani Yojna, Govindpura, kalwar Road, Jhotwara, Jaipur",569.16,1091.25,0
Jaipur,ASKG Heights II,GROUP HOUSING,ASKG BUILDHOME,RAJ-RERA-APP-P-2024-9657,RAJ/P/2024/3000 (15/02/2024),Jaipur,"Jai dadi Nagar, Gokulpura, Kalwar Road,Jhotwara",578.87,1134.05,0
Jaipur,ONE44 Phase 1 and 1A,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2023-9642,RAJ/P/2024/2923 (13/01/2024),Jaipur,"Lalkothi, Tonk Road",8352.45,14602.92,0
Kota,Horizon Park,PLOTTED,BHATIA COLONIZERS,RAJ-RERA-APP-P-2023-9645,RAJ/P/2024/2915 (11/01/2024),Ladpura,Industrial Estate,14530.00,31800.00,22
Jaipur,VISION 204,GROUP HOUSING,VANSHDEEP BUILDERS PRIVATE lIMITED,RAJ-RERA-APP-P-2023-9594,RAJ/P/2024/2905 (01/01/2024),Sanganer,Jagatpura,1187.31,1713.59,0
Jaipur,Parth Enclave,GROUP HOUSING,Prem Mohan Buildtech,RAJ-RERA-APP-P-2023-9564,RAJ/P/2023/2877 (19/12/2023),Jaipur,"Officers enclave, Near Takiya Choki, kalwar road, Jhotwara",531.85,1176.39,0
Jaipur,Parth Enclave,GROUP HOUSING,Prem Mohan Buildtech,RAJ-RERA-APP-P-2023-9564,RAJ/P/2023/2877 (19/12/2023),Jaipur,"Officers enclave, Near Takiya Choki, kalwar road, Jhotwara",531.85,1176.39,0
Jaipur,BHAVYAA GREEN GRANDEUR,GROUP HOUSING,BHAVYAA GREEN BUILDERS,RAJ-RERA-APP-P-2023-9549,RAJ/P/2023/2856 (08/12/2023),Jaipur,"Ground Floor,Rear Portion,Malviya Nagar",2594.11,4080.00,0
