District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No,Tehsil,Street/ Locality,Open Area (In sq. meters),Total Area Of Project (In sq. meters),Sanctioned Number Of Apartments / Plots
Jaipur,GALAXY ENCLAVE,PLOTTED,GALAXY REALMART PRIVATE LIMITED,RAJ-RERA-APP-P-2017-805,RAJ/P/2017/448 (17/11/2017),Jaipur,"GEM ENCLAVE, PRADAHAN MARG",116799.23,,18
Kota,AANANDAM,GROUP HOUSING,Om Constructions,RAJ-RERA-APP-P-2017-1022,RAJ/P/2017/412 (03/11/2017),Jaipur,"MALVIYA Marg, C-SCHEME",7133.48,10278.90,0
Jaipur,Pallacia,GROUP HOUSING,Om Metals Consortium Private Limited,RAJ-RERA-APP-P-2017-550,RAJ/P/2017/399 (31/10/2017),Jaipur,"Near Revenue Building, Prithviraj Road, C-Scheme, Jaipur",11555.51,19134.81,0
Jaipur,SYMPHONIA,GROUP HOUSING,GOLDENDUNES HEIGHTS LLP,RAJ-RERA-APP-P-2017-969,RAJ/P/2017/345 (13/10/2017),Jaipur,VAISHALI NAGAR,0.00,6761.17,0
Jaipur,MANGLAM AADHAR VAISHALI ESTATE,GROUP HOUSING,MANGLAMHOME CONSTRUCTION COMPANY LLP,RAJ-RERA-APP-P-2017-972,RAJ/P/2017/341 (13/10/2017),Jaipur,"LAL KOTHI, TONK ROAD,",2845.51,18410.20,0
Jaipur,MANGLAM AANANDA PHASE-II,GROUP HOUSING,MANGLAM BUILD DEVELOPERS LIMITED,RAJ-RERA-APP-P-2017-750,RAJ/P/2017/329 (11/10/2017),Jaipur,"LALKOTHI, TONK ROAD",6500.00,118960.52,0
Jaipur,GKB'S GRACE,GROUP HOUSING,GOVIND KRIPA INFRATECH PRIVATE LIMITED,RAJ-RERA-APP-P-2017-382,RAJ/P/2017/298 (06/10/2017),Jaipur,STATION ROAD,5651.61,8897.66,-112
Jaipur,Jewel of India-1,GROUP HOUSING,Suncity Projects Private Limited,RAJ-RERA-APP-P-2017-477,RAJ/P/2017/244 (27/09/2017),Jaipur,"JLN Marg,Jaipur",0.00,71618.00,0
Kota,Green AAlyam,GROUP HOUSING,K R P INDUSTRIES LIMITED,RAJ-RERA-APP-P-2017-341,RAJ/P/2017/213 (25/09/2017),Ladpura,MALA ROAD,6437.25,8934.82,0
Jaipur,ARG ANANTA-II,GROUP HOUSING,ARG Developers Private Limited,RAJ-RERA-APP-P-2017-835,RAJ/P/2017/209 (20/09/2017),Jaipur,"Chitranjan Marg, C-scheme",0.00,8880.00,0
Jaipur,Mahima's Sansaar Phase-I,GROUP HOUSING,MAHIMA REAL ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2017-890,RAJ/P/2017/202 (19/09/2017),Jaipur,"22 Godam Circle, Sardar Patel Marg",26428.61,86533.75,0
Kota,SUWALKA RIDDHI SIDDHI RESIDENCY,Mixed (Residential And Commercial),SUWALKA AND SUWALKA PROPERTIES AND BUILDERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-602,RAJ/P/2017/169 (11/09/2017),Ladpura,SHOPPING CENTER,6548.58,10900.00,0
Kota,MERIDIAN HEIGHTS,GROUP HOUSING,PRANAY INFRA BUILD P L,RAJ-RERA-APP-P-2017-605,RAJ/P/2017/164 (08/09/2017),Ladpura,KUNHARI,4980.41,8211.39,28
Alwar,EWS / LIG - COSMOS GREENS,GROUP HOUSING,COSMOS INFRA ENGINEERING INDIA PVT LTD,RAJ-RERA-APP-P-2017-465,RAJ/P/2017/163 (08/09/2017),Tijara,"Tolstoy Marg,",382.00,129674.00,0
Alwar,EWS / LIG - COSMOS GREENS,GROUP HOUSING,COSMOS INFRA ENGINEERING INDIA PVT LTD,RAJ-RERA-APP-P-2017-465,RAJ/P/2017/163 (08/09/2017),Tijara,"Tolstoy Marg,",382.00,129674.00,0
Alwar,ASHOKA - COSMOS GREENS,GROUP HOUSING,COSMOS INFRA ENGINEERING INDIA PVT LTD,RAJ-RERA-APP-P-2017-467,RAJ/P/2017/162 (08/09/2017),Tijara,"Tolstoy Marg,",1857.00,129674.00,0
Alwar,Terra Elegance,GROUP HOUSING,Elegent Infrastructure Pvt Ltd,RAJ-RERA-APP-P-2017-535,RAJ/P/2017/158 (06/09/2017),Tijara,Bhiwadi - Alwar Highway,5002.48,19571.22,0
Alwar,Terra Heritage,GROUP HOUSING,TERRA DEVELOPERS,RAJ-RERA-APP-P-2017-544,RAJ/P/2017/157 (06/09/2017),Tijara,Bhiwadi-Alwar Highway,36228.00,43491.61,0
Jaipur,MAX HEIIGHTS MAJESTIC,GROUP HOUSING,Ayaan Buildtech Private Limited,RAJ-RERA-APP-P-2017-406,RAJ/P/2017/150 (05/09/2017),Jaipur,"Ring Road Mall, Mangalam Place, Sector-3, Rohini",0.00,31354.00,0
Jaipur,MAHIMA'S SHUBH NILAY Phase-I,GROUP HOUSING,GREEN BUILDESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2017-295,RAJ/P/2017/100 (28/08/2017),Jaipur,"22 Godam Circle, Sardar Patel Marg, Jaipur",10959.52,45915.83,-18
Jaipur,Siddha Aangan - Phase III (Mayur & Saras),GROUP HOUSING,SIDDHA INFRA PROJECTS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-427,RAJ/P/2017/087 (24/08/2017),Jaipur,VAISHALI NAGAR,2026.00,12404.00,120
Jaipur,AMALTAS,Mixed (Residential And Commercial),PLATINUM REALMART LLP,RAJ-RERA-APP-P-2017-172,RAJ/P/2017/085 (24/08/2017),Jaipur,"Dhaka Nagar,Sirsi Road",9199.68,12581.92,0
Alwar,Eldeco Hillside,GROUP HOUSING,Eldeco Infrastructure and Properties Limited,RAJ-RERA-APP-P-2017-229,RAJ/P/2017/067 (22/08/2017),Neemrana,Japnese Zone,0.00,47663.00,0
Jaipur,ARG ANANTA,GROUP HOUSING,ARG CG Developers LLP,RAJ-RERA-APP-P-2017-149,RAJ/P/2017/054 (17/08/2017),Jaipur,"Chitranjan Marg , C- Scheme",0.00,11512.00,0
Jaipur,MAHIMA'S NIRVANA II,GROUP HOUSING,MAHIMA REAL ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2017-201,RAJ/P/2017/041 (09/08/2017),Jaipur,"22 Godam Circle, Sardar Patel Marg",3182.44,4126.71,0
Alwar,Ashiana Tarang Phase I,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2017-96,RAJ/P/2017/031 (04/08/2017),Jaipur,"Lalkothi, Tonk Road",6947.00,48478.88,0
Jaipur,Trimurty's Arabella,GROUP HOUSING,Trimurty Landcon INDIA Pvt Ltd,RAJ-RERA-APP-P-2017-154,RAJ/P/2017/027 (04/08/2017),Jaipur,"G-8, Geeta Enclave, Vinoba Marg, C-Scheme",1955.22,3151.16,0
Jaipur,Ashiana Umang Phase III,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2017-97,RAJ/P/2017/022 (04/08/2017),Jaipur,"Lalkothi, Tonk Road",6094.50,51213.52,0
Jaipur,MAHIMA'S BELLEVISTA,GROUP HOUSING,MAHIMA REAL ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2017-85,RAJ/P/2017/019 (25/07/2017),Jaipur,"22 Godam Circle, Sardar Patel Marg",7271.89,9503.00,0
Jaipur,THE CROWN,GROUP HOUSING,GORBANDH FORT AND PALACE LLP,RAJ-RERA-APP-P-2017-32,RAJ/P/2017/001 (03/07/2017),Jaipur,"AIRPORT ENCLAVE SCHEME, TONK ROAD, JAIPUR",4955.58,7043.33,0
Jaipur,THE CROWN,GROUP HOUSING,GORBANDH FORT AND PALACE LLP,RAJ-RERA-APP-P-2017-32,RAJ/P/2017/001 (03/07/2017),Jaipur,"AIRPORT ENCLAVE SCHEME, TONK ROAD, JAIPUR",4955.58,7043.33,0
Jaipur,Jaipur Greens Extn - Savana,PLOTTED,EMAAR India Ltd,RAJ-RERA-APP-P-2024-9730,RAJ/P/2024/2997 (15/02/2024),Sanganer,"306-308, Square-One, C-2, District Centre, Saket, New Delhi, South Delhi, Delhi, India.",36699.21,71294.81,21
Jaipur,VEDANTA Phase-II,GROUP HOUSING,Renaissance Buildhome Pvt Ltd.,RAJ-RERA-APP-P-2022-5808,RAJ/P/2022/2207 (19/10/2022),Jaipur,Malviya Nagar,9070.58,39415.64,-115
Jaipur,Jaipur Green Extension - Vaikunth New,PLOTTED,EMAAR India Ltd,RAJ-RERA-APP-P-2020-2638,RAJ/P/2020/1390 (11/11/2020),Sanganer,"306-308, Square-One, C-2, District Centre, Saket, New Delhi, South Delhi, Delhi, India.",13387.24,39207.36,13
Jaipur,"Sky Lounges (A&B block of Platina Terraces ) Phase ""II""",GROUP HOUSING,ABHINANDAN LAND DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2017-174,RAJ/P/2017/051 (16/08/2017),Jaipur,"SURYA NAGAR,GOPALPURA BYE PASS",0.00,17488.75,0
