Registration No,"Common Area And Facilities,Amenities",Proposed,Percentage of Completion
RAJ-P-2023-2442,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2442,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2442,Others,Yes,0
RAJ-P-2023-2426,Water Supply,Yes,0
RAJ-P-2023-2426,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2023-2426,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2023-2426,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2023-2426,Fire Fighting Provision,Not Applicable,0
RAJ-P-2023-2426,Others,Yes,0
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2025-3468,Fire Fighting Provision,Yes,0
RAJ-P-2025-3468,Others,No,0
RAJ-P-2024-3427,Water Supply,Yes,0
RAJ-P-2024-3427,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3427,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3427,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3427,Fire Fighting Provision,No,0
RAJ-P-2024-3427,Others,No,0
RAJ-P-2024-3420,Water Supply,Yes,0
RAJ-P-2024-3420,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3420,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3420,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3420,Fire Fighting Provision,Yes,0
RAJ-P-2024-3420,Others,No,0
RAJ-P-2024-3353,Water Supply,Yes,0
RAJ-P-2024-3353,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3353,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3353,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3353,Fire Fighting Provision,Not Applicable,0
RAJ-P-2024-3353,Others,No,0
RAJ-P-2024-3341,Water Supply,Yes,0
RAJ-P-2024-3341,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3341,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3341,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3341,Fire Fighting Provision,Yes,0
RAJ-P-2024-3341,Others,No,0
RAJ-P-2024-3322,Water Supply,Yes,0
RAJ-P-2024-3322,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3322,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3322,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3322,Fire Fighting Provision,Yes,0
RAJ-P-2024-3322,Others,No,0
RAJ-P-2024-3277,Water Supply,Yes,0
RAJ-P-2024-3277,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3277,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3277,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3277,Fire Fighting Provision,Yes,0
RAJ-P-2024-3277,Others,No,0
RAJ-P-2024-3261,Water Supply,Yes,0
RAJ-P-2024-3261,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3261,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3261,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3261,Fire Fighting Provision,Yes,0
RAJ-P-2024-3261,Others,No,0
RAJ-P-2024-3238,Water Supply,Yes,0
RAJ-P-2024-3238,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3238,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3238,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3238,Fire Fighting Provision,Yes,0
RAJ-P-2024-3238,Others,No,0
RAJ-P-2024-3237,Water Supply,Yes,0
RAJ-P-2024-3237,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3237,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3237,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3237,Fire Fighting Provision,Yes,0
RAJ-P-2024-3237,Others,No,0
RAJ-P-2024-3223,Water Supply,No,0
RAJ-P-2024-3223,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3223,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3223,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3223,Fire Fighting Provision,Not Applicable,0
RAJ-P-2024-3223,Others,Yes,0
RAJ-P-2024-3220,Water Supply,Yes,0
RAJ-P-2024-3220,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3220,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3220,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3220,Fire Fighting Provision,Yes,0
RAJ-P-2024-3220,Others,No,0
RAJ-P-2024-3218,Water Supply,Yes,0
RAJ-P-2024-3218,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3218,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3218,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3218,Fire Fighting Provision,Yes,0
RAJ-P-2024-3218,Others,No,0
RAJ-P-2024-3197,Water Supply,Yes,0
RAJ-P-2024-3197,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3197,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3197,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3197,Fire Fighting Provision,Yes,0
RAJ-P-2024-3197,Others,No,0
RAJ-P-2024-3196,Water Supply,Yes,0
RAJ-P-2024-3196,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3196,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3196,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3196,Fire Fighting Provision,Yes,0
RAJ-P-2024-3196,Others,No,0
RAJ-P-2024-3193,Water Supply,No,0
RAJ-P-2024-3193,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3193,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3193,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3193,Fire Fighting Provision,Not Applicable,0
RAJ-P-2024-3193,Others,Yes,0
RAJ-P-2024-3183,Water Supply,Yes,0
RAJ-P-2024-3183,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3183,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3183,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3183,Fire Fighting Provision,Yes,0
RAJ-P-2024-3183,Others,No,0
RAJ-P-2024-3165,Water Supply,Yes,0
RAJ-P-2024-3165,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3165,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3165,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3165,Fire Fighting Provision,Yes,0
RAJ-P-2024-3165,Others,No,0
RAJ-P-2024-3154,Water Supply,Yes,0
RAJ-P-2024-3154,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3154,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3154,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3154,Fire Fighting Provision,Yes,0
RAJ-P-2024-3154,Others,No,0
RAJ-P-2024-3128,Water Supply,Yes,0
RAJ-P-2024-3128,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3128,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3128,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3128,Fire Fighting Provision,Yes,0
RAJ-P-2024-3128,Others,No,0
RAJ-P-2024-3117,Water Supply,Yes,0
RAJ-P-2024-3117,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3117,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3117,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3117,Fire Fighting Provision,Yes,0
RAJ-P-2024-3117,Others,Yes,0
RAJ-P-2024-3111,Water Supply,Yes,0
RAJ-P-2024-3111,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3111,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3111,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3111,Fire Fighting Provision,Yes,0
RAJ-P-2024-3111,Others,No,0
RAJ-P-2024-3100,Water Supply,No,0
RAJ-P-2024-3100,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3100,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3100,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3100,Fire Fighting Provision,Not Applicable,0
RAJ-P-2024-3100,Others,Yes,0
RAJ-P-2024-3063,Water Supply,Not Applicable,0
RAJ-P-2024-3063,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2024-3063,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2024-3063,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2024-3063,Fire Fighting Provision,Not Available,0
RAJ-P-2024-3063,Others,Yes,0
RAJ-P-2024-3058,Water Supply,Not Applicable,0
RAJ-P-2024-3058,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2024-3058,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2024-3058,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2024-3058,Fire Fighting Provision,Not Available,0
RAJ-P-2024-3058,Others,Yes,0
RAJ-P-2024-3054,Water Supply,Not Available,0
RAJ-P-2024-3054,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2024-3054,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2024-3054,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2024-3054,Fire Fighting Provision,Not Available,0
RAJ-P-2024-3054,Others,Yes,0
RAJ-P-2024-3016,Water Supply,Not Available,0
RAJ-P-2024-3016,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2024-3016,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2024-3016,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2024-3016,Fire Fighting Provision,Not Available,0
RAJ-P-2024-3016,Others,Yes,0
RAJ-P-2024-3000,Water Supply,Yes,0
RAJ-P-2024-3000,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3000,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3000,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3000,Fire Fighting Provision,Yes,0
RAJ-P-2024-3000,Others,Yes,0
RAJ-P-2024-2923,Water Supply,Yes,0
RAJ-P-2024-2923,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-2923,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-2923,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-2923,Fire Fighting Provision,Yes,0
RAJ-P-2024-2923,Others,No,0
RAJ-P-2024-2915,Water Supply,No,0
RAJ-P-2024-2915,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-2915,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-2915,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-2915,Fire Fighting Provision,Not Applicable,0
RAJ-P-2024-2915,Others,Yes,0
RAJ-P-2024-2905,Water Supply,Not Available,0
RAJ-P-2024-2905,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2024-2905,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2024-2905,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2024-2905,Fire Fighting Provision,Not Available,0
RAJ-P-2024-2905,Others,Yes,0
RAJ-P-2023-2877,Water Supply,Not Available,0
RAJ-P-2023-2877,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2877,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2877,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2877,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2877,Others,Yes,0
RAJ-P-2023-2856,Water Supply,Not Available,0
RAJ-P-2023-2856,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2856,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2856,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2856,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2856,Others,Yes,0
RAJ-P-2023-2841,Water Supply,Not Available,0
RAJ-P-2023-2841,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2841,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2841,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2841,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2841,Others,Yes,0
RAJ-P-2023-2836,Water Supply,Yes,0
RAJ-P-2023-2836,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2023-2836,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2023-2836,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2023-2836,"Electrification(Transformer, Solar Energy etc)",No,0
RAJ-P-2023-2836,Fire Fighting Provision,Yes,0
RAJ-P-2023-2836,Others,No,0
RAJ-P-2023-2755,Water Supply,Not Available,0
RAJ-P-2023-2755,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2755,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2755,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2755,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2755,Others,Yes,0
RAJ-P-2023-2742,Water Supply,Yes,0
RAJ-P-2023-2742,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2023-2742,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2023-2742,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2023-2742,Fire Fighting Provision,Yes,0
RAJ-P-2023-2742,Others,No,0
RAJ-P-2023-2730,Water Supply,Not Available,0
RAJ-P-2023-2730,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2730,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2730,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2730,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2730,Others,Yes,0
RAJ-P-2023-2719,Water Supply,Yes,0
RAJ-P-2023-2719,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2023-2719,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2023-2719,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2023-2719,Fire Fighting Provision,Yes,0
RAJ-P-2023-2719,Others,No,0
RAJ-P-2023-2700,Water Supply,Yes,0
RAJ-P-2023-2700,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2023-2700,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2023-2700,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2023-2700,Fire Fighting Provision,Yes,0
RAJ-P-2023-2700,Others,No,0
RAJ-P-2023-2668,Water Supply,Yes,48
RAJ-P-2023-2668,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2023-2668,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2023-2668,"Electrification(Transformer, Solar Energy etc)",Yes,9
RAJ-P-2023-2668,Fire Fighting Provision,Yes,100
RAJ-P-2023-2668,Others,No,0
RAJ-P-2023-2651,Water Supply,Not Available,0
RAJ-P-2023-2651,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2651,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2651,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2651,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2651,Others,Yes,0
RAJ-P-2023-2650,Water Supply,Not Available,0
RAJ-P-2023-2650,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2650,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2650,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2650,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2650,Others,Yes,0
RAJ-P-2023-2636,Water Supply,Not Available,0
RAJ-P-2023-2636,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2636,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2636,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2636,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2636,Others,Yes,0
RAJ-P-2023-2606,Water Supply,Yes,0
RAJ-P-2023-2606,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2023-2606,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2023-2606,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2023-2606,Fire Fighting Provision,Not Applicable,0
RAJ-P-2023-2606,Others,Yes,0
RAJ-P-2023-2600,Water Supply,Not Available,0
RAJ-P-2023-2600,Rain Water Harvesting/ Recharging,Not Applicable,0
RAJ-P-2023-2600,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2600,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2600,Fire Fighting Provision,Not Applicable,0
RAJ-P-2023-2600,Others,Yes,0
RAJ-P-2023-2582,Water Supply,Not Available,0
RAJ-P-2023-2582,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2582,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2582,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2582,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2582,Others,Yes,0
RAJ-P-2023-2571,Water Supply,Not Available,0
RAJ-P-2023-2571,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2571,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2571,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2571,Fire Fighting Provision,Not Applicable,0
RAJ-P-2023-2571,Others,Yes,0
RAJ-P-2023-2546,Water Supply,Not Available,0
RAJ-P-2023-2546,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2546,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2546,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2546,Fire Fighting Provision,Not Applicable,0
RAJ-P-2023-2546,Others,Yes,0
RAJ-P-2023-2544,Water Supply,Not Available,0
RAJ-P-2023-2544,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2544,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2544,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2544,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2544,Others,Yes,0
RAJ-P-2023-2512,Water Supply,Not Available,0
RAJ-P-2023-2512,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2512,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2512,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2512,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2512,Others,Yes,0
RAJ-P-2023-2466,Water Supply,Not Available,0
RAJ-P-2023-2466,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2466,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2466,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2466,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2466,Others,Yes,0
RAJ-P-2023-2442,Water Supply,Not Available,0
RAJ-P-2023-2442,Rain Water Harvesting/ Recharging,Not Available,0
RAJ-P-2023-2442,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Not Available,0
RAJ-P-2023-2442,"Electrification(Transformer, Solar Energy etc)",Not Available,0
RAJ-P-2023-2442,Fire Fighting Provision,Not Available,0
RAJ-P-2023-2442,Others,Yes,0
RAJ-P-2023-2426,Water Supply,Yes,0
RAJ-P-2023-2426,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2023-2426,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2023-2426,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2023-2426,Fire Fighting Provision,Not Applicable,0
RAJ-P-2023-2426,Others,Yes,0
RAJ-P-2023-2419,Water Supply,Yes,0
RAJ-P-2023-2419,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2023-2419,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2023-2419,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2023-2419,Fire Fighting Provision,Not Applicable,0
RAJ-P-2023-2419,Others,Yes,0
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2025-3468,Fire Fighting Provision,Yes,0
RAJ-P-2025-3468,Others,No,0
RAJ-P-2024-3427,Water Supply,Yes,0
RAJ-P-2024-3427,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3427,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3427,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3427,Fire Fighting Provision,No,0
RAJ-P-2024-3427,Others,No,0
RAJ-P-2024-3420,Water Supply,Yes,0
RAJ-P-2024-3420,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3420,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3420,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3420,Fire Fighting Provision,Yes,0
RAJ-P-2024-3420,Others,No,0
RAJ-P-2024-3353,Water Supply,Yes,0
RAJ-P-2024-3353,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3353,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3353,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3353,Fire Fighting Provision,Not Applicable,0
RAJ-P-2024-3353,Others,No,0
RAJ-P-2024-3341,Water Supply,Yes,0
RAJ-P-2024-3341,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3341,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3341,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3341,Fire Fighting Provision,Yes,0
RAJ-P-2024-3341,Others,No,0
RAJ-P-2024-3322,Water Supply,Yes,0
RAJ-P-2024-3322,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3322,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3322,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3322,Fire Fighting Provision,Yes,0
RAJ-P-2024-3322,Others,No,0
RAJ-P-2024-3277,Water Supply,Yes,0
RAJ-P-2024-3277,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3277,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3277,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3277,Fire Fighting Provision,Yes,0
RAJ-P-2024-3277,Others,No,0
RAJ-P-2024-3261,Water Supply,Yes,0
RAJ-P-2024-3261,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3261,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3261,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3261,Fire Fighting Provision,Yes,0
RAJ-P-2024-3261,Others,No,0
RAJ-P-2024-3238,Water Supply,Yes,0
RAJ-P-2024-3238,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3238,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3238,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3238,Fire Fighting Provision,Yes,0
RAJ-P-2024-3238,Others,No,0
RAJ-P-2024-3237,Water Supply,Yes,0
