Registration No,"Common Area And Facilities,Amenities",Proposed,Percentage of Completion
RAJ-P-2024-3261,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3261,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3261,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3261,Fire Fighting Provision,Yes,0
RAJ-P-2024-3261,Others,No,0
RAJ-P-2024-3238,Water Supply,Yes,0
RAJ-P-2024-3238,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3238,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3238,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3238,Fire Fighting Provision,Yes,0
RAJ-P-2024-3238,Others,No,0
RAJ-P-2024-3237,Water Supply,Yes,0
RAJ-P-2024-3237,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3237,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3237,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3237,Fire Fighting Provision,Yes,0
RAJ-P-2024-3237,Others,No,0
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2025-3468,Fire Fighting Provision,Yes,0
RAJ-P-2025-3468,Others,No,0
RAJ-P-2024-3427,Water Supply,Yes,0
RAJ-P-2024-3427,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3427,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3427,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3427,Fire Fighting Provision,No,0
RAJ-P-2024-3427,Others,No,0
RAJ-P-2024-3420,Water Supply,Yes,0
