Registration Number,Building Name,Floor Details
PBRERA-SAS81-PR0892,RESIDENTIAL PLOT NOS 145-185 254-291,"Number of Floor/Plots Currently Sanctioned: 79
Number of Floor/Plots Proposed: 79
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0892,RESIDENTIAL PLOT NOS 208-238,"Number of Floor/Plots Currently Sanctioned: 31
Number of Floor/Plots Proposed: 31
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0892,RESIDENTIAL PLOT NOS 239-253,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0892,RESIDENTIAL PLOT NOS 292-324,"Number of Floor/Plots Currently Sanctioned: 33
Number of Floor/Plots Proposed: 33
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0892,RESIDENTIAL PLOT NOS 186-194,"Number of Floor/Plots Currently Sanctioned: 9
Number of Floor/Plots Proposed: 9
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0892,RESIDENTIAL PLOT NOS 53-68 69-87,"Number of Floor/Plots Currently Sanctioned: 35
Number of Floor/Plots Proposed: 35
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0892,IDP SPLUS3 RESIDENTIAL PLOT 1-38 88-144 195-207,"Number of Floor/Plots Currently Sanctioned: 108
Number of Floor/Plots Proposed: 108
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER A,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER B,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER C,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER D,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER E,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER F,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER G,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER H,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER I,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,TOWER J,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0866,COMMERCIAL SHOPS PLUS STORE,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0854,WILLASA FLOORS,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0830,BLOCK-H,"Number of Floor/Plots Currently Sanctioned: 54
Number of Floor/Plots Proposed: 54
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0828,TOWER 14,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0828,TOWER 15,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0828,TOWER 16,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 324
Number of Floor/Plots Proposed: 324
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,JUBILEE PORTICO - COMMERCIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 86
Number of Floor/Plots Proposed: 86
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-89,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0819,P-90,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
