Registration Number,Building Name,Floor Details
PBRERA-SAS81-PR0319,IREO HAMLET,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0308,WELLINGTON HEIGHT 2,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 11"
PBRERA-SAS81-PR0199,SKY GARDEN PHASE-1 TOWER-ABJK,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 12"
PBRERA-SAS81-PR0170,GALAXY HEIGHTS POCKET 2A PHASE 2,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 2"
PBRERA-SAS81-PR0154,TOWER-D,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 16"
PBRERA-SAS81-PR0154,TOWER-C,"Number of Floor/Plots Currently Sanctioned: 17
Number of Floor/Plots Proposed: 17
Number of Floors Constructed: 17"
PBRERA-SAS81-PR0154,TOWER-B,"Number of Floor/Plots Currently Sanctioned: 18
Number of Floor/Plots Proposed: 18
Number of Floors Constructed: 18"
PBRERA-SAS81-PR0154,TOWER-E,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 16"
PBRERA-SAS81-PR0154,TOWER-F,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 15"
PBRERA-SAS81-PR0154,TOWER-G,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 14"
PBRERA-SAS81-PR0154,TOWER-H,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-SAS81-PR0154,TOWER-T,"Number of Floor/Plots Currently Sanctioned: 9
Number of Floor/Plots Proposed: 9
Number of Floors Constructed: 9"
PBRERA-SAS81-PR0148,BLOCK-B,"Number of Floor/Plots Currently Sanctioned: 101
Number of Floor/Plots Proposed: 101
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0142,WELLINGTON HEIGHT EXTENSION,"Number of Floor/Plots Currently Sanctioned: 64
Number of Floor/Plots Proposed: 64
Number of Floors Constructed: 64"
PBRERA-SAS81-PR0124,TOWER 1,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-SAS81-PR0124,TOWER 2,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-SAS81-PR0124,TOWER 3,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-SAS81-PR0124,TOWER 4,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-SAS81-PR0124,TOWER 5,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-SAS81-PR0124,TOWER 6,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 13"
PBRERA-SAS81-PM0121,PLOTS SIZE LP- 500 SQ YARD,"Number of Floor/Plots Currently Sanctioned: 398
Number of Floor/Plots Proposed: 398
Number of Floors Constructed: 0"
PBRERA-SAS81-PM0121,PLOTS SIZE LP- 400 SQ YARD,"Number of Floor/Plots Currently Sanctioned: 204
Number of Floor/Plots Proposed: 204
Number of Floors Constructed: 0"
PBRERA-SAS81-PM0121,PLOTS SIZE LP2- 200 SQ YARD,"Number of Floor/Plots Currently Sanctioned: 51
Number of Floor/Plots Proposed: 51
Number of Floors Constructed: 0"
PBRERA-SAS81-PM0121,PLOTS SIZE LP1- 200 SQ YARD,"Number of Floor/Plots Currently Sanctioned: 500
Number of Floor/Plots Proposed: 500
Number of Floors Constructed: 0"
PBRERA-SAS81-PM0121,PLOTS SIZE LP2- 300 SQ YARD,"Number of Floor/Plots Currently Sanctioned: 6
Number of Floor/Plots Proposed: 6
Number of Floors Constructed: 0"
PBRERA-SAS81-PM0121,PLOTS SIZE LP1- 300 SQ YARD,"Number of Floor/Plots Currently Sanctioned: 500
Number of Floor/Plots Proposed: 500
Number of Floors Constructed: 0"
PBRERA-SAS81-PM0121,PLOTS SIZE LP- 100 SQ YARD,"Number of Floor/Plots Currently Sanctioned: 468
Number of Floor/Plots Proposed: 468
Number of Floors Constructed: 0"
PBRERA-SAS81-PM0121,PURAB PREMIUM APARTMENT BLOCK A,"Number of Floor/Plots Currently Sanctioned: 360
Number of Floor/Plots Proposed: 360
Number of Floors Constructed: 360"
PBRERA-SAS81-PM0121,PURAB PREMIUM APARTMENT BLOCK B,"Number of Floor/Plots Currently Sanctioned: 360
Number of Floor/Plots Proposed: 360
Number of Floors Constructed: 360"
PBRERA-SAS81-PM0121,PURAB PREMIUM APARTMENT BLOCK C,"Number of Floor/Plots Currently Sanctioned: 480
Number of Floor/Plots Proposed: 480
Number of Floors Constructed: 480"
PBRERA-SAS81-PM0121,PURAB PREMIUM APARTMENT BLOCK D,"Number of Floor/Plots Currently Sanctioned: 420
Number of Floor/Plots Proposed: 420
Number of Floors Constructed: 420"
PBRERA-SAS81-PM0072,BLOCK A,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS81-PM0072,BLOCK B,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS81-PM0072,BLOCK C,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS81-PM0072,BLOCK D,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS81-PM0072,BLOCK E,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS81-PM0072,COMMERCIAL,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PM0006,BLOCK-A,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 10"
PBRERA-SAS81-PM0006,BLOCK-B,"Number of Floor/Plots Currently Sanctioned: 18
Number of Floor/Plots Proposed: 18
Number of Floors Constructed: 18"
PBRERA-SAS81-PM0006,BLOCK-C,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 10"
PBRERA-SAS81-PM0006,BLOCK-D,"Number of Floor/Plots Currently Sanctioned: 18
Number of Floor/Plots Proposed: 18
Number of Floors Constructed: 10"
PBRERA-SAS81-PM0004,FALCON VIEW PHASE-2 TOWER-CDEFGH,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 16"
PBRERA-SAS81-PM0003,FALCON VIEW PHASE-1 TOWER-ABXY,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 16"
PBRERA-SAS80-PR0927,BLOCK 1 S PLUS 14,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0927,BLOCK 1 S PLUS 16,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0927,EWS BLOCK,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0877,BLOCK A1,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0877,CLUB HOUSE,"Number of Floor/Plots Currently Sanctioned: 2
Number of Floor/Plots Proposed: 2
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0877,BLOCK A TOWER 2,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0877,BLOCK A TOWER 1,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0877,BLOCK A TOWER 3,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0860,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 500
Number of Floor/Plots Proposed: 500
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0860,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 60
Number of Floor/Plots Proposed: 60
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0860,SHOPS,"Number of Floor/Plots Currently Sanctioned: 26
Number of Floor/Plots Proposed: 26
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0834,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 241
Number of Floor/Plots Proposed: 241
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0834,COMMERCIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 37
Number of Floor/Plots Proposed: 37
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0781,INDEPENDENT FLOORS PLOTS,"Number of Floor/Plots Currently Sanctioned: 53
Number of Floor/Plots Proposed: 53
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0781,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0781,EWS SITE,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK A1,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK A2,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK A3,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK A4,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK A5,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK A6,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK A7,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK B1,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK B2,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK B3,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK C1,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK C2,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK C3,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK C4,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK C5,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK D,"Number of Floor/Plots Currently Sanctioned: 10
Number of Floor/Plots Proposed: 10
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK E,"Number of Floor/Plots Currently Sanctioned: 2
Number of Floor/Plots Proposed: 2
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0668,BLOCK F,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0398,TRIOMPHE A UNIT 2 AND 3,"Number of Floor/Plots Currently Sanctioned: 32
Number of Floor/Plots Proposed: 32
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0398,TRIOMPHE B,"Number of Floor/Plots Currently Sanctioned: 64
Number of Floor/Plots Proposed: 64
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0398,TRIOMPHE C,"Number of Floor/Plots Currently Sanctioned: 64
Number of Floor/Plots Proposed: 64
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0398,TRIOMPHE D UNIT 2 AND 3,"Number of Floor/Plots Currently Sanctioned: 32
Number of Floor/Plots Proposed: 32
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0398,TRIOMPHE D UNIT 1 AND 4,"Number of Floor/Plots Currently Sanctioned: 32
Number of Floor/Plots Proposed: 32
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0398,TRIOMPHE A UNIT 1 AND 4,"Number of Floor/Plots Currently Sanctioned: 32
Number of Floor/Plots Proposed: 32
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0287,TOWER 1,"Number of Floor/Plots Currently Sanctioned: 128
Number of Floor/Plots Proposed: 128
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0287,TOWER- 12,"Number of Floor/Plots Currently Sanctioned: 64
Number of Floor/Plots Proposed: 64
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0271,BLOCK A,"Number of Floor/Plots Currently Sanctioned: 69
Number of Floor/Plots Proposed: 69
Number of Floors Constructed: 69"
PBRERA-SAS80-PR0271,BLOCK B,"Number of Floor/Plots Currently Sanctioned: 375
Number of Floor/Plots Proposed: 375
Number of Floors Constructed: 375"
PBRERA-SAS80-PR0271,BLOCK C,"Number of Floor/Plots Currently Sanctioned: 85
Number of Floor/Plots Proposed: 85
Number of Floors Constructed: 85"
PBRERA-SAS80-PR0271,BLOCK D,"Number of Floor/Plots Currently Sanctioned: 8
Number of Floor/Plots Proposed: 8
Number of Floors Constructed: 8"
PBRERA-SAS80-PR0271,BLOCK E,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 23"
PBRERA-SAS80-PR0269,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 50
Number of Floor/Plots Proposed: 50
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0210,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0210,COMMERCIAL,"Number of Floor/Plots Currently Sanctioned: 27
Number of Floor/Plots Proposed: 27
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0210,INDUSTRIAL,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0210,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 500
Number of Floor/Plots Proposed: 500
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0210,GROUP HOUSING,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0198,RESIDENTIAL UNITS,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 06,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 01 A,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,MEETING HALL,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 1,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 01 B,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 02,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 02 A,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 03,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 04,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 05,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0197,BLOCK 6 3BHK,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0067,BLOCK 3,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0067,BLOCK 9,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0067,BLOCK 10,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS80-PR0067,BLOCK 1,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 2,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 4,"Number of Floor/Plots Currently Sanctioned: 6
Number of Floor/Plots Proposed: 6
Number of Floors Constructed: 6"
PBRERA-SAS80-PR0067,BLOCK 5,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 6,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 7,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS80-PR0067,BLOCK 8,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 2 BOOTH,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 25
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 1 BOOTH,"Number of Floor/Plots Currently Sanctioned: 46
Number of Floor/Plots Proposed: 59
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 1 SCO,"Number of Floor/Plots Currently Sanctioned: 8
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 1 SHOPS,"Number of Floor/Plots Currently Sanctioned: 18
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,COMMERCIAL POCKET 3 BOOTH,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 31
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0166,SIGNATURE LAKE CITY PLOTS,"Number of Floor/Plots Currently Sanctioned: 368
Number of Floor/Plots Proposed: 419
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0027,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 500
Number of Floor/Plots Proposed: 500
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0027,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0027,COMMERCIAL,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0021,COMMERCIAL,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS80-PM0021,RESIDENTIAL,"Number of Floor/Plots Currently Sanctioned: 86
Number of Floor/Plots Proposed: 86
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,BLOCK A,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,BLOCK B,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,BLOCK C,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,BLOCK D,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0893,EWS BLOCK E,"Number of Floor/Plots Currently Sanctioned: 8
Number of Floor/Plots Proposed: 8
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 1,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 2,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 3,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 4,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 5,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 6,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 7,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 8,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 9,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,TOWER 10,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,BLOCK 2,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,BLOCK 3 AND 4,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,COMMERCIAL POCKET-1,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,COMMERCIAL POCKET-2,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,COMMERCIAL POCKET-3,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0844,BLOCK-1,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0824,COMMERCIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 8
Number of Floor/Plots Proposed: 8
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0824,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 88
Number of Floor/Plots Proposed: 88
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0727,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 167
Number of Floor/Plots Proposed: 167
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0692,BOLLYWOOD GREEN CITY IN PLOT 85-108,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 1,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 2,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 3,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 4,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 5A,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 5B,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 5C,"Number of Floor/Plots Currently Sanctioned: 13
Number of Floor/Plots Proposed: 13
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 6A,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,TOWER 6B,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,SHOPS,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0546,CLUB,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS79-PR0464,SIGNATURE CITY,"Number of Floor/Plots Currently Sanctioned: 500
Number of Floor/Plots Proposed: 500
Number of Floors Constructed: 0"
