XID,URL,Project Name,Builder Name,Location,Price Range,Price per Sqft,Configurations,Completion Date,Unit Size Range,LandMarks,Project Size,Launch Date,RERA Number,Total Number of Units,USP,BHK,Amenity Count,Amenities,Specifications,Photo Count,Video Count,Rating count,Price Trend,Builder URL,Builder Experience,Total Projects,Ongoing Projects,Past Projects,Builder Info,Project Status
2584,https://www.squareyards.com/noida-residential-property/mahagun-mezzaria/588/project,Mahagun Mezzaria,Mahagun,"Sector 78, Noida",Rs3.08 Cr - 4.34 Cr,N/A,"3, 4 BHK Flats",30-Jun-19,2500 Sq. Ft to 3525 Sq. Ft (Saleable),"Schools: Raunak's virtuoso ballet school (0.40 KM), J. S. S. Public School (0.60 KM), KCS Public Inter college (0.73 KM),  (); Bus Stops: Sector 34 (2.61 KM), Noida City Center Sector 32 (2.79 KM), Noida Sector 52 Metro Station (2.81 KM), Noida Sector 32 (2.87 KM), Noida Sector 36 (3.14 KM), Noida Sector-36 (3.17 KM), Sector 106 (3.31 KM), Noida Sector 43 (3.53 KM), Golf Course / Shashi Chowk Sector 36/39 (3.56 KM), Noida Sec-43 (3.60 KM); Hospitals: Sarkari Hospital PHC (1.06 KM), Government hospital barola (1.08 KM), Shri Om Kashyap Lifeline Hospital (1.17 KM),  (); Clinics: Agilus Diagnostics Blood/Pathology services (0.21 KM), AHUJA'S HOMEOPATHIC CLINIC (0.52 KM), Dr.Mohd.Wasim Raja Physiotherapy and Slimming Clinic at MAHAGUN MART Noida Sector 78 (0.52 KM), Active Healers Physiotherapy Clinic at Hyde Park (0.69 KM), Dr Lal PathLabs - MedShubh HealthCare (0.86 KM), Mukta Homeopathy Clinic | Dr. Aashish R. Singh (0.88 KM), CENTRE FOR SIGHT GROUP OF EYE HOSPITALS | NOIDA | UTTAR PRADESH (1.11 KM), Dr. Amrita Mishra I Amaira Homeopathic Healthcare (1.16 KM), Lenskart.com at Sector 75 (1.22 KM), Dr. Sushil Kumar/Centrum Physiotherapy and Chiropractic Clinic (1.34 KM); Gym Fitness: WTF Exclusive Gym : Alpha Fitness Gym (0.28 KM), Black Vigor Elite Sector 49 Noida - Available on cult.fit (0.35 KM), Personal yoga instructor (0.47 KM),  (); Restaurants: 4U (0.33 KM), Cold Rock Cafe (0.34 KM), Maini's Green Leaf (0.73 KM), Mithaas (0.86 KM), Utsav Fine Dining Restaurant (1.13 KM), Flavours Of Magadh (1.93 KM), Khidmat (2.05 KM), Glued Reloaded (2.08 KM), Pizza Hut (2.11 KM), The Burger Club (2.11 KM); College and Universities: Jagran Institute Of Management & Mass Communication (JIMMC) (2.66 KM), Government Post Graduate College Noida (2.88 KM), Nithari Iti College (2.98 KM),  (); Supermarkets: Shreejee Foods (0.53 KM), Patanjali Mega Store (0.93 KM), Needs Super Mart (1.21 KM), Mr Green sec -77 (1.35 KM), NEEDS24 SECTOR 79 (1.52 KM), Spencers (1.68 KM), Chauhansfoodmart (1.87 KM), Supermart (2.14 KM), Lotus Bazaar (2.39 KM), Vishal Mega Mart (2.63 KM); Home Decors: DdecorArch | Interiors | Office Interiors (0.33 KM), Ishaan Kitchen and Wardrobes - modular kitchen in noida (1.17 KM), Godrej Interio Modular Kitchen (Yawea Enterprises) (1.20 KM),  (); Clothings: Firstcry.com Store Noida Sector 49 (0.53 KM), Zudio (0.98 KM), Taneira Sarees (Spectrum Mall (1.21 KM), V-Mart - Bhangel (2.81 KM), Firstcry.com Store Noida Sector 104 (2.86 KM), The Raymond Shop (2.90 KM), Lacoste (2.94 KM), Sport Sun (2.95 KM), Fabindia (2.97 KM), Jockey Exclusive Store (3.02 KM)",10 Acres,Ask for Details,UPRERAPRJ3306,718 units,"Located Nearby Metro Station,Luxurious Decor and Structure,Spacious Apartments are available,Stylish Locality and Premium Living","3, 4 BHK",37,Sauna; Party Hall; Cards Room; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; IGBC Certified Building; Power Backup; Treated Water Supply; 24*7 Water Supply; Separate Enrty /Exit Gates; Service Elevators; Lift; Party Lawn,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Indian Marble; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",20,0,5 Ratings,,https://www.squareyards.com/mahagun-projects/164/builder,24 Years Experience,39,4,35,"The Mahagun Group is a business conglomerate with interests in commercial, real estate and hospitality segments. Mahagun Developers is one of the country’s most well known realty players and has its own team of skilled engineers, space planners and experienced project managers.",Ready to Move
341813,https://www.squareyards.com/noida-residential-property/aba-ivy-county/11120/project,ABA Ivy County,ABA County Group,"Sector 75, Noida",Rs2.82 Cr - 4.27 Cr,"Rs17,000 Per Sq. Ft","3, 4 BHK Flats",30-Sep-19,1656 Sq. Ft to 2511 Sq. Ft (Saleable),"Schools: Shyam Singh Smarak Kanya Inter College (0.67 KM), LPS Global School Noida | Best School in Noida | Top School in Noida (0.99 KM), Gyandeep Public School (1.00 KM),  (); Bus Stops: Noida Sector 52 Metro Station (1.78 KM), Sector 34 (2.31 KM), Noida Sector 71 (2.41 KM), Noida City Center Sector 32 (2.85 KM), Noida Sector 32 (2.96 KM), U Flex Royal Tower (3.10 KM), Kanchanganga Apartment (3.16 KM), Royal Tower (3.22 KM), Noida Sector 33 (3.32 KM), Noida Sector 53 Chowk (3.36 KM); Hospitals: Felix Hospital Polyclinic (0.14 KM), Intercity Hospital Pvt. Ltd. (0.61 KM), Medanta Hospital Site (0.81 KM),  (); Clinics: Dr. Amrita Mishra I Amaira Homeopathic Healthcare (0.52 KM), Mukta Homeopathy Clinic | Dr. Aashish R. Singh (0.65 KM), Lenskart.com at Sector 75 (0.73 KM), CENTRE FOR SIGHT GROUP OF EYE HOSPITALS | NOIDA | UTTAR PRADESH (0.76 KM), Clove Dental Clinic - Top Rated Dentist in Noida Sec 77: Aligner (0.84 KM), Dr. Sushil Kumar/Centrum Physiotherapy and Chiropractic Clinic (1.25 KM), Agilus Diagnostics Blood/Pathology services (1.32 KM), AHUJA'S HOMEOPATHIC CLINIC (1.42 KM), Dr.Mohd.Wasim Raja Physiotherapy and Slimming Clinic at MAHAGUN MART Noida Sector 78 (1.42 KM), Revival Healthcare Services -Sports Injury Treatment (1.43 KM); Gym Fitness: Hype The Gym (0.64 KM), Personal yoga instructor (1.02 KM), 24x7 fitness gym (1.20 KM),  (); Restaurants: Flavours Of Magadh (0.55 KM), Utsav Fine Dining Restaurant (0.66 KM), Mithaas (0.69 KM), 4U (1.19 KM), Cold Rock Cafe (1.20 KM), Diamond Food (1.32 KM), Maini's Green Leaf (1.43 KM), Khidmat (2.38 KM), The Burger Club (2.41 KM), Pizza Hut (2.42 KM); College and Universities: Jagran Institute Of Management & Mass Communication (JIMMC) (1.54 KM), Shri Aditya Sangeet Mahavidyalaya (2.00 KM), Rama Devi Kanya Mahavidyalaya (2.43 KM),  (); Supermarkets: Patanjali Mega Store (0.75 KM), Mr Green sec -77 (0.82 KM), Needs Super Mart (1.03 KM), Shreejee Foods (1.44 KM), NEEDS24 SECTOR 79 (1.76 KM), Bread n Basket (1.77 KM), Reliance SMART Superstore (2.23 KM), KONDLI BAZAR (2.33 KM), Maa annapoorna (2.33 KM), Supermart (2.41 KM); Home Decors: DdecorArch | Interiors | Office Interiors (1.66 KM), Godrej Interio near me (Modular Kitchen (1.75 KM), Ishaan Kitchen and Wardrobes - modular kitchen in noida (2.17 KM),  (); Clothings: Taneira Sarees (Spectrum Mall (0.72 KM), Sport Sun (1.52 KM), Firstcry.com Store Noida Sector 49 (2.00 KM), FirstCry.com Store Noida Sector 122 (2.03 KM), Zudio (2.44 KM), Fabindia (3.08 KM), Shoppers Stop (3.17 KM), Berrylush Designs Pvt Ltd | Dresses | Jumpsuits | Tops | Western Clothing (3.18 KM), Manyavar (3.18 KM), Lacoste (3.85 KM)",5.1 Acres,Ask for Details,UPRERAPRJ757529,546 units,",,,","3, 4 BHK",41,Power Backup; Restaurant; PNG; AC Waiting Lobby; Home Automation; Treated Water Supply; High Speed Elevators; Medical Facility; 24*7 Water Supply; Lift; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Cafe / Coffee Bar; Reading Room/Library; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; IGBC Certified Building; Gymnasium; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Indoor Swimming Pool,"Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: Wardrobes, Split Air Conditioner, Air Conditioner Fittings; Other Bedrooms-Flooring: Laminated Wooden; Walls: Plastic Emulsion; Living Area-Flooring: Laminated Wooden; Ceilings: PoP Design / Punning; Bathroom: Jacuzzi, Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",28,0,10 Ratings,,https://www.squareyards.com/aba-county-group-projects/179/builder,25 Years Experience,17,6,10,"ABA Corp is a leading realty conglomerate which has considerable experience across multiple development categories. It is known for its landmark designs which sport ample aesthetic appeal. The portfolio of ABA projects covers several residential apartments and commercial complexes at prime locations. It is known for its emphasis on unmatched quality above all else. All contemporary amenities are offered to residents at projects while prices are always kept affordable minus any compromises on overall quality. Efficiency is a trait that the company harnesses when it comes to meeting delivery timelines. There is a skilled creative design team in place coupled with others across divisions such as planning, architecture, civil engineering, management, finance, etc. Major offerings include Cleo County, Olive County, Orange County Platinum Condos, Cherry County at rapidly developing areas in Noida. Core values include transparency in business dealings, reliability, integrity, etc.",Ready to Move
426589,https://www.squareyards.com/gurgaon-residential-property/dlf-privana-west/247372/project,DLF Privana West,DLF,"Sector 76, Gurgaon",Rs7.50 Cr,N/A,4 BHK Flats,Ask for Details,3577 Sq. Ft (Saleable),"Schools: Vega schools 76 (0.93 KM), Broadways International School (0.99 KM), Govt. Sr. Sec. School DARBARIPUR (1.45 KM),  (); Bus Stops: Kherki Daula - NH48 (1.73 KM), Next Vatika Chowk (1.94 KM), DLF Corporate Greens (2.19 KM), Sapphire Mall Sector 83 (2.57 KM), Casa Bella (3.06 KM), Rampura Chowk (3.17 KM), Narsinghpur Fob (3.32 KM), Mansoon Breeze Sector - 78 (3.42 KM), Circle 3 / Sector 83 (3.45 KM), HSIIDC Sector 34/35 (3.83 KM); Hospitals: Nouveau Medics Multispeciality OPD (2.33 KM), Artemis Lite - 82A (2.59 KM), Foresight Eye Hospital (2.95 KM),  (); Clinics: White Lily Dental Clinic (1.27 KM), Dr Nupur Sharma - Gynecologist (1.41 KM), Dr. Nupur Sharma - Consultant Obstetrician and Gynecologist - Queen's Polyclinic (1.41 KM), Thyrocare Wellness- Free Home Sample Collection Booking Centre (1.46 KM), Dr. Sonali Mishra (2.04 KM), Elite Physiotherapy & Sports injury Centre | Chiropractic | Osteopath | Gym (2.10 KM), STUDIO REVERE - Dental and Skin Wellness (2.13 KM), Sunshine Speech therapy and occupational therapy center (2.28 KM), Dr. Jagdeep Yadav (2.33 KM), Indiglow Skin & Aesthetics Clinic by Dr. Deepika Yadav - Best Dermatologist & Pediatric Dermatologis (2.35 KM); Gym Fitness: Rohit Health Club (0.80 KM), Tata Fitness Center Pasco (0.94 KM), The Bhan's Powerhouse Fit Gurugram academy (1.20 KM),  (); Restaurants: Kitchen District - Hyatt Regency (1.71 KM), Food Frolic (2.62 KM), The Pizza Square (2.63 KM), Taste Of Gurgaon (2.65 KM), Under The Neem (4.34 KM), Punjab On My Plate (4.48 KM), Bhai Ki Rasoi (4.58 KM), The Hyve (4.79 KM), Binge (5.30 KM), Vapour Bar Exchange (5.32 KM); Temples: Open Temple (2.94 KM), Baba Budhnath Mandir (3.38 KM), Temple (3.53 KM),  (); Food Others: Havmor Ice Cream (2.59 KM), Giani's Icecream (2.62 KM), Harish Bakery (2.63 KM), Harish Bakers & Sweets Sector 83 (2.64 KM), WarmOven Cake & Desserts (2.98 KM), Giani's ice cream (3.67 KM), Monginis Cake Shop (3.90 KM), Nirula's Sector 86 (4.76 KM), Theobroma (4.81 KM), Sweet Truth - Cake And Desserts (5.16 KM); Clothings: GIVO Exclusive Store (1.32 KM), W For Woman (1.75 KM), Pantaloons (Sapphire 83 (2.61 KM),  (); Supermarkets: DMart (2.27 KM), 24SEVEN (2.35 KM), Sodhi's Supermarket (3.32 KM), SODHI'S Super Market Sector-70 Gurugram (3.64 KM), VISHAL MEGA MART- GURGAON (4.02 KM), G.S.Daily Needs (5.17 KM), Home Shopee (5.40 KM), smart bazaar (5.63 KM), Marks and Spencer (5.75 KM), Reliance Smart (5.80 KM)",12.5 Acres,Ask for Details,GGM/819/551/2024/46,785 units,",,,,,,,,",4 BHK,26,Power Backup; AC Waiting Lobby; Treated Water Supply; High Speed Elevators; Pet Area; Car Washing Bays; Laundromat; 24*7 Water Supply; Party Hall; Clubhouse; Indoor Games; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: Wardrobes; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings, Exhaust Fan; Structure: Seismic Zone V Compliant",18,0,5 Ratings,,https://www.squareyards.com/dlf-projects/36/builder,70 Years Experience,153,14,124,"DLF is a celebrated real-estate firm with a legacy of over 75 years having flourished many exemplary real-estate projects across India. DLF Company has manifested in an iconic realty firm which develops marvellous pieces all over India. The considerable mission taken up by DLF is to cater management, investment and estate development with highest expertise.",New Launch
428688,https://www.squareyards.com/gurgaon-residential-property/central-park-bignonia-towers/249831/project,Central Park Bignonia Towers,Central Park Group,"Sohna Sector 32, Gurgaon",Rs5.95 Cr - 8.95 Cr,N/A,"3, 4 BHK Flats",Ask for Details,3805 Sq. Ft to 5581 Sq. Ft (Saleable),"Schools: Roseland Sr Sec School (1.91 KM), Adarsh Sr. Sec. School (2.07 KM), GD GOENKA SIGNATURE SCHOOL (2.35 KM),  (); Bus Stops: Dhunela (2.06 KM), Lohtaki (2.52 KM), Alipur (2.57 KM), Khaika (2.58 KM), Aravali Homes (3.00 KM), Dhaula Mode (3.01 KM), Band Colony/Chungi No. 1 (3.40 KM), Ghamroj (4.01 KM), Raghav Vatika/Civil Hospital/Damamdam Lake Mode/Chiled Point (4.07 KM), Abheypur (4.48 KM); Hospitals: USHA HOSPITAL AND TRAUMA CENTRE (3.20 KM), SURYA HOSPITAL (4.09 KM), Jain Hospital (4.24 KM),  (); Clinics: Agilus Diagnostics - Ghitorni (0.82 KM), Blooming words speech therapy center (0.92 KM), MFine Diagnostics (1.10 KM), Daevishan Dental Care (1.11 KM), Garg Dental & Ayurvedam Centre (1.19 KM), Ghosh Clinic | Doctor - Homeopathy Treatment (1.22 KM), Dr. Indu's Homeopathic Clinic (1.36 KM), Medanta Labs Sector-36 Sohna (1.36 KM), Elite Homoeo Clinic (1.38 KM), vihaan Pharmacy & clinic (2.50 KM); Gym Fitness: THE BONE GYM (1.36 KM), Golden Hour Gym (2.42 KM), Veer Abhinandan Sports academy and Gym. (3.03 KM),  (); Restaurants: Pind Balluchi (10.95 KM), KFC (11.60 KM), Orale Skybar (11.82 KM), Roesia (11.92 KM), Cafe Stay Woke (12.29 KM), C'est La Vie (12.29 KM), Dhaba - Estd 1986 Delhi (12.29 KM), Houz Cafe Bar (12.31 KM), Shophouse By Kylin (12.31 KM), VietNom (12.35 KM); Temples: Shiv Mandir Alipur (3.92 KM), Hanuman mandir alipur (4.43 KM), Shankardas Temple (4.48 KM),  (); Coffee Shops: TeaMax Cafe Sohna (2.46 KM), Chai Thela (10.96 KM), Barista M3M Urbana (11.52 KM), Blue Tokai Coffee Roasters (11.85 KM), Chaayos Cafe at AIPL Joy Street (11.86 KM), Blue Tokai Coffee Roasters | AIPL Joy Street (11.86 KM), Chai Point (12.30 KM), Chaayos Cafe at Reach 3 (12.51 KM), Starbucks (12.53 KM), Starbucks Coffee (12.53 KM); College and Universities: K. R. Mangalam University (1.86 KM), GD Goenka University (2.87 KM), D V M College (3.54 KM),  (); Supermarkets: Vishal Mega Mart (4.85 KM), Amber Mega Mart (8.02 KM), Reliance SMART Superstore (10.96 KM), Reliance Fresh (11.04 KM), SMART Superstore (11.06 KM), Reliance Smart (11.07 KM), Marks and Spencer (11.38 KM), Garg Dastak (11.59 KM), Sodhi Super Market (11.86 KM), Modern Bazaar (12.31 KM)",7.35 Acres,Ask for Details,GGM/826/558/2024/53,227 units,"Luxurious living in prime Sohna Sector 32 location, connected to major roads.,Experience uninterrupted power backup for a trouble-free lifestyle.,State-of-the-art gymnasium for a wellness-enabled living experience.,Elegant master bedrooms with Italian/Imported Marble flooring and modern amenities.,Peace of mind with 24x7 power backup and reliable power backup systems.,Nestle in a gated community with modern amenities and prime location connectivity.","3, 4 BHK",44,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Conference Room; Spa; Senior Citizen Area; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Putting; Golf Course; Gazebo; Power Backup; Restaurant; AC Waiting Lobby; Treated Water Supply; High Speed Elevators; 24*7 Water Supply; Party Lawn; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,"Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Fittings & Fixtures: VRV AC Fittings, Air Conditioner Fittings; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Plastic Emulsion; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator, Microwave; Bathroom: Bathtub, Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",36,0,1 Rating,,https://www.squareyards.com/central-park-group-projects/21/builder,13 Years Experience,17,2,14,"Central Park is a leading name in the country when it comes to the real estate industry in the National Capital Region. Property by Central Park is highly coveted by aspiring buyers in this area on account of the company’s commitment to quality and its core competencies that cover every aspect of the project cycle -- from land acquisition to design, planning, architecture, marketing and construction. The company specializes in building aesthetically appealing structures that adhere to the strictest quality and construction standards. Global quality standards and principles are given high importance at the company. The company has successfully developed in excess of 10.9 million sq.ft. and has embarked on projects that cover an additional 65 million sq.ft. spanning across sectors like hospitality, residential, commercial, leisure and recreation. One of the UK’s biggest investment firms, Ashmore Associates LLC, is a stakeholder in the company as well. The company is owned by Sweta Estates Private Limited which is the brainchild of Mr. Kanwaljit Singh Bakshi and Amarjit Singh Bakshi. The company has its own corporate office in Gurgaon and aims at covering several Indian states in the near future with its pioneering offerings.",Under Construction
269936,https://www.squareyards.com/gurgaon-residential-property/central-park-flower-valley-aqua-front-towers/100364/project,Central Park Flower Valley Aqua Front Towers,Central Park Group,"Sohna Sector 33, Gurgaon",Rs3.13 Cr - 4.55 Cr,"Rs17,500 Per Sq. Ft","3, 4 BHK Flats",Ask for Details,1789 Sq. Ft to 2600 Sq. Ft (Saleable),"Schools: GD GOENKA SIGNATURE SCHOOL (1.93 KM), G D Goenka High School (2.13 KM), G. D. Goenka World School (2.23 KM),  (); Bus Stops: Dhunela (2.17 KM), Khaika (2.48 KM), Lohtaki (2.74 KM), Alipur (2.74 KM), Aravali Homes (2.76 KM), Band Colony/Chungi No. 1 (3.01 KM), Dhaula Mode (3.30 KM), Raghav Vatika/Civil Hospital/Damamdam Lake Mode/Chiled Point (3.70 KM), Sohna Bus Stand (4.22 KM), Ghamroj (4.24 KM); Hospitals: USHA HOSPITAL AND TRAUMA CENTRE (2.79 KM), SURYA HOSPITAL (3.72 KM), Jain Hospital (3.88 KM),  (); Clinics: Blooming words speech therapy center (0.68 KM), MFine Diagnostics (0.80 KM), Daevishan Dental Care (0.81 KM), Garg Dental & Ayurvedam Centre (0.87 KM), Ghosh Clinic | Doctor - Homeopathy Treatment (1.09 KM), Elite Homoeo Clinic (1.14 KM), Dr. Indu's Homeopathic Clinic (1.23 KM), Medanta Labs Sector-36 Sohna (1.24 KM), Agilus Diagnostics - Ghitorni (1.25 KM), vihaan Pharmacy & clinic (2.26 KM); Gym Fitness: THE BONE GYM (1.23 KM), Golden Hour Gym (2.86 KM), Veer Abhinandan Sports academy and Gym. (3.03 KM),  (); Restaurants: Pind Balluchi (11.18 KM), KFC (11.89 KM), Orale Skybar (12.09 KM), Roesia (12.18 KM), Cafe Stay Woke (12.59 KM), Dhaba - Estd 1986 Delhi (12.59 KM), C'est La Vie (12.59 KM), Houz Cafe Bar (12.61 KM), Shophouse By Kylin (12.61 KM), VietNom (12.65 KM); Temples: Shiv Mandir Alipur (4.04 KM), Hanuman mandir alipur (4.52 KM), Shankardas Temple (4.67 KM),  (); Coffee Shops: TeaMax Cafe Sohna (2.24 KM), Chai Thela (11.20 KM), Barista M3M Urbana (11.81 KM), Blue Tokai Coffee Roasters (12.12 KM), Chaayos Cafe at AIPL Joy Street (12.13 KM), Blue Tokai Coffee Roasters | AIPL Joy Street (12.13 KM), Chai Point (12.60 KM), Chaayos Cafe at Reach 3 (12.69 KM), Starbucks (12.71 KM), Starbucks Coffee (12.71 KM); College and Universities: K. R. Mangalam University (1.44 KM), GD Goenka University (2.45 KM), D V M College (3.49 KM),  (); Home Decors: NEW & OLD FURNITURE HOUSE SOHNA (3.27 KM), Exclusive Dealer (PARAS KHADI BHANDAR (4.33 KM), Sleepwell (4.66 KM), Sleepwell Gallery - Mattress Shop Vatika Chowk Sohna Road (7.39 KM), Home Centre (11.20 KM), AV Trading & Co. Warehouse - Office Interior Company - Used/New office Furniture Dealer & Supplier (11.39 KM), Urban Ladder (11.87 KM), The Sleep Company Experience Store - AIPL Joy Street (12.12 KM), Floor & Furnishings (12.63 KM), Hamleys Play (12.65 KM)",11 Acres,Ask for Details,150,766 units,"Prime Location,Meticulous Design and Layout,World-class Amenities and Features,Potential for Value Appreciation","3, 4 BHK",32,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Sauna; Party Hall; Clubhouse; Indoor Games; Spa; Jacuzzi; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Putting; Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,"Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",18,0,12 Ratings,,https://www.squareyards.com/central-park-group-projects/21/builder,13 Years Experience,17,2,14,"Central Park is a leading name in the country when it comes to the real estate industry in the National Capital Region. Property by Central Park is highly coveted by aspiring buyers in this area on account of the company’s commitment to quality and its core competencies that cover every aspect of the project cycle -- from land acquisition to design, planning, architecture, marketing and construction. The company specializes in building aesthetically appealing structures that adhere to the strictest quality and construction standards. Global quality standards and principles are given high importance at the company. The company has successfully developed in excess of 10.9 million sq.ft. and has embarked on projects that cover an additional 65 million sq.ft. spanning across sectors like hospitality, residential, commercial, leisure and recreation. One of the UK’s biggest investment firms, Ashmore Associates LLC, is a stakeholder in the company as well. The company is owned by Sweta Estates Private Limited which is the brainchild of Mr. Kanwaljit Singh Bakshi and Amarjit Singh Bakshi. The company has its own corporate office in Gurgaon and aims at covering several Indian states in the near future with its pioneering offerings.",Ready to Move
