290685,Godrej Nest,3 BHK 1485 Sq. Ft. Apartment,1227 Sq. Ft.,Rs 1.46 Cr
290685,Godrej Nest,3 BHK 1636 Sq. Ft. Apartment,1356 Sq. Ft.,Rs 1.61 Cr
290685,Godrej Nest,4 BHK 4295 Sq. Ft. Penthouse,3509 Sq. Ft.,Rs 4.22 Cr
290685,Godrej Nest,4 BHK 3444 Sq. Ft. Penthouse,2756 Sq. Ft.,Rs 3.38 Cr
382046,ATS Homekraft Pious Orchards,3 BHK 2350 Sq. Ft. Apartment,1430 Sq. Ft.,Rs 3.29 Cr
382046,ATS Homekraft Pious Orchards,5 BHK 3200 Sq. Ft. Apartment,2040 Sq. Ft.,Rs 4.48 Cr
10130,ATS Pristine,3 BHK 1750 Sq. Ft. Apartment,1750 Sq. Ft.,Rs 2.86 Cr
10130,ATS Pristine,3 BHK 2300 Sq. Ft. Apartment,2300 Sq. Ft.,Rs 3.75 Cr
10130,ATS Pristine,4 BHK 3200 Sq. Ft. Apartment,3200 Sq. Ft.,Rs 5.18 Cr
410631,M3M The Cullinan,3 BHK 3200 Sq. Ft. Apartment,3200 Sq. Ft.,Rs 8.00 Cr
410631,M3M The Cullinan,4 BHK 4200 Sq. Ft. Apartment,4200 Sq. Ft.,Rs 10.92 Cr
410631,M3M The Cullinan,4 BHK 4315 Sq. Ft. Apartment,4315 Sq. Ft.,Rs 11.21 Cr
410631,M3M The Cullinan,5 BHK 5935 Sq. Ft. Apartment,5935 Sq. Ft.,Rs 17.80 Cr
410631,M3M The Cullinan,5 BHK 6220 Sq. Ft. Apartment,6220 Sq. Ft.,Rs 18.65 Cr
410631,M3M The Cullinan,210 Sq. Ft. Retail Shop,210 Sq. Ft.,Rs 68.25 Lac
410631,M3M The Cullinan,750 Sq. Ft. Retail Shop,750 Sq. Ft.,Rs 2.44 Cr
326229,ATS Homekraft Pious Hideaways,3 BHK 1400 Sq. Ft. Apartment,870 Sq. Ft.,Rs 1.38 Cr
326229,ATS Homekraft Pious Hideaways,3 BHK 1615 Sq. Ft. Apartment,975 Sq. Ft.,Rs 1.59 Cr
326229,ATS Homekraft Pious Hideaways,3 BHK 1675 Sq. Ft. Apartment,1020 Sq. Ft.,Rs 1.65 Cr
269167,Godrej Golf Links Evoke,4 BHK 4177 Sq. Ft. Villa,4177 Sq. Ft.,Rs 4.51 Cr
269167,Godrej Golf Links Evoke,4 BHK 5335 Sq. Ft. Villa,5335 Sq. Ft.,Rs 5.76 Cr
409011,Fusion The Rivulet,3 BHK 1350 Sq. Ft. Apartment,1350 Sq. Ft.,Rs 1.38 Cr
409011,Fusion The Rivulet,3 BHK 1545 Sq. Ft. Apartment,1545 Sq. Ft.,Rs 1.58 Cr
409011,Fusion The Rivulet,4 BHK 2010 Sq. Ft. Apartment,2010 Sq. Ft.,Rs 2.05 Cr
433611,Renowned Renox Thrive,2 BHK 1066 Sq. Ft. Apartment,1066 Sq. Ft.,Rs 95.94 Lac
433611,Renowned Renox Thrive,2 BHK 1302 Sq. Ft. Apartment,1302 Sq. Ft.,Rs 1.17 Cr
433611,Renowned Renox Thrive,3 BHK 1582 Sq. Ft. Apartment,1582 Sq. Ft.,Rs 1.42 Cr
433611,Renowned Renox Thrive,3 BHK 1953 Sq. Ft. Apartment,1953 Sq. Ft.,Rs 1.76 Cr
433611,Renowned Renox Thrive,4 BHK 2566 Sq. Ft. Apartment,2566 Sq. Ft.,Rs 2.31 Cr
433611,Renowned Renox Thrive,4 BHK 2644 Sq. Ft. Apartment,2644 Sq. Ft.,Rs 2.38 Cr
433855,Ace Hanei,3 BHK 2290 Sq. Ft. Apartment,2290 Sq. Ft.,Rs 2.86 Cr
433855,Ace Hanei,4 BHK 3200 Sq. Ft. Apartment,3200 Sq. Ft.,Rs 4.00 Cr
433855,Ace Hanei,4 BHK 4190 Sq. Ft. Apartment,4190 Sq. Ft.,Rs 5.24 Cr
373839,Civitech Strings,2 BHK 1090 Sq. Ft. Apartment,615 Sq. Ft.,Rs 1.14 Cr
373839,Civitech Strings,3 BHK 1250 Sq. Ft. Apartment,642 Sq. Ft.,Rs 1.31 Cr
373839,Civitech Strings,3 BHK 1275 Sq. Ft. Apartment,644 Sq. Ft.,Rs 1.34 Cr
7894,Capital Athena,2 BHK 1060 Sq. Ft. Apartment,1060 Sq. Ft.,Rs 82.25 Lac
7894,Capital Athena,3 BHK 1635 Sq. Ft. Apartment,1635 Sq. Ft.,Rs 1.25 Cr
7894,Capital Athena,3 BHK 1795 Sq. Ft. Apartment,1795 Sq. Ft.,Rs 1.37 Cr
7894,Capital Athena,3 BHK 2095 Sq. Ft. Apartment,2095 Sq. Ft.,Rs 1.59 Cr
7894,Capital Athena,4 BHK 2600 Sq. Ft. Apartment,2600 Sq. Ft.,Rs 1.96 Cr
395716,Fusion The Brook,2 BHK 1115 Sq. Ft. Apartment,1115 Sq. Ft.,Rs 1.06 Cr
395716,Fusion The Brook,3 BHK 1200 Sq. Ft. Apartment,1200 Sq. Ft.,Rs 1.14 Cr
395716,Fusion The Brook,3 BHK 1535 Sq. Ft. Apartment,1535 Sq. Ft.,Rs 1.46 Cr
395716,Fusion The Brook,4 BHK 2000 Sq. Ft. Apartment,2000 Sq. Ft.,Rs 1.90 Cr
402728,Sublime Spring Elmas,3 BHK 1355 Sq. Ft. Apartment,1355 Sq. Ft.,Rs 1.49 Cr
402728,Sublime Spring Elmas,3 BHK 1895 Sq. Ft. Apartment,1895 Sq. Ft.,Rs 2.08 Cr
402728,Sublime Spring Elmas,4 BHK 2450 Sq. Ft. Apartment,2450 Sq. Ft.,Rs 2.69 Cr
430219,Eros Sampoornam III,2 BHK 835 Sq. Ft. Apartment,532 Sq. Ft.,Rs 72.64 Lac
430219,Eros Sampoornam III,2 BHK 1060 Sq. Ft. Apartment,665 Sq. Ft.,Rs 92.22 Lac
430219,Eros Sampoornam III,3 BHK 1350 Sq. Ft. Apartment,790 Sq. Ft.,Rs 1.17 Cr
430219,Eros Sampoornam III,3 BHK 1800 Sq. Ft. Apartment,1069 Sq. Ft.,Rs 1.57 Cr
336331,ATS Destinaire,3 BHK 1900 Sq. Ft. Apartment,1220 Sq. Ft.,Rs 2.47 Cr
336331,ATS Destinaire,4 BHK 2550 Sq. Ft. Apartment,1645 Sq. Ft.,Rs 3.31 Cr
270729,ATS Rhapsody,3 BHK 2400 Sq. Ft. Apartment,2400 Sq. Ft.,Rs 1.99 Cr
270729,ATS Rhapsody,3 BHK 1800 Sq. Ft. Apartment,1800 Sq. Ft.,Rs 1.46 Cr
269397,ATS Picturesque Reprieves,3 BHK 1850 Sq. Ft. Apartment,1240 Sq. Ft.,Rs 2.96 Cr
269397,ATS Picturesque Reprieves,3 BHK 2350 Sq. Ft. Apartment,1470 Sq. Ft.,Rs 3.76 Cr
269397,ATS Picturesque Reprieves,4 BHK 3200 Sq. Ft. Apartment,2059 Sq. Ft.,Rs 5.12 Cr
379918,Nimbus Express Park View - II,2 BHK 1057 Sq. Ft. Apartment,1057 Sq. Ft.,Rs 89.00 Lac
379918,Nimbus Express Park View - II,2 BHK 1192 Sq. Ft. Apartment,1192 Sq. Ft.,Rs 1.00 Cr
379918,Nimbus Express Park View - II,3 BHK 1567 Sq. Ft. Apartment,1567 Sq. Ft.,Rs 1.31 Cr
379918,Nimbus Express Park View - II,3 BHK 1774 Sq. Ft. Apartment,1774 Sq. Ft.,Rs 1.49 Cr
379918,Nimbus Express Park View - II,4 BHK 2191 Sq. Ft. Apartment,2191 Sq. Ft.,Rs 1.83 Cr
426159,Nimbus The Palm Village,1 BHK 525 Sq. Ft. Apartment,248 Sq. Ft.,Rs 55.00 Lac
426159,Nimbus The Palm Village,3 BHK 2150 Sq. Ft. Ind Floor,1128 Sq. Ft.,Rs 1.67 Cr
426159,Nimbus The Palm Village,3 BHK 2100 Sq. Ft. Ind Floor,1066 Sq. Ft.,Rs 1.63 Cr
