8130,Paradise Sai Miracle,3 BHK 2500 Sq. Ft. Apartment,2500 Sq. Ft.,Rs 4.07 Cr
8130,Paradise Sai Miracle,3 BHK 1710 Sq. Ft. Apartment,1710 Sq. Ft.,Rs 2.78 Cr
8130,Paradise Sai Miracle,3 BHK 1685 Sq. Ft. Apartment,1685 Sq. Ft.,Rs 2.74 Cr
8408,Provident Sunworth,2 BHK 883 Sq. Ft. Apartment,623 Sq. Ft.,Rs 46.34 L
8408,Provident Sunworth,3 BHK 1082 Sq. Ft. Apartment,773 Sq. Ft.,Rs 56.79 L
10130,ATS Pristine,3 BHK 1750 Sq. Ft. Apartment,1750 Sq. Ft.,Rs 2.86 Cr
10130,ATS Pristine,3 BHK 2300 Sq. Ft. Apartment,2300 Sq. Ft.,Rs 3.75 Cr
10130,ATS Pristine,4 BHK 3200 Sq. Ft. Apartment,3200 Sq. Ft.,Rs 5.18 Cr
10356,Oasis GrandStand,1 BHK 790 Sq. Ft. Apartment,790 Sq. Ft.,Rs 70.92 Lac
10356,Oasis GrandStand,2 BHK 920 Sq. Ft. Apartment,920 Sq. Ft.,Rs 82.11 Lac
10356,Oasis GrandStand,2 BHK 1045 Sq. Ft. Apartment,1045 Sq. Ft.,Rs 92.87 Lac
10356,Oasis GrandStand,3 BHK 1405 Sq. Ft. Apartment,1405 Sq. Ft.,Rs 1.24 Cr
10356,Oasis GrandStand,3 BHK 1495 Sq. Ft. Apartment,1495 Sq. Ft.,Rs 1.32 Cr
10412,Purvanchal Royal City,3 BHK 1725 Sq. Ft. Apartment,1725 Sq. Ft.,Rs 1.70 Cr
10412,Purvanchal Royal City,3 BHK 1735 Sq. Ft. Apartment,1735 Sq. Ft.,Rs 1.71 Cr
10412,Purvanchal Royal City,4 BHK 2510 Sq. Ft. Apartment,2510 Sq. Ft.,Rs 2.47 Cr
10412,Purvanchal Royal City,5 BHK 5130 Sq. Ft. Penthouse,5130 Sq. Ft.,Rs 5.05 Cr
11112,Shriram Sameeksha,1 BHK 700 Sq. Ft. Apartment,700 Sq. Ft.,Rs 28.10 Lac
11112,Shriram Sameeksha,1 BHK 800 Sq. Ft. Apartment,800 Sq. Ft.,Rs 32.11 Lac
11112,Shriram Sameeksha,2 BHK 827 Sq. Ft. Apartment,827 Sq. Ft.,Rs 33.19 Lac
11112,Shriram Sameeksha,2 BHK 1010 Sq. Ft. Apartment,1010 Sq. Ft.,Rs 40.54 Lac
11112,Shriram Sameeksha,2 BHK 1020 Sq. Ft. Apartment,1020 Sq. Ft.,Rs 40.94 Lac
11112,Shriram Sameeksha,3 BHK 1134 Sq. Ft. Apartment,1134 Sq. Ft.,Rs 45.51 Lac
11112,Shriram Sameeksha,3 BHK 1225 Sq. Ft. Apartment,1225 Sq. Ft.,Rs 49.17 Lac
11112,Shriram Sameeksha,3 BHK 1260 Sq. Ft. Apartment,1260 Sq. Ft.,Rs 50.57 Lac
11112,Shriram Sameeksha,3 BHK 1300 Sq. Ft. Apartment,1300 Sq. Ft.,Rs 52.18 Lac
16778,HM Indigo,2 BHK 1164 Sq. Ft. Apartment,838 Sq. Ft.,Rs 76.43 Lac
16778,HM Indigo,2 BHK 1332 Sq. Ft. Apartment,959 Sq. Ft.,Rs 87.46 Lac
16778,HM Indigo,2 BHK 1377 Sq. Ft. Apartment,991 Sq. Ft.,Rs 90.41 Lac
16778,HM Indigo,3 BHK 1466 Sq. Ft. Apartment,1055 Sq. Ft.,Rs 96.26 Lac
16778,HM Indigo,3 BHK 1719 Sq. Ft. Apartment,1237 Sq. Ft.,Rs 1.13 Cr
16778,HM Indigo,3 BHK 1780 Sq. Ft. Apartment,1281 Sq. Ft.,Rs 1.17 Cr
16778,HM Indigo,3 BHK 1814 Sq. Ft. Apartment,1306 Sq. Ft.,Rs 1.19 Cr
16778,HM Indigo,3 BHK 1559 Sq. Ft. Apartment,1122 Sq. Ft.,Rs 1.02 Cr
16778,HM Indigo,3 BHK 1570 Sq. Ft. Apartment,1130 Sq. Ft.,Rs 1.03 Cr
16778,HM Indigo,3 BHK 1595 Sq. Ft. Apartment,1148 Sq. Ft.,Rs 1.05 Cr
16778,HM Indigo,3 BHK 1600 Sq. Ft. Apartment,1152 Sq. Ft.,Rs 1.05 Cr
16778,HM Indigo,3 BHK 1624 Sq. Ft. Apartment,1169 Sq. Ft.,Rs 1.07 Cr
16778,HM Indigo,3 BHK 1704 Sq. Ft. Apartment,1226 Sq. Ft.,Rs 1.12 Cr
16778,HM Indigo,3 BHK 1759 Sq. Ft. Apartment,1266 Sq. Ft.,Rs 1.15 Cr
16778,HM Indigo,3 BHK 1771 Sq. Ft. Apartment,1275 Sq. Ft.,Rs 1.16 Cr
16778,HM Indigo,3 BHK 1846 Sq. Ft. Apartment,1329 Sq. Ft.,Rs 1.21 Cr
