XID number,Project Name,City,Builder website,Project Page (Not CP),Magic Bricks Phase 1,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,Housing Phase 1,Housing Phase 2,Housing Phase 3,Housing Phase 4,Square Yards  Phase 1,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres,,,,72Projects
123483,ACE Divino,Noida,http://acedivinos.in/,NA,https://www.magicbricks.com/ace-divino-noida-extension-noida-pdpid-4d4235303835303737,NA,NA,NA,https://housing.com/in/buy/projects/page/50457-ace-group-divino-by-ace-group-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ace-divino/10048/project,NA,NA,NA,,,,,123483
12900,Fusion Homes,Noida,http://fusionhomes.in/,NA,https://www.magicbricks.com/fusion-homes-noida-extension-noida-pdpid-4d4235303235323339,NA,NA,NA,https://housing.com/in/buy/projects/page/1929-fusion-homes-by-fusion-buildtech-pvt-ltd-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/fusion-homes/939/project,NA,NA,NA,,,,,12900
422426,Godrej Zenith,Gurugram,https://www.godrejproperties.com/gurugram/residential/godrej-zenith,NA,https://www.magicbricks.com/godrej-zenith-sector-89-gurgaon-pdpid-4d4235343139383731,NA,NA,NA,https://housing.com/in/buy/projects/page/318544-godrej-zenith-by-godrej-properties-ltd-in-sector-89,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/godrej-zenith/246428/project,NA,NA,NA,,,,,422426
10356,Oasis GrandStand,Noida,https://www.squareyards.com/greater-noida-residential-property/oasis-grandstand/1236/project,NA,https://www.magicbricks.com/oasis-grandstand-yamuna-expressway-greater-noida-pdpid-4d4235303230303131,NA,NA,NA,https://housing.com/in/buy/projects/page/247-oasis-grandstand-by-oasis-buildmart-india-pvt-ltd-in-yeida,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/oasis-grandstand/1236/project,NA,NA,NA,,,,,10356
298821,Kalpataru Vista,Noida,https://www.kalpataru.com/noida/kalpataru-vista,NA,https://www.magicbricks.com/kalpataru-vista-sector-128-noida-pdpid-4d4235313135383335,NA,NA,NA,https://housing.com/in/buy/projects/page/96854-kalpataru-vista-by-kalpataru-group-in-sector-128,NA,NA,NA,https://www.squareyards.com/noida-residential-property/kalpataru-vista/10765/project,NA,NA,NA,,,,,298821
1223,Sikka Kaamna Greens,Noida,https://www.sikka.in/kaamna-greens,NA,https://www.magicbricks.com/sikka-the-crown-of-noida-sector-143-noida-pdpid-4d4235303138303731,NA,NA,NA,https://housing.com/in/buy/projects/page/690-sikka-kaamna-greens-by-sikka-group-in-sector-143,NA,NA,NA,https://www.squareyards.com/noida-residential-property/sikka-kaamna-greens/664/project,NA,NA,NA,,,,,1223
332831,Prateek Canary,Noida,https://prateekgroup.com/prateek_canary,NA,https://www.magicbricks.com/prateek-canary-sector-150-noida-pdpid-4d4235313236353535,NA,NA,NA,https://housing.com/in/buy/projects/page/182871-prateek-canary-by-prateek-group-in-sector-150,NA,NA,NA,https://www.squareyards.com/noida-residential-property/prateek-canary/10620/project,NA,NA,NA,,,,,332831
400435,CRC Joyous,Greater Noida,https://www.crcgroup.in/joyous/,NA,https://www.magicbricks.com/crc-joyous-techzone-4-greater-noida-pdpid-4d4235333631343737,NA,NA,NA,https://housing.com/in/buy/projects/page/256753-crc-joyous-by-crc-group-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/crc-joyous/111068/project,NA,NA,NA,,,,,400435
303,Jaypee Greens Kalypso Court,Noida,http://www.jaypeegreens.com/propertydetails.aspx?propertyid=51&propertytab=overview,NA,https://www.magicbricks.com/jaypee-greens-kalypso-court-sector-128-noida-pdpid-4d4235303231353130,NA,NA,NA,https://housing.com/in/buy/projects/page/33487-jaypee-the-kalypso-court-by-jaypee-greens-in-sector-128,NA,NA,NA,https://www.squareyards.com/noida-residential-property/jaypee-greens-kalypso-court/108194/project,NA,NA,NA,,,,,303
375353,SKA Orion,Noida,https://www.skaindia.co.in/ska-orion-overview.php,NA,https://www.magicbricks.com/ska-orion-sector-143-b-noida-pdpid-4d4235323434383133,NA,NA,NA,https://housing.com/in/buy/projects/page/255860-ska-orion-by-ska-group-in-sector-143,NA,NA,NA,https://www.squareyards.com/noida-residential-property/ska-orion/103593/project,NA,NA,NA,,,,,375353
409753,Godrej Tropical Isle,Noida,https://www.godrejproperties.com/noida/residential/godrej-tropical-isle,NA,https://www.magicbricks.com/godrej-tropical-isle-sector-146-noida-pdpid-4d4235343136323937,NA,NA,NA,https://housing.com/in/buy/projects/page/303901-godrej-tropical-isle-by-godrej-properties-ltd-in-sector-146,NA,NA,NA,https://www.squareyards.com/noida-residential-property/godrej-tropical-isle/227972/project,NA,NA,NA,,,,,409753
425268,Godrej Jardinia,Noida,https://www.godrejproperties.com/noida/residential/godrej-jardinia,NA,https://www.magicbricks.com/godrej-jardinia-sector-146-noida-pdpid-4d4235343230363139,NA,NA,NA,https://housing.com/in/buy/projects/page/319974-godrej-jardinia-by-godrej-properties-limited-in-sector-145,NA,NA,NA,https://www.squareyards.com/noida-residential-property/godrej-jardinia/246953/project,NA,NA,NA,,,,,425268
376821,ATS Kingston Heath,Noida,https://www.atsgreens.com/projects/ats-kingston-heath/,NA,https://www.magicbricks.com/ats-kingston-heath-sector-150-noida-pdpid-4d4235323532363433,NA,NA,NA,https://housing.com/in/buy/projects/page/257357-ats-kingston-heath-by-ats-infrastructure-limited-in-sector-150,NA,NA,NA,https://www.squareyards.com/noida-residential-property/ats-kingston-heath/103548/project,NA,NA,NA,,,,,376821
344889,Gulshan Dynasty,Noida,https://www.gulshandynasty.com/,NA,https://www.magicbricks.com/gulshan-dynasty-sector-144-noida-pdpid-4d4235313330393031,NA,NA,NA,https://housing.com/in/buy/projects/page/228632-gulshan-dynasty-by-gulshan-homz-pvt-ltd-in-sector-144,NA,NA,NA,https://www.squareyards.com/noida-residential-property/gulshan-dynasty/29919/project,NA,NA,NA,,,,,344889
378409,Ace Starlit,Noida,https://acegroupindia.com/ace-starlit-overview.php,NA,https://www.magicbricks.com/ace-starlit-sector-152-noida-pdpid-4d4235323930333931,NA,NA,NA,https://housing.com/in/buy/projects/page/260584-star-ace-starlit-by-star-landcraft-private-limited-in-sector-152,NA,NA,NA,https://www.squareyards.com/noida-residential-property/ace-starlit/105330/project,NA,NA,NA,,,,,378409
382046,ATS Homekraft Pious Orchards,Noida,https://homekraft.in/pious-orchards/,NA,https://www.magicbricks.com/ats-pious-orchards-sector-150-noida-pdpid-4d4235333235383039,NA,NA,NA,https://housing.com/in/buy/projects/page/265973-ats-homekraft-pious-orchards-by-ats-infrastructure-limited-in-sector-150,NA,NA,NA,https://www.squareyards.com/noida-residential-property/ats-homekraft-pious-orchards/112460/project,NA,NA,NA,,,,,382046
10130,ATS Pristine,Noida,https://www.atsgreens.com/projects/ats-pristine-phase-2/,NA,https://www.magicbricks.com/ats-pristine-sector-150-noida-pdpid-4d4235303233353335,NA,NA,NA,https://housing.com/in/buy/projects/page/2775-ats-pristine-by-ats-infrastructure-limited-in-sector-150,NA,NA,NA,https://www.squareyards.com/noida-residential-property/ats-pristine/705/project,NA,NA,NA,,,,,10130
410631,M3M The Cullinan,Noida,https://m3mindia.com/residential/m3m-the-cullinan,NA,https://www.magicbricks.com/m3m-the-cullinan-sector-94-noida-pdpid-4d4235343130373633,NA,NA,NA,https://housing.com/in/buy/projects/page/300535-m3m-the-cullinan-by-m3m-india-pvt-ltd-in-sector-94,NA,NA,NA,https://www.squareyards.com/noida-residential-property/m3m-the-cullinan/224290/project,NA,NA,NA,,,,,410631
326229,ATS Pious Hideaways,Noida,https://homekraft.in/pious-hideaways/,NA,https://www.magicbricks.com/ats-pious-hideaways-sector-150-noida-pdpid-4d4235313231383435,NA,NA,NA,https://housing.com/in/buy/projects/page/133832-ats-pious-hideaways-by-ats-infrastructure-limited-in-sector-150,NA,NA,NA,https://www.squareyards.com/noida-residential-property/ats-homekraft-pious-hideaways/10400/project,NA,NA,NA,,,,,326229
269167,Godrej Golf Links Evoke Villas,Greater Noida,https://www.godrejproperties.com/noida/residential/godrej-golf-links,NA,https://www.magicbricks.com/godrej-golf-links-sector-27-greater-noida-pdpid-4d4235303935343433,NA,NA,NA,https://housing.com/in/buy/projects/page/51010-godrej-evoke-by-godrej-properties-ltd-in-jaypee-greens,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/godrej-golf-links-evoke/9146/project,NA,NA,NA,,,,,269167
409011,Fusion The Rivulet,Greater Noida,https://fusiontherivulet.com/,NA,https://www.magicbricks.com/fusion-the-rivulet-phase-1-noida-extension-greater-noida-pdpid-4d4235343035303233,NA,NA,NA,https://housing.com/in/buy/projects/page/297987-the-rivulet-phase-1-by-fusion-buildtech-pvt-ltd-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/fusion-the-rivulet/224848/project,NA,NA,NA,,,,,409011
433611,Renox Thrive,Greater Noida,https://renoxgroup.com/residential/renox-thrive,NA,https://www.magicbricks.com/renox-thrive-sector-10-greater-noida-pdpid-4d4235343234343337,NA,NA,NA,https://housing.com/in/buy/projects/page/329821-nivas-renox-thrive-by-nivas-promoters-private-limited-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/renowned-renox-thrive/308677/project,NA,NA,NA,,,,,433611
433855,Ace Hanei,Greater Noida,https://acegroupindia.com/ace-hanei.php,NA,https://www.magicbricks.com/ace-hanei-sector-12-greater-noida-pdpid-4d4235343234323435,NA,NA,NA,https://housing.com/in/buy/projects/page/331939-ace-hanei-by-la-buildtech-private-limited-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ace-hanei/312065/project,NA,NA,NA,,,,,433855
373839,Civitech Strings,Greater Noida,https://www.civitech.in/strings/,NA,https://www.magicbricks.com/civitech-strings-noida-extension-greater-noida-pdpid-4d4235333330323639,NA,NA,NA,https://housing.com/in/buy/projects/page/254122-civitech-strings-by-civitech-developers-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/civitech-strings/103214/project,NA,NA,NA,,,,,373839
395716,Fusion The Brook,Greater Noida,https://www.fusionbrook.co.in/,NA,https://www.magicbricks.com/fusion-the-brook-noida-extension-greater-noida-pdpid-4d4235333333343739,NA,NA,NA,https://housing.com/in/buy/projects/page/279311-fusion-the-brook-by-fusion-buildtech-pvt-ltd-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/fusion-the-brook/162900/project,NA,NA,NA,,,,,395716
402728,Sublime Spring Elmas,Greater Noida,https://sublimespringelmas.in/,NA,https://www.magicbricks.com/sublime-spring-elmas-noida-extension-greater-noida-pdpid-4d4235333931353733,NA,NA,NA,https://housing.com/in/buy/projects/page/292085-sublime-spring-elmas-by-sublime-realtech-private-limited-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/sublime-spring-elmas/217291/project,NA,NA,NA,,,,,402728
430219,Eros Sampoornam 3,Greater Noida,https://www.eros-sampoornam.co.in/,NA,https://www.magicbricks.com/eros-sampoornam-3-noida-extension-greater-noida-pdpid-4d4235313638383935,NA,NA,NA,https://housing.com/in/buy/projects/page/327744-eros-sampoornam-3-by-ajay-enterprises-pvt-ltd-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/eros-sampoornam-iii/20711/project,NA,NA,NA,,,,,430219
415650,Eldeco La Vida Bella,Greater Noida,https://www.eldecogroup.com/projects/residential/ncr-delhi/greater-noida-west/ongoing/eldeco-la-vida-bella/overview,NA,https://www.magicbricks.com/eldeco-la-vida-bella-noida-extension-greater-noida-pdpid-4d4235343230363135,NA,NA,NA,https://housing.com/in/buy/projects/page/320497-eldeco-la-vida-bella-by-eldeco-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/eldeco-la-vida-bella/247493/project,NA,NA,NA,,,,,415650
425033,Ace Terra,Greater Noida,https://acegroupindia.com/ace-terra.php,NA,https://www.magicbricks.com/ace-terra-yamuna-expressway-greater-noida-pdpid-4d4235343230333733,NA,NA,NA,https://housing.com/in/buy/projects/page/319576-ace-terra-by-ace-group-in-yeida,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ace-terra/246906/project,NA,NA,NA,,,,,425033
424010,Elite X,Greater Noida,https://elitegroup.co/projects/elite-x/,NA,https://www.magicbricks.com/elite-x-noida-extension-greater-noida-pdpid-4d4235343230373337,NA,NA,NA,https://housing.com/in/buy/projects/page/316871-elite-x-by-elite-group-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/elite-x/245845/project,NA,NA,NA,,,,,424010
432470,Mahagun My Laagoon,Greater Noida,https://www.mahagunindia.com/project/mahagun-mylaagoon/,NA,https://www.magicbricks.com/mahagun-my-laagoon-sector-12-greater-noida-pdpid-4d4235343233373539,NA,NA,NA,https://housing.com/in/buy/projects/page/330123-mahagun-my-laagoon-phase-1-by-mahagun-group-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/mahagun-my-laagoon/308317/project,NA,NA,NA,,,,,432470
