Index,data_point_name,99acres,C1,C2,C3,,,,,,,
432470,Builder Project Count,28 projects,58,40,39,,,,,,,
298821,Builder Project Count,101 projects,149,183,180,,,,,,,
410631,Builder Project Count,32 projects,66,61,54,,,,,,,
418319,Builder Project Count,116 Projects,36,4,149,,,,,,,
348347,Builder Project Count,101 projects,149,183,180,,,,,,,
387255,Builder Project Count,20 projects,24,61,39,,,,,,,
272653,Builder Project Count,20 projects,24,61,Not Available,,,,,,,
334709,Builder Project Count,53 projects,144,38,138,,,,,,,
431965,Builder Project Count,179 projects,60,81,85,,,,,,,
431964,Builder Project Count,179 projects,249,302,216,,,,,,,
425268,Builder Project Count,179 projects,249,2,216,,,,,,,
394731,Builder Project Count,1 project,24,61,39,,,,,,,
88315,Builder Project Count,25 projects,30,27,45,,,,,,,
370898,Builder Project Count,179 projects,249,302,216,,,,,,,
430588,Completion Date,"Possession will start from May, 2029",4/1/2030,"Apr, 2030",Ask for Details,,,,,,,
432470,Completion Date,"Possession will start from Apr, 2029",4/1/2029,"Apr, 2029",Not Available,,,,,,,
298821,Completion Date,"Possession will start from Jun, 2025",4/1/2030,"Apr, 2030",Ask for Details,,,,,,,
410631,Completion Date,"Possession will start from Apr, 2028",4/1/2028,"Apr, 2028",Ask for Details,,,,,,,
418319,Completion Date,"Possession will start from Dec, 2028",12/1/2028,"Dec, 2028",Not Available,,,,,,,
348347,Completion Date,"Possession will start from Sep, 2028",9/1/2026,"Sep, 2026",Not Available,,,,,,,
387255,Completion Date,"Possession will start from Jun, 2025",6/1/2025,"Dec, 2025",Not Available,,,,,,,
272653,Completion Date,"Possession will start from Dec, 2026",12/1/2026,"Jun, 2027",Not Available,,,,,,,
334709,Completion Date,"Possession will start from Jun, 2027",6/1/2027,"Jun, 2027",Not Available,,,,,,,
431965,Completion Date,"Possession will start from Sep, 2029",Aug'29,"Aug, 2029",Not available,,,,,,,
431964,Completion Date,"Possession will start from Sep, 2029",Sep'29,"Sep, 2029",Not available,,,,,,,
425268,Completion Date,"Possession will start from Dec, 2028",Dec'28,"Dec, 2028",Not available,,,,,,,
394731,Completion Date,"Possession will start from Aug, 2028",Aug'28,"Dec, 2028",31-08-2028,,,,,,,
88315,Completion Date,"Possession will start from Mar, 2027",1-Mar-27,"Nov, 2027",Not Available,,,,,,,
370898,Completion Date,"Possession will start from Apr, 2026",Dec'26,"Dec, 2026","30-04-2026, 31-12-2026, 31-05-2029",,,,,,,
430588,Configs,"3, 4 BHK Apartment","4,5 BHK Flats","4, 5 BHK Apartments","4, 5 BHK Flats",,,,,,,
432470,Configs,"3, 4 BHK Apartment","3,4 BHK ","3, 4 BHK","3, 4 BHK ",,,,,,,
298821,Configs,"3, 4 BHK Apartment","4,5 BHK Flats","4, 5 BHK Apartments","4, 5 BHK Flats",,,,,,,
410631,Configs,"3, 4, 5 BHK Apartment","3,4,5 BHK","3, 4, 5 BHK Apartments","3, 4, 5 BHK Flats",,,,,,,
418319,Configs,"1, 3, 4 BHK Apartment","3,4 BHK Flats","3, 4 BHK Apartments","1, 3, 4 BHK",,,,,,,
348347,Configs,"3, 4 BHK Apartment | 1 RK Studio Apartment","1,2,3,4,5 BHK Flats",3 BHK Apartment,"1, 2, 3 BHK Flats",,,,,,,
387255,Configs,"2, 3, 4 BHK Apartment","1,2,3,4 BHK Flats","2, 3 BHK Apartments","2, 3, 4 BHK Flats",,,,,,,
272653,Configs,"1, 2 BHK Apartment | 1 RK Studio Apartment","1,2,3,4 BHK Flats , Studio Apartment","1, 2 BHK Apartments",Not Available,,,,,,,
334709,Configs,"1, 2, 3 BHK Apartment | 1 RK Studio Apartment","1,2,3 BHK Flats , Studio Apartment","1 RK, Studio, 1, 2, 3 BHK Studio Apartment,Apartments","1, 2, 3 BHK Flats",,,,,,,
431965,Configs,"3, 4 BHK Apartment",4 bhk,4 bhk,4 bhk,,,,,,,
431964,Configs,"3, 4 BHK Apartment","3,4 BHK ","3, 4, 4.5 BHK","3, 4 BHK",,,,,,,
425268,Configs,"2, 3, 4 BHK Apartment","2,3,4 BHK","2, 3, 4 BHK","3, 4 BHK",,,,,,,
394731,Configs,"2, 3 BHK Apartment","2,3 BHK Flats","2, 3 BHK Apartments","2, 3 BHK Flats",,,,,,,
88315,Configs,"2, 3 BHK Apartment","1 BHK, 2 BHK, 3 BHK","2, 3 BHK Apartments","1 BHK, 2 BHK, 3 BHK",,,,,,,
370898,Configs,"1, 2, 3 BHK Apartment","1,2,3 BHK Flats","1, 2, 3 BHK Apartments","1, 2, 3 BHK Flats",,,,,,,
430588,Photos,51,18,27,11,,,,,,,
432470,Photos,28,9,20,16,,,,,,,
298821,Photos,32,23,27,26,,,,,,,
410631,Photos,46,20,30,27,,,,,,,
418319,Photos,16,46,26,15,,,,,,,
348347,Photos,21,6,10,3,,,,,,,
387255,Photos,22,9,17,17,,,,,,,
272653,Photos,35,6,22,Not Available,,,,,,,
334709,Photos,31,10,19,22,,,,,,,
431965,Photos,29,11,19,22,,,,,,,
431964,Photos,29,5,17,5,,,,,,,
425268,Photos,23,6,19,5,,,,,,,
394731,Photos,23,50,20,22,,,,,,,
88315,Photos,29,24 Photos,48,35,,,,,,,
370898,Photos,28,8,23,22,,,,,,,
430588,Possession Status,Under Construction,Under Construction,Not Available,Under Construction,,,,,,,
432470,Possession Status,New Launch,Under Construction,Not Available,New Launch,,,,,,,
298821,Possession Status,Under Construction,Under Construction,Not Available,Under Construction,,,,,,,
410631,Possession Status,Under Construction,Under Construction,Not Available,Under Construction,,,,,,,
418319,Possession Status,Under Construction,Under Construction,Not Available,Under Construction,,,,,,,
348347,Possession Status,Under Construction,Under Construction,Not Available,Under Construction,,,,,,,
387255,Possession Status,Under Construction,Under Construction,Not Available,Under Construction,,,,,,,
272653,Possession Status,Under Construction,Under Construction,Not Available,Not Available,,,,,,,
334709,Possession Status,Under Construction,Under Construction,Not Available,Under Construction,,,,,,,
431965,Possession Status,Under Construction,Under Construction,Under Construction,New Launch,,,,,,,
431964,Possession Status,Under Construction,Under Construction,Under Construction,New Launch,,,,,,,
425268,Possession Status,Under Construction,Under Construction,Not Available,Under Construction,,,,,,,
394731,Possession Status,New Launch,Under Construction,Under Construction,Under Construction,,,,,,,
88315,Possession Status,Under Construction,Under Construction,Not Available,Under Construction,,,,,,,
370898,Possession Status,Under Construction,Under Construction,Under Construction,Under Construction,,,,,,,
430588,Price Range,2.28 - 3.63 Cr,2.0 Cr - ? 3.63 Cr,2.27 Cr - 3.1 Cr,2.32 Cr - 3.58 Cr,,,,,,,
432470,Price Range,1.99 - 3.14 Cr,2.12 Cr - ? 3.33 Cr,2.04 Cr - 3.21 Cr,2.15 Cr - 3.40 Cr,,,,,,,
298821,Price Range,6.47 - 8.9 Cr,3.08 Cr - ? 7.76 Cr,5.42 Cr - 7.17 Cr,6.02 Cr - 7.88 Cr,,,,,,,
410631,Price Range,8.8 - 17.11 Cr,6.72 Cr - ? 12.81 Cr,7.76 Cr - 14.09 Cr,68.25 Lac - 18.65 Cr,,,,,,,
418319,Price Range,3.14 Cr,2.79 Cr,1.53 Cr - 2.68 Cr,Rs81.30 Lac - 3.09 Cr,,,,,,,
348347,Price Range,1.03 - 5.46 Cr,? 2.67 Cr - ? 5.74 Cr,2.59 Cr - 3.33 Cr,?1.36 Cr - 3.33 Cr,,,,,,,
387255,Price Range,3.85 - 13.83 Cr,? 3.07 Cr - ? 8.62 Cr,2.48 Cr - 4.44 Cr,?2.58 Cr - 9.94 Cr,,,,,,,
