Index,data_point_name,99acres,C1,C2,C3,,,,,,,
394731,Videos,2,3,1,1,,,,,,,
430588,Videos ,3,1,0,1,,,,,,,
432470,Videos ,3,0,1,1,,,,,,,
298821,Videos ,3,12,1,1,,,,,,,
410631,Videos ,3,5,1,1,,,,,,,
431965,Videos ,3,Not available,1,2,,,,,,,
431964,Videos ,3,0,1,1,,,,,,,
425268,Videos ,3,1,1,2,,,,,,,
88315,Videos ,2,1,1,2,,,,,,,
370898,Videos ,Not Available,5,1,1,,,,,,,
