XID,Unit Type,Unit Size,Area Type,Price,Possession Date
r222447,3 BHK,3305 sq.ft,Super Area,3.37 Cr,Possession by Sep'23
r222447,2 BHK,1360 sq.ft,Super Area,1.39 Cr,Possession by Sep'23
r222447,2 BHK,1375 sq.ft,Super Area,1.40 Cr,Possession by Sep'23
r222447,2 BHK,1400 sq.ft,Super Area,1.43 Cr,Possession by Sep'23
r222447,2 BHK,1410 sq.ft,Super Area,1.44 Cr,Possession by Sep'23
r222447,2 BHK,1455 sq.ft,Super Area,1.48 Cr,Possession by Sep'23
r222447,2 BHK,1495 sq.ft,Super Area,1.52 Cr,Possession by Sep'23
r222447,2 BHK,1535 sq.ft,Super Area,1.56 Cr,Possession by Sep'23
r222447,4 BHK,2835 sq.ft,Super Area,2.89 Cr,Possession by Sep'23
r222447,4 BHK,3150 sq.ft,Super Area,3.22 Cr,Possession by Sep'23
r222447,4 BHK,3455 sq.ft,Super Area,3.53 Cr,Possession by Sep'23
r500,3 BHK,1655 sq.ft,Super Area,91 Lac,Possession by Dec'17
r500,3 BHK,1685 sq.ft,Super Area,84.3 Lac,Possession by Dec'17
r500,3 BHK,2210 sq.ft,Super Area,1.10 Cr,Possession by Dec'17
r500,2 BHK,1100 sq.ft,Super Area,55 Lac,Possession by Dec'17
r398773,3 BHK,1900 sq.ft,Super Area,1.18 Cr,Possession by Jun'28
r398773,3 BHK,2000 sq.ft,Super Area,1.24 Cr,Possession by Jun'28
r398773,2 BHK,1445 sq.ft,Super Area,89.9 Lac,Possession by Jun'28
r298821,3 BHK,1608 sq.ft,Super Area,6.02 Cr,Possession by Jun'25
r298821,3 BHK,1630 sq.ft,Super Area,2.93 Cr,Possession by Jun'25
r298821,3 BHK,3000 sq.ft,Super Area,5.40 Cr,Possession by Jun'25
r298821,3 BHK,3047 sq.ft,Super Area,5.48 Cr,Possession by Jun'25
r298821,4 BHK,2100 sq.ft,Super Area,3.78 Cr,Possession by Jun'25
r298821,4 BHK,2105 sq.ft,Super Area,3.78 Cr,Possession by Jun'25
r298821,4 BHK,2122 sq.ft,Super Area,3.81 Cr,Possession by Jun'25
r298821,4 BHK,2126 sq.ft,Super Area,3.82 Cr,Possession by Jun'25
r298821,4 BHK,3938 sq.ft,Super Area,7.08 Cr,Possession by Jun'25
r298821,4 BHK,4100 sq.ft,Super Area,7.38 Cr,Possession by Jun'25
r414088,3 BHK,1453 sq.ft,Super Area,Price Not Available,Possession by Oct'27
r414088,3 BHK,1576 sq.ft,Super Area,1.16 Cr,Possession by Oct'27
r414088,3 BHK,1577 sq.ft,Super Area,1.18 Cr,Possession by Oct'27
r414088,3 BHK,1763 sq.ft,Super Area,1.25 Cr,Possession by Oct'27
r414088,3 BHK,1764 sq.ft,Super Area,1.26 Cr,Possession by Oct'27
r414088,3 BHK,1961 sq.ft,Super Area,1.46 Cr,Possession by Oct'27
r414088,3 BHK,1963 sq.ft,Super Area,1.49 Cr,Possession by Oct'27
r414088,3 BHK,2304 sq.ft,Super Area,1.70 Cr,Possession by Oct'27
r414088,3 BHK,2307 sq.ft,Super Area,1.70 Cr,Possession by Oct'27
r414088,2 BHK,1251 sq.ft,Super Area,90 Lac,Possession by Oct'27
r414088,2 BHK,1453 sq.ft,Super Area,1.10 Cr,Possession by Oct'27
r421468,3 BHK,2245 sq.ft,Super Area,2.24 Cr,Possession by Sep'28
r421468,3 BHK,2442 sq.ft,Super Area,2.44 Cr,Possession by Sep'28
r421468,,,,,
r389059,3 BHK,2240 sq.ft,Super Area,1.50 Cr,Possession by Jun'25
r389059,3 BHK,2275 sq.ft,Super Area,1.52 Cr,Possession by Jun'25
r389059,4 BHK,2765 sq.ft,Super Area,1.85 Cr,Possession by Jun'25
r389059,4 BHK,3400 sq.ft,Super Area,2.27 Cr,Possession by Jun'25
r302159,3 BHK,1045 sq.ft,Super Area,31 Lac,Possession by Oct'24
r302159,3 BHK,1429 sq.ft,Super Area,44 Lac,Possession by Oct'24
r302159,3 BHK,1593 sq.ft,Super Area,49 Lac,Possession by Oct'24
r302159,2 BHK,849 sq.ft,Super Area,26 Lac,Possession by Oct'24
r302159,2 BHK,1129 sq.ft,Super Area,35 Lac,Possession by Oct'24
r302159,3 BHK villa,2270 sq.ft,Super Area,70 Lac,Possession by Oct'24
r302159,3 BHK villa,2770 sq.ft,Super Area,95 Lac,Possession by Oct'24
r426788,Residential plot,810 sq.ft,Super Area,33.9 Lac,Possession by Jan'23
r426788,3 BHK villa,810 sq.ft,Super Area,86.9 Lac,Possession by Jan'23
r426788,4 BHK villa,1320 sq.ft,Super Area,1.18 Cr,Possession by Jan'23
r428425,3 BHK,1221 sq.ft,Super Area,5.43 Cr,Possession by Dec'29
r428425,3 BHK,1407 sq.ft,Super Area,6.26 Cr,Possession by Dec'29
r428425,,,,,
r63501,3 BHK,1080 sq.ft,Super Area,1.35 Cr,Possession by Jun'21
r63501,3 BHK,1480 sq.ft,Super Area,1.85 Cr,Possession by Jun'21
r63501,,,,,
r433611,3 BHK,1582 sq.ft,Super Area,1.50 Cr,Possession by Dec'27
r433611,3 BHK,1587 sq.ft,Super Area,1.34 Cr,Possession by Dec'27
r433611,3 BHK,1599 sq.ft,Super Area,1.35 Cr,Possession by Dec'27
r433611,3 BHK,1666 sq.ft,Super Area,1.41 Cr,Possession by Dec'27
r433611,3 BHK,1909 sq.ft,Super Area,1.48 Cr,Possession by Dec'27
r433611,3 BHK,1920 sq.ft,Super Area,1.63 Cr,Possession by Dec'27
r433611,3 BHK,1941 sq.ft,Super Area,1.64 Cr,Possession by Dec'27
r433611,3 BHK,1953 sq.ft,Super Area,1.85 Cr,Possession by Dec'27
r433611,4 BHK,2566 sq.ft,Super Area,2.43 Cr,Possession by Dec'27
r433611,4 BHK,2580 sq.ft,Super Area,2.19 Cr,Possession by Dec'27
r433611,4 BHK,2584 sq.ft,Super Area,2.19 Cr,Possession by Dec'27
r433611,4 BHK,2644 sq.ft,Super Area,2.24 Cr,Possession by Dec'27
r318679,3 BHK,1359 sq.ft,Super Area,1.67 Cr,Possession by Feb'25
r318679,3 BHK,1689 sq.ft,Super Area,2.07 Cr,Possession by Feb'25
r318679,2 BHK,1099 sq.ft,Super Area,1.35 Cr,Possession by Feb'25
r386456,3 BHK,2321 sq.ft,Super Area,1.66 Cr,Possession by Oct'24
r386456,3 BHK,2360 sq.ft,Super Area,1.69 Cr,Possession by Oct'24
r386456,2 BHK,1566 sq.ft,Super Area,1.15 Cr,Possession by Oct'24
r386456,2 BHK,1577 sq.ft,Super Area,1.15 Cr,Possession by Oct'24
r386456,2 BHK,1714 sq.ft,Super Area,1.25 Cr,Possession by Oct'24
r386456,4 BHK,3054 sq.ft,Super Area,2.21 Cr,Possession by Oct'24
r386456,4 BHK,3106 sq.ft,Super Area,2.25 Cr,Possession by Oct'24
r415335,Residential plot,653 sq.ft,Super Area,24.7 Lac,Possession by May'25
r415335,Residential plot,871 sq.ft,Super Area,33 Lac,Possession by May'25
r415335,Residential plot,1088 sq.ft,Super Area,41.2 Lac,Possession by May'25
r415335,Residential plot,1306 sq.ft,Super Area,50.5 Lac,Possession by May'25
r415335,Residential plot,1524 sq.ft,Super Area,57.7 Lac,Possession by May'25
r415335,3 BHK,1602 sq.ft,Super Area,89 Lac,Possession by May'25
r415335,2 BHK,1100 sq.ft,Super Area,78 Lac,Possession by May'25
r415335,2 BHK,1298 sq.ft,Super Area,79 Lac,Possession by May'25
r415335,2 BHK,1369 sq.ft,Super Area,83 Lac,Possession by May'25
r415335,2 BHK,1390 sq.ft,Super Area,85 Lac,Possession by May'25
r415335,3 BHK villa,1600 sq.ft,Super Area,91 Lac,Possession by May'25
r415335,3 BHK villa,1607 sq.ft,Super Area,90 Lac,Possession by May'25
r415335,3 BHK villa,2146 sq.ft,Super Area,1.20 Cr,Possession by May'25
r401530,3 BHK,983 sq.ft,Super Area,1.48 Cr,Possession by Nov'28
r401530,3 BHK,1107 sq.ft,Super Area,1.66 Cr,Possession by Nov'28
r401530,3 BHK,1530 sq.ft,Super Area,1.71 Cr,Possession by Nov'28
r401530,3 BHK,1870 sq.ft,Super Area,2.03 Cr,Possession by Nov'28
r401530,3 BHK,1890 sq.ft,Super Area,2.05 Cr,Possession by Nov'28
r401530,2 BHK,785 sq.ft,Super Area,1.23 Cr,Possession by Nov'28
r401530,2 BHK,804 sq.ft,Super Area,1.26 Cr,Possession by Nov'28
r401530,2 BHK,1235 sq.ft,Super Area,1.31 Cr,Possession by Nov'28
r401530,2 BHK,1260 sq.ft,Super Area,1.35 Cr,Possession by Nov'28
r401530,2 BHK,1320 sq.ft,Super Area,1.50 Cr,Possession by Nov'28
r401530,4 BHK,2330 sq.ft,Super Area,2.52 Cr,Possession by Nov'28
r426978,3 BHK,1745 sq.ft,Super Area,86.4 Lac,Possession by Mar'25
r426978,3 BHK,1822 sq.ft,Super Area,90.2 Lac,Possession by Mar'25
r426978,3 BHK,1895 sq.ft,Super Area,93.8 Lac,Possession by Mar'25
r396695,3 BHK,1766 sq.ft,Super Area,1.73 Cr,Possession by Mar'26
r396695,3 BHK,1833 sq.ft,Super Area,1.80 Cr,Possession by Mar'26
r396695,3 BHK,1864 sq.ft,Super Area,1.83 Cr,Possession by Mar'26
r396695,3 BHK,1930 sq.ft,Super Area,1.89 Cr,Possession by Mar'26
r396695,3 BHK,1936 sq.ft,Super Area,1.78 Cr,Possession by Mar'26
r396695,3 BHK,1960 sq.ft,Super Area,1.92 Cr,Possession by Mar'26
r396695,3 BHK,1998 sq.ft,Super Area,1.96 Cr,Possession by Mar'26
r396695,3 BHK,1999 sq.ft,Super Area,1.96 Cr,Possession by Mar'26
r396695,3 BHK,2002 sq.ft,Super Area,1.96 Cr,Possession by Mar'26
r396695,3 BHK,2003 sq.ft,Super Area,1.97 Cr,Possession by Mar'26
r396695,3 BHK,2019 sq.ft,Super Area,1.98 Cr,Possession by Mar'26
r396695,3 BHK,2023 sq.ft,Super Area,1.98 Cr,Possession by Mar'26
r396695,3 BHK,2025 sq.ft,Super Area,1.99 Cr,Possession by Mar'26
r396695,3 BHK,2049 sq.ft,Super Area,2.01 Cr,Possession by Mar'26
r396695,3 BHK,2057 sq.ft,Super Area,2.02 Cr,Possession by Mar'26
r396695,3 BHK,2063 sq.ft,Super Area,2.02 Cr,Possession by Mar'26
r396695,3 BHK,2070 sq.ft,Super Area,2.03 Cr,Possession by Mar'26
r396695,3 BHK,2082 sq.ft,Super Area,2.04 Cr,Possession by Mar'26
r396695,3 BHK,2094 sq.ft,Super Area,2.05 Cr,Possession by Mar'26
r396695,3 BHK,2100 sq.ft,Super Area,2.06 Cr,Possession by Mar'26
r396695,3 BHK,2159 sq.ft,Super Area,2.12 Cr,Possession by Mar'26
r396695,3 BHK,2170 sq.ft,Super Area,2.13 Cr,Possession by Mar'26
r396695,3 BHK,2172 sq.ft,Super Area,2.13 Cr,Possession by Mar'26
r396695,3 BHK,2176 sq.ft,Super Area,2.13 Cr,Possession by Mar'26
