District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,
Jaipur,SHRI NATH ENCLAVE,PLOTTED,RAMJILAL CHOUDHARY,RAJ-RERA-APP-P-2023-9237,RAJ/P/2023/2723 (27/09/2023),View,
Jaipur,SHRI RAMCHANDRA NAGAR,PLOTTED,MANOJ CHOUDHARY,RAJ-RERA-APP-P-2023-9236,RAJ/P/2023/2703 (19/09/2023),View,
Kota,R. K. PURAM AND SHRI NATHPURAM RESIDENTIAL SCHEME,PLOTTED,"URBAN IMPROVEMENT TRUST,KOTA",RAJ-RERA-APP-P-2023-9229,RAJ/P/2023/2689 (15/09/2023),View,
Jaipur,SANTOSH VILLA-D BLOCK,PLOTTED,Ramu Lal Meena,RAJ-RERA-APP-P-2023-9211,RAJ/P/2023/2694 (15/09/2023),View,
Jaipur,SUMAN ENCLAVE-JEEROTA,PLOTTED,Teeja Meena,RAJ-RERA-APP-P-2023-9212,RAJ/P/2023/2695 (15/09/2023),View,
Jaipur,KANHAIYA KUNJ,PLOTTED,KAILASH CHAND SAINI,RAJ-RERA-APP-P-2023-9221,RAJ/P/2023/2733 (06/10/2023),View,
Jaipur,GOVIND VIHAR-D,PLOTTED,KAILASH CHAND CHOUDHARY,RAJ-RERA-APP-P-2023-9202,RAJ/P/2023/2696 (15/09/2023),View,
Sri Ganganagar,SARASWATI NAGAR EXTENSION,PLOTTED,Anyway land mark private limited,RAJ-RERA-APP-P-2023-9200,RAJ/P/2023/2779 (23/10/2023),View,
Jaipur,MANGLAM ANAND BAGH (PART-II),PLOTTED,MANGLAM ASSOCIATES,RAJ-RERA-APP-P-2023-9190,RAJ/P/2023/2685 (12/09/2023),View,
Kota,PARSHAVNATH NILAY BLOCK-B,PLOTTED,PRANATI BUILDCON,RAJ-RERA-APP-P-2023-9185,RAJ/P/2023/2684 (12/09/2023),View,
Jaipur,BALAJI AASHIYANA,GROUP HOUSING,BALAJI BUILDERS,RAJ-RERA-APP-P-2023-9165,RAJ/P/2023/2734 (06/10/2023),View,
Jodhpur,ASHAPURNA NRI PHASE-V,PLOTTED,ASHAPURNA BUILDCON LIMITED,RAJ-RERA-APP-P-2023-9166,RAJ/P/2023/2697 (15/09/2023),View,
Jodhpur,ASHAPURNA MOHAN BAGH,GROUP HOUSING,ASHAPURNA BUILDCON LIMITED,RAJ-RERA-APP-P-2023-9173,RAJ/P/2023/2813 (09/11/2023),View,
Jodhpur,ASHAPURNA NRI PHASE-VI,GROUP HOUSING,ASHAPURNA BUILDCON LIMITED,RAJ-RERA-APP-P-2023-9168,RAJ/P/2023/2724 (27/09/2023),View,
Jaipur,R R HEIGHTS,GROUP HOUSING,VINAYAK HOMES,RAJ-RERA-APP-P-2023-9182,RAJ/P/2023/2763 (16/10/2023),View,
Sikar,Maruti Nandan Residential Scheme,PLOTTED,DHANNA RAM,RAJ-RERA-APP-P-2023-9150,RAJ/P/2023/2735 (06/10/2023),View,
Alwar,VBHC Greenfields Commercial Complex,Commercial,VBHC Delhi Value Homes Private Limited,RAJ-RERA-APP-P-2023-9148,RAJ/P/2023/2686 (12/09/2023),View,
Jaipur,SHRI KRISHANA GREEN VELLAY,PLOTTED,Bhauri Devi,RAJ-RERA-APP-P-2023-9142,RAJ/P/2023/2698 (15/09/2023),View,
Sri Ganganagar,Ridhi Sidhi City,PLOTTED,RIDHI SIDHI HOME DEVELOPERS PVT LTD,RAJ-RERA-APP-P-2023-9129,RAJ/P/2023/2704 (19/09/2023),View,
Jaipur,RAMAA ESTATE Ist,PLOTTED,Ramgopal Agarwal,RAJ-RERA-APP-P-2023-9126,RAJ/P/2023/2682 (02/09/2023),View,
Sikar,Madhav Vihar - 1,PLOTTED,MADHAV BUILDERS AND DEVELOPERS,RAJ-RERA-APP-P-2023-9091,RAJ/P/2023/2699 (15/09/2023),View,
Jaipur,SERENE VALLEY,PLOTTED,DHANSHREE DEVELOPERS,RAJ-RERA-APP-P-2023-9082,RAJ/P/2023/2750 (10/10/2023),View,
Sri Ganganagar,Shreenath Mohraan Market,PLOTTED,MOHRA INFRA CORP,RAJ-RERA-APP-P-2023-9063,RAJ/P/2023/2803 (05/11/2023),View,
Jaipur,ROYAL ONE RESIDENCY,PLOTTED,VIDHAN BUILDTECH PRIVATE LIMITED,RAJ-RERA-APP-P-2023-9070,RAJ/P/2023/2679 (28/08/2023),View,
Sri Ganganagar,RAJPREET ESTATE,PLOTTED,Devinder Kaur,RAJ-RERA-APP-P-2023-9046,RAJ/P/2024/2957 (30/01/2024),View,
Sikar,RAMKORI RESIDENCY PHASE -2 AAWASIYA YOJNA,PLOTTED,PRAMOD KUMAR,RAJ-RERA-APP-P-2023-9054,RAJ/P/2023/2706 (19/09/2023),View,
Sikar,SHRIRAM NAGAR -2 AAWASIYA YOJNA,PLOTTED,SULTAN SINGH,RAJ-RERA-APP-P-2023-9053,RAJ/P/2023/2717 (22/09/2023),View,
Nagaur,"C.S (BLOCK-B) IN DR. BHIMRAO AMBEDKAR, RESIDENTIAL SCHEME, NAGAUR",PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-9030,RAJ/P/2023/2884 (22/12/2023),View,
Jaipur,COMMERCIAL BELT 'B’ AT V.T. ROAD MANSAROVAR JAIPUR PHASE-B,PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-9028,RAJ/P/2023/2718 (22/09/2023),View,
Nagaur,"C.S (BLOCK-B) IN DR. BHIMRAO AMBEDKAR, RESIDENTIAL SCHEME, NAGAUR",PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-9030,RAJ/P/2023/2884 (22/12/2023),View,
Nagaur,"C.S (BLOCK-E) IN DR. BHIMRAO AMBEDKAR, RESIDENTIAL SCHEME, NAGAUR",PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-9031,RAJ/P/2023/2883 (22/12/2023),View,
Nagaur,"C.S (BLOCK -C) DR. BHIMRAO AMBEDKAR, RESIDENTIAL SCHEME, NAGAUR",PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-9032,RAJ/P/2023/2885 (22/12/2023),View,
Jaipur,CKD KARTARA MANSION,GROUP HOUSING,CKD BUILDCON LLP,RAJ-RERA-APP-P-2023-9040,RAJ/P/2023/2741 (06/10/2023),View,
Jaipur,Shiv Vihar Vistar,PLOTTED,Om Shiv Properties Private Limited,RAJ-RERA-APP-P-2023-9044,RAJ/P/2023/2669 (25/08/2023),View,
Ajmer,R.S. NAGAR B-BLOCK,PLOTTED,SURENDER CHOUDHARY,RAJ-RERA-APP-P-2023-9011,RAJ/P/2023/2657 (22/08/2023),View,
Ajmer,R.S. NAGAR BLOCK- A,PLOTTED,SUNITA CHOUDHARY,RAJ-RERA-APP-P-2023-9007,RAJ/P/2023/2658 (22/08/2023),View,
Jaipur,The Savoy,GROUP HOUSING,UNITED PRIME BUILDESTATE,RAJ-RERA-APP-P-2023-9006,RAJ/P/2023/2751 (10/10/2023),View,
Jaipur,LAMBA HEIGHTS I,GROUP HOUSING,LAMBA REAL ESTATES,RAJ-RERA-APP-P-2023-9002,RAJ/P/2023/2781 (23/10/2023),View,
Alwar,ASHIANA TARANG PHASE-V,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2023-9001,RAJ/P/2023/2700 (15/09/2023),View,
Jaipur,ROYAL CRYSTA,GROUP HOUSING,VINAYAK BUILDERSAND DEVELOPERS,RAJ-RERA-APP-P-2023-8987,RAJ/P/2023/2719 (22/09/2023),View,
Jaipur,Alante,GROUP HOUSING,SARTHAK REALTY,RAJ-RERA-APP-P-2023-8989,RAJ/P/2023/2764 (16/10/2023),View,
Jaipur,VRINDAVAN GARDEN-I,PLOTTED,Luxury Estates,RAJ-RERA-APP-P-2023-8982,RAJ/P/2023/2680 (28/08/2023),View,
Sri Ganganagar,Vrindavan Green 2,PLOTTED,Sarla Devi Goyal,RAJ-RERA-APP-P-2023-8975,RAJ/P/2023/2851 (05/12/2023),View,
Sri Ganganagar,Vrindavan Greens,PLOTTED,Rameshwar Lal,RAJ-RERA-APP-P-2023-8973,RAJ/P/2023/2782 (23/10/2023),View,
Alwar,Trehan Shalimar Heights,GROUP HOUSING,TREHAN APNA GHAR PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8974,RAJ/P/2023/2752 (10/10/2023),View,
Jaipur,GOVIND BAGH-ELITE,PLOTTED,GOVIND KRIPA INFRA PROJECTS LLP,RAJ-RERA-APP-P-2023-8950,RAJ/P/2023/2659 (22/08/2023),View,
Jaipur,GOVIND BAGH-PEARL,PLOTTED,GOVIND KRIPA INFRA PROJECTS LLP,RAJ-RERA-APP-P-2023-8951,RAJ/P/2023/2660 (22/08/2023),View,
Sikar,BALAJI HEIGHTS TOWER-A,GROUP HOUSING,BALAJI BUILDCON,RAJ-RERA-APP-P-2023-8955,RAJ/P/2023/2736 (06/10/2023),View,
Jaipur,S B HIGHT II,GROUP HOUSING,SHREE BALAJI DEVELOPERS,RAJ-RERA-APP-P-2023-8949,RAJ/P/2023/2742 (06/10/2023),View,
Sikar,SHREE GANESH AAWASIY VIHAR,PLOTTED,SHANKAR LAL BEDI,RAJ-RERA-APP-P-2023-8934,RAJ/P/2023/2891 (28/12/2023),View,
Jaipur,THE ELEGANT,GROUP HOUSING,TIRUPATI HOMES,RAJ-RERA-APP-P-2023-8905,RAJ/P/2023/2661 (22/08/2023),View,
Pali,DHARTI ASHIYANA,GROUP HOUSING,DHARTI IMPERIAL,RAJ-RERA-APP-P-2023-8915,RAJ/P/2024/3027 (26/02/2024),View,
Sikar,MARUTI PLAZA,Mixed (Residential And Commercial),SUNIL KUMAR,RAJ-RERA-APP-P-2023-8925,RAJ/P/2023/2690 (15/09/2023),View,
Jaipur,LOVE HOME JOYPUR,GROUP HOUSING,ACL INFRATECH PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8918,RAJ/P/2023/2668 (25/08/2023),View,
Jaipur,Sugan Enclave,PLOTTED,Ajay Jamad,RAJ-RERA-APP-P-2023-8920,RAJ/P/2023/2683 (02/09/2023),View,
Jaipur,Eklavya,GROUP HOUSING,A3Logics India Private Limited,RAJ-RERA-APP-P-2023-8913,RAJ/P/2023/2671 (25/08/2023),View,
Udaipur,SAMBHAVNATH COMPLEX A BLOCK (RISHAB TOWER),GROUP HOUSING,SAMBHAVNATH COMPLEX LIMITED,RAJ-RERA-APP-P-2023-8917,RAJ/P/2023/2864 (15/12/2023),View,
Sri Ganganagar,Balaji Golden-Estate,PLOTTED,Sahil Bhambhu,RAJ-RERA-APP-P-2023-8908,RAJ/P/2023/2789 (26/10/2023),View,
Sri Ganganagar,PRITHVIRAJ ENCLAVE II,GROUP HOUSING,PRADUMAN PRATAP SINGH,RAJ-RERA-APP-P-2023-8923,RAJ/P/2023/2670 (25/08/2023),View,
Pali,KHUSHI SANSAAR KHANNA’S HARI VILLAS,GROUP HOUSING,KHUSHI SANSAAR DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8914,RAJ/P/2023/2814 (09/11/2023),View,
Jaipur,AKD Orion,Mixed (Residential And Commercial),AKD DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8922,RAJ/P/2023/2753 (10/10/2023),View,
Jodhpur,ARIHANT VELLY,GROUP HOUSING,SURESH TARACHAND GUNDECHA,RAJ-RERA-APP-P-2023-8910,RAJ/P/2023/2765 (16/10/2023),View,
Sri Ganganagar,Balaji Golden Estate,PLOTTED,Surendra Kumar,RAJ-RERA-APP-P-2023-8907,RAJ/P/2023/2783 (23/10/2023),View,
Jaipur,TIRUPATI OZONE,GROUP HOUSING,TIRUPATI BUILDTECH,RAJ-RERA-APP-P-2023-8919,RAJ/P/2023/2757 (13/10/2023),View,
Jaipur,SHAKMBHARI VATIKA,PLOTTED,MRM REALESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8911,RAJ/P/2023/2662 (22/08/2023),View,
Sri Ganganagar,Balaji Golden Estate 1,PLOTTED,Narender Kumar,RAJ-RERA-APP-P-2023-8909,RAJ/P/2023/2816 (14/11/2023),View,
Alwar,TRIMURTI VILLAS,GROUP HOUSING,TRIMURTI PROJECTS AND DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8921,RAJ/P/2023/2766 (20/10/2023),View,
Ajmer,SHREYA DEVELOPERS,PLOTTED,Ruchi Jain,RAJ-RERA-APP-P-2023-8904,RAJ/P/2023/2737 (06/10/2023),View,
Jaipur,PRIME ENCLAVE,Mixed (Residential And Commercial),KRISHNA ALANKAR DEVELOPERS LLP,RAJ-RERA-APP-P-2023-8903,RAJ/P/2023/2804 (05/11/2023),View,
Jaipur,SIGNATURE ELITE HOMES,PLOTTED,NDK DEVELOPERS LLP,RAJ-RERA-APP-P-2023-8902,RAJ/P/2023/2672 (25/08/2023),View,
Udaipur,Kuber Anand,GROUP HOUSING,Kuber Builders & Developers,RAJ-RERA-APP-P-2023-8901,RAJ/P/2023/2647 (07/08/2023),View,
Jodhpur,New Bheru Nagar Phase-II,GROUP HOUSING,BHERU CONSTRUCTION,RAJ-RERA-APP-P-2023-8898,RAJ/P/2023/2674 (25/08/2023),View,
Bikaner,SUKHJAN (CLUB APARTMENTS),GROUP HOUSING,BUILTPIER INFRA PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8931,RAJ/P/2023/2663 (22/08/2023),View,
Ajmer,GANPATI VIHAR,PLOTTED,R.S.INFRASTRUCTURE,RAJ-RERA-APP-P-2023-8883,RAJ/P/2023/2664 (22/08/2023),View,
Jaipur,THE ROYALE PALLACIA,GROUP HOUSING,TIRUPATI BALAJI ENTERPRISES,RAJ-RERA-APP-P-2023-8854,RAJ/P/2023/2648 (07/08/2023),View,
Jaipur,JAGDAMBA APPARTMENT II,GROUP HOUSING,JAGDAMBA PRIME CONSTRUCTION LLP,RAJ-RERA-APP-P-2023-8845,RAJ/P/2023/2743 (06/10/2023),View,
Jaipur,CHANDRALOK RESIDENCY II,PLOTTED,Bhairu Ram Yadav,RAJ-RERA-APP-P-2023-8846,RAJ/P/2023/2665 (22/08/2023),View,
Udaipur,SKYLINE,GROUP HOUSING,SIDDHATVA ENCLAVE PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8843,RAJ/P/2023/2758 (13/10/2023),View,
Jaipur,ROYAL CITY-I,PLOTTED,Khandelwal Infraheights Private Limited,RAJ-RERA-APP-P-2023-8832,RAJ/P/2023/2656 (16/08/2023),View,
Sri Ganganagar,Dream Enclave,PLOTTED,DREAM ENCLAVE,RAJ-RERA-APP-P-2023-8824,RAJ/P/2023/2688 (12/09/2023),View,
Jaipur,MAHADEV ENCLAVE,PLOTTED,Panchu Ram Choudhary,RAJ-RERA-APP-P-2023-8743,RAJ/P/2023/2640 (29/07/2023),View,
Ajmer,Atlantis,Mixed (Residential And Commercial),CASTLE REALTORS,RAJ-RERA-APP-P-2023-8717,RAJ/P/2023/2641 (02/08/2023),View,
Kota,NIRMAL PARK,PLOTTED,N C HERITAGE RESORTS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8672,RAJ/P/2023/2673 (25/08/2023),View,
Jaipur,"Shopping Centre CS-2 at Vatika Scheme, Jaipur",PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-8658,RAJ/P/2023/2632 (26/07/2023),View,
Jaipur,"Shopping Centre CS-3 at Vatika Scheme, Jaipur",PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2023-8657,RAJ/P/2023/2633 (26/07/2023),View,
Kota,PARWATI ENCLAVE,PLOTTED,Ashirwad Properties,RAJ-RERA-APP-P-2023-8637,RAJ/P/2023/2643 (03/08/2023),View,
Ajmer,PARSHVANATHA COLONY,PLOTTED,DEEPAK RAIDAS,RAJ-RERA-APP-P-2023-8625,RAJ/P/2023/2675 (25/08/2023),View,
Jodhpur,New Bheru Nagar Phase-I,PLOTTED,BHERU CONSTRUCTION,RAJ-RERA-APP-P-2023-8617,RAJ/P/2023/2644 (03/08/2023),View,
Jaipur,MANGLAM ANAND BAGH (PART-I),PLOTTED,MANGLAM ASSOCIATES,RAJ-RERA-APP-P-2023-8584,RAJ/P/2023/2634 (26/07/2023),View,
Jaipur,SHYAM SAROVER ROOPWAS,PLOTTED,Niraj Aggarwal,RAJ-RERA-APP-P-2023-8552,RAJ/P/2023/2624 (25/07/2023),View,
Bundi,PARSHAVNATH GREEN CITY,PLOTTED,PARSHAVNATH BUILDCON,RAJ-RERA-APP-P-2023-8557,RAJ/P/2023/2623 (25/07/2023),View,
Jaipur,LANDMARK,GROUP HOUSING,SHREE SHYAM ENTERPRISES,RAJ-RERA-APP-P-2023-8551,RAJ/P/2023/2649 (07/08/2023),View,
Jaipur,ALAYA BY GBD,GROUP HOUSING,GBD CONSTRUCTION,RAJ-RERA-APP-P-2023-8545,RAJ/P/2023/2720 (22/09/2023),View,
Sri Ganganagar,"Ridhi Sidhi Enclave - 1, Sector -5",PLOTTED,RIDHI SIDHI HOME DEVELOPERS PVT LTD,RAJ-RERA-APP-P-2023-8546,RAJ/P/2023/2676 (25/08/2023),View,
Jaipur,Parth Sunshine,GROUP HOUSING,Parth Sarthi Homes,RAJ-RERA-APP-P-2023-8543,RAJ/P/2023/2635 (27/07/2023),View,
Jaipur,KALYAN AROMA,GROUP HOUSING,KALYAN BUILDHOME,RAJ-RERA-APP-P-2023-8523,RAJ/P/2023/2654 (11/08/2023),View,
Jaipur,VRB AMBER PHASE-1ST,PLOTTED,VRB DEVELOPERS LLP,RAJ-RERA-APP-P-2023-8517,RAJ/P/2023/2622 (18/07/2023),View,
Jaipur,Parth Planet,GROUP HOUSING,Parth Sarthi Industries,RAJ-RERA-APP-P-2023-8507,RAJ/P/2023/2631 (26/07/2023),View,
Jaipur,Parth Palace A,GROUP HOUSING,G R Homes,RAJ-RERA-APP-P-2023-8502,RAJ/P/2023/2636 (27/07/2023),View,
Jaipur,Parth Prime A,GROUP HOUSING,Shiv Real Estate,RAJ-RERA-APP-P-2023-8503,RAJ/P/2023/2650 (07/08/2023),View,
Kota,AASHIRWAD VRINDAVAN,GROUP HOUSING,KAIZEN ENTERPRISES PVT LTD,RAJ-RERA-APP-P-2023-8486,RAJ/P/2023/2651 (07/08/2023),View,
Jaipur,The Century Garden,GROUP HOUSING,Century 21 Builtech,RAJ-RERA-APP-P-2023-8493,RAJ/P/2023/2652 (10/08/2023),View,
Jaipur,THE LANDMARK,GROUP HOUSING,M G REALINFRA PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8487,RAJ/P/2023/2625 (25/07/2023),View,
Jaipur,RIYASAT TOWN-1st EXTENSION,PLOTTED,GOKUL KRIPA COLONIZERS AND DEVELOPERS PVT. LTD.,RAJ-RERA-APP-P-2023-8492,RAJ/P/2023/2621 (18/07/2023),View,
Jaipur,SKYLINE FRESCO,GROUP HOUSING,SKYLINE BUILDESTATES PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8475,RAJ/P/2023/2602 (10/07/2023),View,
Jaipur,RIYASAT TOWN-II EXTENSION,PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8477,RAJ/P/2023/2601 (10/07/2023),View,
Jhalawar,SAI DARSHAN VISTAR,PLOTTED,CHOTU LAL,RAJ-RERA-APP-P-2023-8472,RAJ/P/2023/2705 (19/09/2023),View,
Sirohi,KARNUM HEIGHTS,GROUP HOUSING,KARNUM HEIGHTS,RAJ-RERA-APP-P-2023-8468,RAJ/P/2023/2725 (27/09/2023),View,
Jaipur,Kalyan Diamond,GROUP HOUSING,KALYAN BUILDERS,RAJ-RERA-APP-P-2023-8462,RAJ/P/2023/2642 (02/08/2023),View,
Jaipur,SHRI GANESHAM VILLA,PLOTTED,GANESHAM INFRAPROJECTS,RAJ-RERA-APP-P-2023-8460,RAJ/P/2023/2603 (10/07/2023),View,
Jaipur,Atulyam,GROUP HOUSING,SIDDHARTH BUIDCOM,RAJ-RERA-APP-P-2023-8454,RAJ/P/2023/2805 (05/11/2023),View,
Jaipur,VINAYAKAM,PLOTTED,VINAYAK DEVELOPERS,RAJ-RERA-APP-P-2023-8446,RAJ/P/2023/2604 (10/07/2023),View,
Jaipur,CITY HOME CENTURY ONE,GROUP HOUSING,LEHAR CINEMAS LLP,RAJ-RERA-APP-P-2023-8424,RAJ/P/2023/2620 (17/07/2023),View,
Jaipur,Shree Krishna Residency XI,GROUP HOUSING,Shree Krishna Construction Company,RAJ-RERA-APP-P-2023-8418,RAJ/P/2023/2605 (10/07/2023),View,
Sri Ganganagar,Shreenath Homes Sector-2,PLOTTED,ANANDAM HEIGHTS DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8396,RAJ/P/2023/2667 (22/08/2023),View,
Bikaner,MANGLAM GREENS- PARAKH ENCLAVE,PLOTTED,MANGLAM BUILD DEVELOPERS LIMITED,RAJ-RERA-APP-P-2023-8359,RAJ/P/2023/2597 (27/06/2023),View,
Kota,"Commercial Shops at RHB Scheme, Sector-6, Rangbari, Kota",PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-EXEM-2023-13,RAJ/RERAExempted Project/2023/007 (30/06/2023),View,
Jaipur,SHUBH MANGAL PRIME,GROUP HOUSING,SHUBH MANGAL HOMES,RAJ-RERA-APP-P-2023-8346,RAJ/P/2023/2611 (13/07/2023),View,
Jaipur,THE PLATINUM HOMES,GROUP HOUSING,SHIYARAM ENTERPRISES,RAJ-RERA-APP-P-2023-8329,RAJ/P/2023/2639 (29/07/2023),View,
Udaipur,SHREEJI EXOTICA PHASE 2,GROUP HOUSING,SHREEJI DEVELOPERS,RAJ-RERA-APP-P-2023-8345,RAJ/P/2023/2726 (27/09/2023),View,
Jaipur,GOLDEN RESIDENCY,PLOTTED,KRG ESTATE DEVELOPERS,RAJ-RERA-APP-P-2023-8307,RAJ/P/2023/2595 (26/06/2023),View,
Kota,"Commercial Plots at RHB Scheme, Sector-5, Rangbari, Kota",PLOTTED,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-EXEM-2023-12,RAJ/RERAExempted Project/2023/008 (30/06/2023),View,
Sikar,ASHIRWAD AAWASIYA YOJNA,PLOTTED,KANHAIYA LAL,RAJ-RERA-APP-P-2023-8305,RAJ/P/2023/2612 (13/07/2023),View,
Alwar,"NBCC ARAVALI APARTMENTS, SURYA NAGAR, ALWAR, RAJASTHAN",GROUP HOUSING,NBCC INDIA LTD,RAJ-RERA-APP-P-EXEM-2023-11,RAJ/RERAExempted Project/2024/036 (29/10/2024),View,
Jaipur,RAMAA ESTATE-IInd,PLOTTED,KRISHNAA BALRAM RESIDENCY PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8283,RAJ/P/2023/2584 (22/06/2023),View,
Sikar,MAMTA VIHAR AAWASIYA YOJNA,PLOTTED,SANWAR MAL,RAJ-RERA-APP-P-2023-8286,RAJ/P/2023/2613 (13/07/2023),View,
Jaipur,"FARM HOUSE/ECO FRIENDLY HOUSING SCHEME KH. NO. 174 PART, 202, 203 PART 222 & 224",PLOTTED,JAIPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8288,RAJ/P/2023/2592 (23/06/2023),View,
Jaipur,SHRISHTI VIHAR-1,PLOTTED,VIDYA ROCKS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8281,RAJ/P/2023/2585 (22/06/2023),View,
Udaipur,वाडा आवास योजना,PLOTTED,UIT UDAIPUR,RAJ-RERA-APP-P-2023-8278,RAJ/P/2023/2677 (25/08/2023),View,
Alwar,KAPIL VASTU VILLA EXT.-2,PLOTTED,PRADEEP VATRANA,RAJ-RERA-APP-P-2023-8282,RAJ/P/2023/2596 (26/06/2023),View,
Alwar,TREHAN VISTA,PLOTTED,TREHAN HOME DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8264,RAJ/P/2023/2666 (22/08/2023),View,
Kota,PARSHAVNATH CITY BLOCK-A,PLOTTED,PRANATI BUILDCON,RAJ-RERA-APP-P-2023-8257,RAJ/P/2023/2606 (10/07/2023),View,
Jaipur,PRIM WOODS EXTENSION,PLOTTED,FINETECH VELENTINO BUILDERS LLP,RAJ-RERA-APP-P-2023-8255,RAJ/P/2023/2681 (28/08/2023),View,
Sri Ganganagar,Shree Om Enclave,PLOTTED,Hanuman Prasad Gupta,RAJ-RERA-APP-P-2023-8253,RAJ/P/2023/2614 (13/07/2023),View,
Jaipur,SPACE VILLAS,GROUP HOUSING,One Realty Group,RAJ-RERA-APP-P-2023-8249,RAJ/P/2023/2600 (03/07/2023),View,
Jodhpur,Lok Kala Nagar Yojana,PLOTTED,JODHPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8245,RAJ/P/2023/2586 (22/06/2023),View,
Jodhpur,Chokha Commercial Scheme K. No 701,PLOTTED,JODHPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8244,RAJ/P/2023/2638 (29/07/2023),View,
Sikar,GOPAL VIHAR AAWASIYA YOJNA,PLOTTED,JAWAHAR SINGH,RAJ-RERA-APP-P-2023-8220,RAJ/P/2023/2607 (10/07/2023),View,
Ajmer,CHHATRAPATI SHIVAJI NAGAR,PLOTTED,DHEERENDRA SINGH RATHORE,RAJ-RERA-APP-P-2023-8207,RAJ/P/2023/2615 (13/07/2023),View,
Jaipur,APNA BUNGALOW PHASE - 3,PLOTTED,Siddhi Vinayak Buildhome LLP,RAJ-RERA-APP-P-2023-8200,RAJ/P/2023/2581 (14/06/2023),View,
Sikar,CHIRAG VATIKA PHASE-II,PLOTTED,BIRDA RAM,RAJ-RERA-APP-P-2023-8198,RAJ/P/2023/2616 (13/07/2023),View,
Jaipur,Patel Nagar,PLOTTED,JAIPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8190,RAJ/P/2023/2588 (22/06/2023),View,
Jaipur,Govind Vihar,PLOTTED,JAIPUR DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2023-8188,RAJ/P/2023/2587 (22/06/2023),View,
Sikar,MODEL TOWN PHASE-2,PLOTTED,ASHOK KUMAR,RAJ-RERA-APP-P-2023-8177,RAJ/P/2023/2886 (22/12/2023),View,
Ajmer,SHREE JI VIHAR,PLOTTED,NEHA BHATI,RAJ-RERA-APP-P-2023-8187,RAJ/P/2023/2599 (30/06/2023),View,
Jaipur,RIYASAT INDUSTRIAL PARK,PLOTTED,RIYASAT INFRATECH DEVELOPERS LLP,RAJ-RERA-APP-P-2023-8185,RAJ/P/2023/2570 (09/06/2023),View,
Sri Ganganagar,PRITHVIRAJ ENCLAVE I,PLOTTED,PRADUMAN PRATAP SINGH,RAJ-RERA-APP-P-2023-8168,RAJ/P/2023/2608 (10/07/2023),View,
Sikar,NARAYANI VIHAR-3,PLOTTED,MAHMOOD ALI,RAJ-RERA-APP-P-2023-8166,RAJ/P/2023/2626 (25/07/2023),View,
Sikar,KRISHNA VIHAR PHASE-4,PLOTTED,RAJENDRA KUMAR SAINI,RAJ-RERA-APP-P-2023-8161,RAJ/P/2023/2580 (12/06/2023),View,
Sikar,ANNA NAGAR PHASE-2nd RESIDENTIAL SCHEME,PLOTTED,ANITA DEVI,RAJ-RERA-APP-P-2023-8152,RAJ/P/2023/2637 (27/07/2023),View,
Jaipur,KEDIA'S ARAVALI PHASE-IIND,PLOTTED,KEDIA BUILDERS AND COLONIZERS PRIVATE LIMITED,RAJ-RERA-APP-P-2023-8153,RAJ/P/2023/2569 (07/06/2023),View,
