District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,
Jaipur,VRINDAVAN PHASE-1,PLOTTED,Samurai Constructions Private Limited,RAJ-RERA-APP-P-2024-9863,RAJ/P/2024/3129 (03/06/2024),View,
Jodhpur,SAI AASHIYANA,GROUP HOUSING,SHRI RIDHI SIDHI INFRA,RAJ-RERA-APP-P-2024-9864,RAJ/P/2024/3127 (31/05/2024),View,
Jaipur,ONE44 Phase 2,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2024-9862,RAJ/P/2024/3128 (03/06/2024),View,
Bikaner,City Greens,PLOTTED,VERAT TECHNOPLAST PRIVATE LIMITED,RAJ-RERA-APP-P-2024-9861,RAJ/P/2024/3227 (22/08/2024),View,
Sikar,GULMOHAR PARK RESIDENRTIAL SCHEME,PLOTTED,MUSTAQ AHMAD,RAJ-RERA-APP-P-2024-9860,RAJ/P/2024/3146 (28/06/2024),View,
Jaipur,VAISHALI TWO,GROUP HOUSING,SHRI KHATU SHYAM REAL ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2024-9859,RAJ/P/2024/3136 (07/06/2024),View,
Jaipur,Jwala Nagar,PLOTTED,CHHAGAN CHOUDHARY,RAJ-RERA-APP-P-2024-9858,RAJ/P/2024/3126 (31/05/2024),View,
Kota,SHANTI KUNJ,PLOTTED,RAJESH SINGH,RAJ-RERA-APP-P-2024-9857,RAJ/P/2024/3156 (03/07/2024),View,
Ajmer,RAGHAV VIHAR,PLOTTED,MADHU BHARADWAJ,RAJ-RERA-APP-P-2024-9854,RAJ/P/2024/3115 (18/05/2024),View,
Jaipur,R.K. Enclave Block A and B,PLOTTED,Ramkanwar Meena,RAJ-RERA-APP-P-2024-9855,RAJ/P/2024/3286 (24/09/2024),View,
Sikar,Ganesh Nagar,PLOTTED,NANU RAM SAINI,RAJ-RERA-APP-P-2024-9856,RAJ/P/2024/3131 (04/06/2024),View,
Jaipur,KALYAN EVA,GROUP HOUSING,KALYAN BUILDERS,RAJ-RERA-APP-P-2024-9853,RAJ/P/2024/3168 (11/07/2024),View,
Jodhpur,OM ENCLAVE,PLOTTED,DEEPAK PARIHAR,RAJ-RERA-APP-P-2024-9852,RAJ/P/2024/3145 (28/06/2024),View,
Jaipur,VAISHALI ONE,GROUP HOUSING,SHRI KHATU SHYAM REAL ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2024-9851,RAJ/P/2024/3154 (02/07/2024),View,
Jaipur,LUCKY HEIGHTS-II,GROUP HOUSING,Shree Shyam Construction,RAJ-RERA-APP-P-EXEM-2024-29,RAJ/RERAExempted Project/2024/022 (07/06/2024),View,
Jaipur,MAHAL NIWAS,GROUP HOUSING,MAHAL BUILDCON PRIVATE LIMITED,RAJ-RERA-APP-P-2024-9850,RAJ/P/2024/3144 (28/06/2024),View,
Jaipur,DHAULAVEERA FARMS,PLOTTED,PALASH INFRACON LIMITED,RAJ-RERA-APP-P-EXEM-2024-28,RAJ/RERAExempted Project/2024/021 (07/06/2024),View,
Jaipur,KINGS RESIDENCY-C,PLOTTED,REMARK CHEMICALS LLP,RAJ-RERA-APP-P-2024-9849,RAJ/P/2024/3122 (30/05/2024),View,
