Index,99acres,Brochure
1223,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,17:Park,72:Gazebo,77:Jogging Track,43:Badminton Court,47:Basketball Court,4:Yoga/Meditation Area,8:Shopping Centre,79:Lawn Tennis Court,85:Party Lawn,139:Indoor Games,76:Jacuzzi,82:Medical Centre,69:Fountain,34:Car Parking,64:Earthquake Resistant,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,27:Piped Gas,41:Automated Car Wash,129:Car Wash Area,33:Lifts,65:Entrance Lobby,21:Intercom,23:24/7 Power Backup,28:24/7 Water Supply,25:Rain Water Harvesting","Childrens Play Area,Swimming Pool,Gymnasium,Landscape Garden,Multipurpose Hall,Party Lawn,Jogging Track,Creche Day Care,Club House,Sauna,Steam Room,Table Tennis,Library,Fountain,Car Parking,Sewage Treatment Plant,Rain Water Harvesting,24X7 Security,Intercom Facilities,Wi Fi Connectivity,Open Space,24By7 Water Supply,Senior Citizen Sitout,Acupressure Park,Aerobics Centre"
376821,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,10:Children's Play Area,17:Park,40:Amphitheatre,77:Jogging Track,43:Badminton Court,98:Squash Court,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,37:Acupressure Park,60:Cricket Pitch,79:Lawn Tennis Court,5:Multipurpose Hall,9:Multipurpose court,99:Sun Deck,46:Barbecue,53:Card Room,49:Billiards,100:Table Tennis,90:Reflexology Park,19:Open Space,34:Car Parking,71:Gated Community,64:Earthquake Resistant,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,20:Video Door Security,56:Changing Area,33:Lifts,65:Entrance Lobby,21:Intercom,23:24/7 Power Backup,28:24/7 Water Supply","Park,Childrens Play Area,Jogging Track,Swimming Pool,Badminton Court,Tennis Court,Cricket Pitch,Club House,Multipurpose Hall,Sauna,Gymnasium,Yoga/Meditation Area,Landscape Garden,Acupressure Park,Reflexology Park,Bbq,Amphitheatre,Cctv Camera Security,24X7 Security,Power Back Up Lift,Rain Water Harvesting,Pet Park,Skating Rink,Sand Pit,Aerobics Centre,Community Garden Urban Farming,Green Wall Vertical Gardens,Water Treatment Plant"
412546,"1:Club House,141:Mini Theatre,10:Children's Play Area,213:Landscape Garden,77:Jogging Track,237:Cycling Track,4:Yoga/Meditation Area,32:ATM,14:Restaurant,85:Party Lawn,111:Spa,93:Sauna,34:Car Parking,55:CCTV Camera Security,137:24x7 Security,23:24/7 Power Backup","Car Parking,Landscape Garden,Open Space,Club House,Swimming Pool"
333811,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,213:Landscape Garden,17:Park,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,43:Badminton Court,47:Basketball Court,4:Yoga/Meditation Area,79:Lawn Tennis Court,99:Sun Deck,139:Indoor Games,19:Open Space,34:Car Parking,18:Paved Compound,64:Earthquake Resistant,115:Internal Street Lights,97:Solar Lighting,59:Community Hall,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,33:Lifts,21:Intercom,23:24/7 Power Backup,156:Waste Management,70:Garbage Disposal,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Landscape Garden,Manicured Garden,Park,Childrens Play Area,Swimming Pool,Gymnasium,Club House,Multipurpose Hall,Jogging Track,Tennis Court,Basketball Court,Badminton Court,Skating Rink,Squash Court,Indoor Games,Rain Water Harvesting,Waste Management,24X7 Security,Cctv Camera Security,Fire Fighting Systems,Lifts"
424010,"11:Swimming Pool,13:Gymnasium,12:Golf Course,2:Creche/Day Care,10:Children's Play Area,17:Park,40:Amphitheatre,77:Jogging Track,43:Badminton Court,96:Skating Rink,4:Yoga/Meditation Area,60:Cricket Pitch,68:Football Ground,9:Multipurpose court,85:Party Lawn,139:Indoor Games,54:Carrom,125:Chess,100:Table Tennis,111:Spa,90:Reflexology Park,69:Fountain,95:Senior Citizen Sitout,34:Car Parking,71:Gated Community,89:Reading Lounge,51:Bus Shelter,33:Lifts","Gymnasium,Swimming Pool,Childrens Play Area,Landscape Garden,Spa,Car Parking,Pet Park,Badminton Court,Jogging Track,Amphitheatre,Club House,Banquet Hall"
270729,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,17:Park,77:Jogging Track,43:Badminton Court,47:Basketball Court,8:Shopping Centre,79:Lawn Tennis Court,5:Multipurpose Hall,139:Indoor Games,19:Open Space,34:Car Parking,71:Gated Community,18:Paved Compound,64:Earthquake Resistant,94:School,59:Community Hall,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,91:RO System,33:Lifts,65:Entrance Lobby,21:Intercom,88:Power Back up Lift,23:24/7 Power Backup,70:Garbage Disposal,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Swimming Pool,Gymnasium,Indoor Games,Outdoor Event Spaces,Jogging Track,Multipurpose Hall,Cctv Camera Security,24X7 Security,Club House,Earthquake Resistant"
25860,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,213:Landscape Garden,17:Park,77:Jogging Track,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,32:ATM,16:Cafeteria,5:Multipurpose Hall,9:Multipurpose court,139:Indoor Games,54:Carrom,100:Table Tennis,93:Sauna,19:Open Space,34:Car Parking,71:Gated Community,18:Paved Compound,64:Earthquake Resistant,59:Community Hall,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,20:Video Door Security,113:Pergola,56:Changing Area,119:Concierge Service,33:Lifts,31:Property Staff,65:Entrance Lobby,21:Intercom,88:Power Back up Lift,23:24/7 Power Backup,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Swimming Pool,Club House,Badminton Court,Landscape Garden,Car Parking"
318679,"11:Swimming Pool,13:Gymnasium,1:Club House,2:Creche/Day Care,10:Children's Play Area,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,43:Badminton Court,98:Squash Court,96:Skating Rink,4:Yoga/Meditation Area,60:Cricket Pitch,79:Lawn Tennis Court,14:Restaurant,16:Cafeteria,80:Library,9:Multipurpose court,99:Sun Deck,85:Party Lawn,46:Barbecue,53:Card Room,139:Indoor Games,54:Carrom,125:Chess,49:Billiards,100:Table Tennis,111:Spa,90:Reflexology Park,93:Sauna,95:Senior Citizen Sitout,34:Car Parking,71:Gated Community,18:Paved Compound,115:Internal Street Lights,59:Community Hall,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,20:Video Door Security,89:Reading Lounge,33:Lifts,65:Entrance Lobby,21:Intercom,23:24/7 Power Backup,28:24/7 Water Supply,45:Bar/Chill-Out Lounge,25:Rain Water Harvesting","Swimming Pool,Badminton Court,Cricket Pitch,Skating Rink,Tennis Court,Squash Court,Childrens Play Area,Amphitheatre,Reflexology Park,Herbal Garden,Chess"
326229,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,3:Theatre,17:Park,40:Amphitheatre,77:Jogging Track,43:Badminton Court,98:Squash Court,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,60:Cricket Pitch,79:Lawn Tennis Court,14:Restaurant,5:Multipurpose Hall,99:Sun Deck,139:Indoor Games,49:Billiards,100:Table Tennis,111:Spa,34:Car Parking,71:Gated Community,18:Paved Compound,64:Earthquake Resistant,36:Vastu Compliant,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,113:Pergola,56:Changing Area,92:Salon,33:Lifts,65:Entrance Lobby,21:Intercom,88:Power Back up Lift,23:24/7 Power Backup,70:Garbage Disposal,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Swimming Pool,Basketball Court,Lawn Tennis Court,Squash Court,Multipurpose Hall,Gymnasium,Landscape Garden,Rain Water Harvesting,Club House,Childrens Play Area,Jogging Track,Cctv Camera Security,24X7 Security,Lifts,Power Back Up Lift,Earthquake Resistant,Waste Management,Fire Fighting Systems,Solar Lighting"
433611,"11:Swimming Pool,1:Club House,10:Children's Play Area,72:Gazebo,40:Amphitheatre,77:Jogging Track,47:Basketball Court,87:Pool Table,34:Car Parking,71:Gated Community,64:Earthquake Resistant,36:Vastu Compliant,33:Lifts,23:24/7 Power Backup","Vastu Compliant,Gymnasium,Swimming Pool,Club House,Jogging Track,Basketball Court,Gated Community,Cctv Camera Security,Rain Water Harvesting,Waste Segregation And Disposal,Landscape Garden,Amphitheatre,24X7 Security,Lifts,Intercom,Car Parking,Fire Fighting Systems,Fire Alarm,Childrens Play Area,Party Lawn,Restaurant"
403842,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,102:Terrace Garden,17:Park,84:Natural Pond,40:Amphitheatre,77:Jogging Track,43:Badminton Court,47:Basketball Court,60:Cricket Pitch,9:Multipurpose court,99:Sun Deck,139:Indoor Games,111:Spa,93:Sauna,69:Fountain,34:Car Parking,71:Gated Community,18:Paved Compound,115:Internal Street Lights,55:CCTV Camera Security,137:24x7 Security,20:Video Door Security,113:Pergola,33:Lifts,148:DG Availability,88:Power Back up Lift,23:24/7 Power Backup,26:Sewage Treatment Plant,28:24/7 Water Supply","Car Parking,Swimming Pool,Club House,Childrens Play Area,Gymnasium,Landscape Garden,Party Lawn,Cctv Camera Security,24X7 Security,Intercom Facilities,Power Back Up Lift,Private Terrace,Common Terrace,Ev Charging Stations,Badminton Court,Basketball Court,Cricket Pitch,Squash Court,Salon,Spa,Banquet Hall,Lifts"
425268,"11:Swimming Pool,13:Gymnasium,141:Mini Theatre,2:Creche/Day Care,10:Children's Play Area,44:Banquet Hall,43:Badminton Court,98:Squash Court,14:Restaurant,80:Library,9:Multipurpose court,85:Party Lawn,139:Indoor Games,111:Spa,34:Car Parking,59:Community Hall,22:Fire Fighting Systems,92:Salon,33:Lifts,65:Entrance Lobby,353:Video Gaming Room",Not Available
10356,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,10:Children's Play Area,17:Park,77:Jogging Track,47:Basketball Court,4:Yoga/Meditation Area,8:Shopping Centre,79:Lawn Tennis Court,5:Multipurpose Hall,9:Multipurpose court,85:Party Lawn,34:Car Parking,18:Paved Compound,36:Vastu Compliant,22:Fire Fighting Systems,6:Waiting Lounge,27:Piped Gas,30:Laundry,33:Lifts,31:Property Staff,21:Intercom,23:24/7 Power Backup,28:24/7 Water Supply","Swimming Pool,Gymnasium,Jogging Track,Banquet Hall,Basketball Court,Badminton Court,Tennis Court,Childrens Play Area,Open Air Theatre,Skating Rink,Changing Area"
344889,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,102:Terrace Garden,17:Park,40:Amphitheatre,77:Jogging Track,47:Basketball Court,4:Yoga/Meditation Area,73:Grocery Shop,79:Lawn Tennis Court,99:Sun Deck,85:Party Lawn,139:Indoor Games,90:Reflexology Park,34:Car Parking,71:Gated Community,18:Paved Compound,115:Internal Street Lights,59:Community Hall,55:CCTV Camera Security,135:Security Cabin,22:Fire Fighting Systems,137:24x7 Security,113:Pergola,33:Lifts,31:Property Staff,65:Entrance Lobby,21:Intercom,88:Power Back up Lift,23:24/7 Power Backup,156:Waste Management,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Pet Park,Basketball Court,Lawn Tennis Court,Club House"
298821,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,2:Creche/Day Care,10:Children's Play Area,17:Park,77:Jogging Track,98:Squash Court,80:Library,52:Business Lounge,5:Multipurpose Hall,99:Sun Deck,46:Barbecue,139:Indoor Games,87:Pool Table,100:Table Tennis,76:Jacuzzi,111:Spa,19:Open Space,69:Fountain,95:Senior Citizen Sitout,34:Car Parking,71:Gated Community,18:Paved Compound,115:Internal Street Lights,59:Community Hall,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,20:Video Door Security,89:Reading Lounge,6:Waiting Lounge,33:Lifts,65:Entrance Lobby,148:DG Availability,23:24/7 Power Backup,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Gymnasium,Creche Day Care,Squash Court,Business Lounge,Swimming Pool,Jacuzzi,Landscape Garden,Spa,Sauna,Steam Room,Community Hall,Library,Car Parking,Club House,Childrens Play Area,Indoor Games,Cctv Camera Security,Fire Fighting Systems,Intercom Facilities,Rain Water Harvesting,Solar Water Heating,Solar Panel"
403945,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,40:Amphitheatre,77:Jogging Track,43:Badminton Court,98:Squash Court,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,60:Cricket Pitch,85:Party Lawn,49:Billiards,69:Fountain,34:Car Parking,71:Gated Community,18:Paved Compound,113:Pergola,23:24/7 Power Backup,28:24/7 Water Supply","Swimming Pool,Childrens Play Area,Jogging Track,Gymnasium,Party Lawn,Car Parking,Club House,Badminton Court,Skating Rink,Basketball Court,Yoga/Meditation Area"
405529,"11:Swimming Pool,1:Club House,143:Lounge,10:Children's Play Area,40:Amphitheatre,98:Squash Court,5:Multipurpose Hall,85:Party Lawn,34:Car Parking,89:Reading Lounge","Pet Park,Yoga/Meditation Area,Jogging Track,Club House,Swimming Pool,Cricket Pitch,Badminton Court,Basketball Court,Squash Court,Gymnasium,Banquet Hall,Amphitheatre,Party Lawn,Fountain,Skating Rink"
